method,n,imp_V0,tr_V0,pval0,imp_V1,tr_V1,pval1,tr_time
LOCO-W,100,0.9196828850020253,1.0,4.9633963605799636e-11,-0.10135173785442818,0.0,0.6933398001883877,0.6504700183868408
LOCO-W,300,0.6562612575050947,1.0,2.3060442444489127e-12,-0.11343493239367114,0.0,0.8164830349637138,0.7663657665252686
LOCO-W,500,0.5350890339360628,1.0,6.661338147750939e-16,0.04963109545528539,0.0,0.2925798275023155,0.9305989742279053
LOCO-W,700,0.6294950631448051,1.0,0.0,0.09768216356536887,0.0,0.11524929477813972,1.2459304332733154
LOCO-W,1000,0.615641840816096,1.0,0.0,0.06324502881504093,0.0,0.1901180943180505,1.8851940631866455
LOCO-W,2000,0.6868644866262945,1.0,0.0,-0.08278340158405909,0.0,0.952253271023119,5.910449504852295
LOCO-W,3000,0.695652343847231,1.0,0.0,0.036295097279280666,0.0,0.19390541109191484,13.07427167892456
CPI,100,1.0571815450704356,1.0,0.0019984760650552593,-0.04828263429582991,0.0,0.62784739003855,18.367796659469604
CPI,300,0.5359006638568593,1.0,0.0013420063455571848,0.01431958187232174,0.0,0.4399891843073055,0.569521427154541
CPI,500,0.5915466239427735,1.0,7.287151230237985e-07,-0.005483928420912887,0.0,0.5452067536411901,0.8094706535339355
CPI,700,0.5967869968210303,1.0,6.901784579267933e-08,-0.00283117016761536,0.0,0.5210559905224612,1.1201179027557373
CPI,1000,0.6726353617524765,1.0,3.7134410494182907e-13,-0.005515405425264408,0.0,0.552179967666919,2.1603593826293945
CPI,2000,0.6422613373435033,1.0,2.1366963239477865e-25,-0.0011749992245999596,0.0,0.5176307724432212,7.448829174041748
CPI,3000,0.6919457862799547,1.0,4.60133224308192e-41,0.0020346062386346064,0.0,0.460848523016893,23.71949315071106
CPI_sqrt,100,1.0571815450704356,1.0,0.04318387206426395,-0.04828263429582991,0.0,0.5483715532931387,18.444843769073486
CPI_sqrt,300,0.5359006638568593,1.0,0.04560422324438046,0.01431958187232174,0.0,0.47555868650936206,0.5695855617523193
CPI_sqrt,500,0.5915466239427735,1.0,0.0032983439697817155,-0.005483928420912887,0.0,0.5152693611790871,0.8075258731842041
CPI_sqrt,700,0.5967869968210303,1.0,0.001665338312832869,-0.00283117016761536,0.0,0.5078631816368991,1.1008646488189697
CPI_sqrt,1000,0.6726353617524765,1.0,3.6920214666758055e-05,-0.005515405425264408,0.0,0.5186467977888272,2.1552066802978516
CPI_sqrt,2000,0.6422613373435033,1.0,5.599313998116801e-09,-0.0011749992245999596,0.0,0.5060904326473963,7.424516439437866
CPI_sqrt,3000,0.6919457862799547,1.0,8.759603128419742e-14,0.0020346062386346064,0.0,0.48709206502638,23.674098014831543
CPI_n,100,1.0571815450704356,1.0,0.0052164366482016005,-0.04828263429582991,0.0,0.5985060543798608,21.799360036849976
CPI_n,300,0.5359006638568593,1.0,0.0027644231538247453,0.01431958187232174,0.0,0.44795847006506156,0.5800721645355225
CPI_n,500,0.5915466239427735,1.0,2.936090389797786e-06,-0.005483928420912887,0.0,0.5389745952811684,0.7963871955871582
CPI_n,700,0.5967869968210303,1.0,2.9567458495737016e-07,-0.00283117016761536,0.0,0.5188715901843146,1.1140289306640625
CPI_n,1000,0.6726353617524765,1.0,3.661453345764632e-12,-0.005515405425264408,0.0,0.5472788943533476,2.1549150943756104
CPI_n,2000,0.6422613373435033,1.0,6.478646842418781e-24,-0.0011749992245999596,0.0,0.5163650737836414,7.431070566177368
CPI_n,3000,0.6919457862799547,1.0,5.008194526264826e-39,0.0020346062386346064,0.0,0.4633311763578406,23.672330379486084
CPI_bt,100,1.0571815450704356,1.0,1.3841640036192734e-06,-0.04828263429582991,0.0,0.7444283999999762,19.050768613815308
CPI_bt,300,0.5359006638568593,1.0,2.6278526867475328e-33,0.01431958187232174,0.0,0.24206825316239589,0.5662879943847656
CPI_bt,500,0.5915466239427735,1.0,4.542869961881681e-109,-0.005483928420912887,0.0,0.6960503346236386,0.8181288242340088
CPI_bt,700,0.5967869968210303,1.0,1.3773020337923822e-271,-0.00283117016761536,0.0,0.621088689058178,1.151789903640747
CPI_bt,1000,0.6726353617524765,1.0,0.0,-0.005515405425264408,0.0,0.8112301164097149,2.241020917892456
CPI_bt,2000,0.6422613373435033,1.0,0.0,-0.0011749992245999596,0.0,0.6636054914812066,7.770148038864136
CPI_bt,3000,0.6919457862799547,1.0,0.0,0.0020346062386346064,0.0,0.13342916516646464,24.353158473968506
CPI_sqd,100,1.0571815450704356,1.0,5.433257601024754e-26,-0.04828263429582991,0.0,0.9956350477029647,9.755704641342163
CPI_sqd,300,0.5359006638568593,1.0,2.5988736025535972e-48,0.01431958187232174,0.0,0.0820202746464464,0.5716347694396973
CPI_sqd,500,0.5915466239427735,1.0,0.0,-0.005483928420912887,0.0,0.9882631827203804,0.8302359580993652
CPI_sqd,700,0.5967869968210303,1.0,0.0,-0.00283117016761536,0.0,0.8251152488467681,1.153432846069336
CPI_sqd,1000,0.6726353617524765,1.0,0.0,-0.005515405425264408,0.0,0.9984962502526663,2.24212908744812
CPI_sqd,2000,0.6422613373435033,1.0,0.0,-0.0011749992245999596,0.0,0.9489574123589697,7.825052261352539
CPI_sqd,3000,0.6919457862799547,1.0,0.0,0.0020346062386346064,0.0,2.257424363332373e-07,24.377066612243652
R-CPI,100,1.025158384310261,1.0,0.03594482472071512,-0.16150647375265664,0.0,0.7271541034069945,9.76715350151062
R-CPI,300,0.48746701846144996,1.0,0.027114519990202146,-0.01175090075911706,0.0,0.5277669939011329,0.5940694808959961
