method,n,imp_V0,tr_V0,pval0,imp_V1,tr_V1,pval1,imp_V2,tr_V2,pval2,imp_V3,tr_V3,pval3,imp_V4,tr_V4,pval4,imp_V5,tr_V5,pval5,imp_V6,tr_V6,pval6,imp_V7,tr_V7,pval7,imp_V8,tr_V8,pval8,imp_V9,tr_V9,pval9,imp_V10,tr_V10,pval10,imp_V11,tr_V11,pval11,imp_V12,tr_V12,pval12,imp_V13,tr_V13,pval13,imp_V14,tr_V14,pval14,imp_V15,tr_V15,pval15,imp_V16,tr_V16,pval16,imp_V17,tr_V17,pval17,imp_V18,tr_V18,pval18,imp_V19,tr_V19,pval19,tr_time
LOCO-W,200,0.33160586180190277,0.0,0.21839195026609115,-0.2140467546464143,0.0,0.6908356497882565,-0.08139563449459083,0.0,0.5785538632084224,-0.7423064938122034,1.0,0.951154803923808,-0.40062616324371075,1.0,0.8472164072174715,-0.7495716918605863,0.0,0.967867867296343,-0.4924130068550614,0.0,0.8834467528030913,1.044897887095564,1.0,0.007294547033666943,-0.28356808557020247,0.0,0.7601016839099706,-0.009003115248983663,0.0,0.5096914777479429,0.11282568170002019,0.0,0.3960505316539674,1.1248760263610478,0.0,0.007551741158819292,0.6386110747120106,0.0,0.05387051384133712,0.5337553765252229,0.0,0.11795840534506363,0.7214811729662928,0.0,0.04235332924324797,-0.13314462372052366,0.0,0.6533357491289782,0.3882247768555138,0.0,0.15887083706036131,0.517759396830145,0.0,0.12353417851374726,-0.1017158373891596,0.0,0.5991406893756624,0.4002454082509082,1.0,0.17507975333805992,0.6491329669952393
LOCO-W,500,-0.18481623639970163,0.0,0.7265296497503214,0.13504383761804079,0.0,0.32969370293592926,-0.004986528292907213,0.0,0.506450405924647,-0.23241876566007438,0.0,0.7642578485092674,0.3046352078073215,0.0,0.16665759813903702,0.35668467252113256,0.0,0.12340328163129133,-0.1822705147703853,1.0,0.7046373068274792,0.7573459614339859,1.0,0.01312408513867569,0.36292093975124823,0.0,0.1252294881872409,-0.42606402734976323,0.0,0.9298518410718394,0.45549121817692506,0.0,0.07011862428079751,0.573413066358433,1.0,0.043009288543025326,-0.050643421535168424,0.0,0.5624450993362442,-0.15230804801256353,0.0,0.6841797931675477,-0.20752830838512568,1.0,0.7397707728286682,0.08413062640742376,0.0,0.3928600713757745,0.19745531853341938,0.0,0.25071963412203646,-0.6839969629620426,0.0,0.9885502675411484,0.3315738832208407,0.0,0.14429304697181433,0.272806010854737,0.0,0.1920737367502453,0.5963766574859619
LOCO-W,1000,-0.0522512039172695,0.0,0.6173946896079393,0.04192758978648297,1.0,0.4091294310497282,0.5182322304504757,1.0,0.0020457482347724376,0.3626650174829756,0.0,0.01840904244240038,-0.21884995485624598,0.0,0.8989990154876049,-0.08727313617310994,0.0,0.6914366077569436,0.12562698865411062,0.0,0.2284638908661043,-0.07017329506458898,0.0,0.6625963875013726,0.12066183502653804,0.0,0.23866371631097594,0.08765660463293125,0.0,0.2990903565258237,0.022574568759323194,0.0,0.44637372933914765,0.26372214758698503,0.0,0.06452840719913433,0.49957262294966853,1.0,0.0031094674206034734,-0.31730754663742816,0.0,0.9642304158033761,-0.053470662592814015,0.0,0.6239690312843345,0.25377243121906534,0.0,0.07029721360961438,0.05864561010342001,0.0,0.36326458181302934,-0.24352591132912524,0.0,0.9214390256996046,0.2354396307567849,0.0,0.09063732640565692,0.21612925621868587,1.0,0.11456776506191335,0.6113271713256836
CPI,200,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,-0.010477800589970165,1.0,0.5267986506463582,0.22908299809027444,1.0,0.1267051795264385,0.0,0.0,0.5,0.031392354124273325,0.0,0.4282650559967444,-0.061664447095909014,1.0,0.621539712273326,0.0,0.0,0.5,0.0,0.0,0.5,-0.0002444243276551461,0.0,0.5005837509967892,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.4483540692268799,1.0,0.013278064268976384,6.993114709854126
CPI,500,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.16572522035809356,1.0,0.08401507844315753,0.3586588461591903,1.0,0.0041643386595611375,0.0,0.0,0.5,0.0,0.0,0.5,-4.260274679368514e-06,0.0,0.5000157132155869,0.27969810503479187,1.0,0.019613653281871545,0.0,0.0,0.5,-0.009448821791371298,0.0,0.5353182325982087,0.2826641506510471,1.0,0.021743645647264703,0.0007662487196067325,0.0,0.49714059312189773,0.0,0.0,0.5,-0.002671111965167894,0.0,0.5099216254944507,0.0,0.0,0.5,0.0,0.0,0.5,1.4330971240997314
CPI,1000,-0.0023546654564400304,0.0,0.5130878882467655,0.37375711333352757,1.0,0.0004538161533886921,0.11790440364631838,1.0,0.06681888964986556,-0.0020653817106749406,0.0,0.5114208294893545,-6.812951313106552e-05,0.0,0.5003775431479844,0.00023530360510992665,0.0,0.49869717078402004,0.0,0.0,0.5,0.0,0.0,0.5,5.130192350921714e-05,0.0,0.4997160963605337,0.000607693943910137,0.0,0.4966383324907116,5.2826105753855934e-05,0.0,0.49970744572751585,0.0,0.0,0.5,0.21714686990296372,1.0,0.008867187114258133,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0004210601274089454,0.0,0.4976648515119228,0.0,0.0,0.5,0.0010314523717006585,0.0,0.494306349424356,0.3232331994917461,1.0,0.00021577751640035906,2.0839803218841553
CPI_sqrt,200,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,-0.010477800589970165,1.0,0.5076603686544646,0.22908299809027444,1.0,0.3489920995215293,0.0,0.0,0.5,0.031392354124273325,0.0,0.4777831172571129,-0.061664447095909014,1.0,0.5416907217697242,0.0,0.0,0.5,0.0,0.0,0.5,-0.0002444243276551461,0.0,0.5001751223878562,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.4483540692268799,1.0,0.2243880582026322,7.235722780227661
CPI_sqrt,500,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.16572522035809356,1.0,0.3277115520890652,0.3586588461591903,1.0,0.17708589726275864,0.0,0.0,0.5,0.0,0.0,0.5,-4.260274679368514e-06,0.0,0.5000047299463471,0.27969810503479187,1.0,0.2348194356574264,0.0,0.0,0.5,-0.009448821791371298,0.0,0.5105354032704512,0.2826641506510471,1.0,0.2349571279404687,0.0007662487196067325,0.0,0.49914628738408234,0.0,0.0,0.5,-0.002671111965167894,0.0,0.5029719392404933,0.0,0.0,0.5,0.0,0.0,0.5,1.1851685047149658
CPI_sqrt,1000,-0.0023546654564400304,0.0,0.5040909181429533,0.37375711333352757,1.0,0.08353932369313388,0.11790440364631838,1.0,0.3090274904008695,-0.0020653817106749406,0.0,0.5035824950649386,-6.812951313106552e-05,0.0,0.500118249836424,0.00023530360510992665,0.0,0.49959170193339814,0.0,0.0,0.5,0.0,0.0,0.5,5.130192350921714e-05,0.0,0.49991099533420214,0.000607693943910137,0.0,0.4989458252134157,5.2826105753855934e-05,0.0,0.4999083297985091,0.0,0.0,0.5,0.21714686990296372,1.0,0.19200244497411728,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0004210601274089454,0.0,0.4992690021938184,0.0,0.0,0.5,0.0010314523717006585,0.0,0.4982119169938107,0.3232331994917461,1.0,0.09773697387904384,2.1461284160614014
CPI_n,200,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,-0.010477800589970165,1.0,0.5202648359355926,0.22908299809027444,1.0,0.18060881810336493,0.0,0.0,0.5,0.031392354124273325,0.0,0.4442622573490281,-0.061664447095909014,1.0,0.5975889513644032,0.0,0.0,0.5,0.0,0.0,0.5,-0.0002444243276551461,0.0,0.5004486116181327,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.4483540692268799,1.0,0.037874146258813295,7.070196866989136
