method,n,imp_V0,tr_V0,pval0,imp_V1,tr_V1,pval1,imp_V2,tr_V2,pval2,imp_V3,tr_V3,pval3,imp_V4,tr_V4,pval4,imp_V5,tr_V5,pval5,imp_V6,tr_V6,pval6,imp_V7,tr_V7,pval7,imp_V8,tr_V8,pval8,imp_V9,tr_V9,pval9,tr_time
LOCO-W,200,-0.0006395361817619896,0.0,0.999999986451213,-0.024683828228559294,0.0,0.9999774740236864,0.9114578107170827,1.0,7.771561172376096e-16,-0.0010077830584751112,0.0,0.9999932270386719,0.005824243993840112,0.0,4.817749999386223e-05,-0.08206853418294786,0.0,0.9999999993748654,-0.0008200173118960521,0.0,0.9999990083607724,0.0008695749503022141,0.0,0.0014510402350498275,0.00031055485099470504,0.0,0.0008159975245779494,1.1355402687669596,1.0,0.0,29.405402183532715
LOCO-W,500,-0.000332804021700053,0.0,0.971933432909444,-0.0026144698079833394,0.0,0.9999980861057323,1.0677471905343234,1.0,0.0,0.0032176148001362113,0.0,1.823599993233671e-08,-0.00011382830922742899,0.0,0.8663294582177472,0.0003333218254820028,0.0,0.1593669777385358,-6.413267589754094e-05,0.0,0.6983559012465061,0.0002991234762022751,0.0,0.002172866551667929,0.0004294230091033572,0.0,0.0656073084308848,0.6792546518677861,1.0,2.1738166822160565e-13,51.01114249229431
LOCO-W,1000,-0.0015583295860117975,0.0,0.9999199092742046,-0.0015008282980154347,0.0,0.9999175563266522,0.7319828769366787,1.0,0.0,-0.0007825143978746801,0.0,0.9972222090872651,0.0007417221237973195,0.0,0.01420024658657315,0.0001000108211193623,0.0,0.36566174842830945,-0.000320369388797564,0.0,0.8551261741996743,0.0002495087822289466,0.0,0.18266222116357922,0.0014504982039872433,0.0,6.393862994347188e-05,1.4030786345309856,1.0,0.0,73.01160073280334
CPI,200,-0.0020078061967668676,0.0,0.5246284477614662,-0.0013459230294782104,0.0,0.5157681373005978,1.3099120643183557,1.0,0.0005526666868430716,0.008367666665092158,0.0,0.4033709147227466,0.0065445650798704735,0.0,0.4259309340510838,-5.03929852900542e-06,0.0,0.5000631799125892,0.00017004559146850673,0.0,0.49791577137129817,-0.0003510861821662964,0.0,0.5043143077111016,0.00013333357062195184,0.0,0.49834278838940027,1.7653676224592885,1.0,2.400715001269775e-06,3.8973548412323
CPI,500,-0.0005168118529268115,0.0,0.5144912118767943,-0.000565781184839978,0.0,0.516001344732597,1.3056277584531626,1.0,1.1005465635903574e-08,-0.0003798962346713286,0.0,0.5106501484270398,0.0011038844664152947,0.0,0.4704205227691385,-0.0014976001080858128,0.0,0.5453389453405423,0.00030352844842444077,0.0,0.49158394574665365,2.0303746597082062e-05,0.0,0.4994335797434988,-0.00023421542446223215,0.0,0.506410182819675,1.366069769314686,1.0,3.769750412252932e-09,4.320562362670898
CPI,1000,9.092771498361504e-05,0.0,0.4956939314484099,0.002088977241472431,0.0,0.41404344592388376,1.6340892571469732,1.0,7.996781743544288e-13,-0.004001560799919337,0.0,0.6954283407150523,0.00041122111545875695,0.0,0.48032091394919385,-0.0003796171789035574,0.0,0.5182331880362179,-5.487852356043932e-05,0.0,0.5026025665592238,0.0001772191114110186,0.0,0.4916094123822108,3.5012462874951106e-05,0.0,0.49828501442753514,1.614413844197878,1.0,4.591681486932891e-11,6.123788118362427
CPI_sqrt,200,-0.0020078061967668676,0.0,0.5127370922043155,-0.0013459230294782104,0.0,0.508334796775438,1.3099120643183557,1.0,0.0012113569632386232,0.008367666665092158,0.0,0.44845228127646836,0.0065445650798704735,0.0,0.4601563218754701,-5.03929852900542e-06,0.0,0.5000323245714943,0.00017004559146850673,0.0,0.4989218678119702,-0.0003510861821662964,0.0,0.5022289464944836,0.00013333357062195184,0.0,0.49914853001630477,1.7653676224592885,1.0,1.1191785063647937e-05,3.9005110263824463
CPI_sqrt,500,-0.0005168118529268115,0.0,0.5082147374091891,-0.000565781184839978,0.0,0.5090370886954431,1.3056277584531626,1.0,4.488514264684704e-08,-0.0003798962346713286,0.0,0.5060376673146619,0.0011038844664152947,0.0,0.482900667437737,-0.0014976001080858128,0.0,0.5248558988491121,0.00030352844842444077,0.0,0.49520617982941434,2.0303746597082062e-05,0.0,0.4996782192427219,-0.00023421542446223215,0.0,0.503671680539513,1.366069769314686,1.0,1.653223489027626e-08,4.297880172729492
CPI_sqrt,1000,9.092771498361504e-05,0.0,0.4974254346984012,0.002088977241472431,0.0,0.445647727344979,1.6340892571469732,1.0,2.6623677346166253e-12,-0.004001560799919337,0.0,0.6166097530417208,0.00041122111545875695,0.0,0.4882824969115216,-0.0003796171789035574,0.0,0.510840363197444,-5.487852356043932e-05,0.0,0.5015551641027562,0.0001772191114110186,0.0,0.49498278894801523,3.5012462874951106e-05,0.0,0.4989885835896653,1.614413844197878,1.0,1.1810214551524543e-10,6.060389518737793
CPI_n,200,-0.0020078061967668676,0.0,0.5219799022620145,-0.0013459230294782104,0.0,0.5141402349777275,1.3099120643183557,1.0,0.0006174460147397463,0.008367666665092158,0.0,0.4131413840055636,0.0065445650798704735,0.0,0.43331074558726834,-5.03929852900542e-06,0.0,0.50005624834165,0.00017004559146850673,0.0,0.49813986785024206,-0.0003510861821662964,0.0,0.5038493721701066,0.00013333357062195184,0.0,0.49852320279938656,1.7653676224592885,1.0,2.9872033512914843e-06,3.9053828716278076
CPI_n,500,-0.0005168118529268115,0.0,0.5136403368841892,-0.000565781184839978,0.0,0.5150542039928107,1.3056277584531626,1.0,1.2433692366257639e-08,-0.0003798962346713286,0.0,0.510024862173276,0.0011038844664152947,0.0,0.472083584746619,-0.0014976001080858128,0.0,0.5424828876404392,0.00030352844842444077,0.0,0.49207298829753365,2.0303746597082062e-05,0.0,0.4994666855503032,-0.00023421542446223215,0.0,0.5060422293649888,1.366069769314686,1.0,4.2854974038817706e-09,4.300537586212158
CPI_n,1000,9.092771498361504e-05,0.0,0.49585488204450756,0.002088977241472431,0.0,0.4168281539722364,1.6340892571469732,1.0,8.592245139119623e-13,-0.004001560799919337,0.0,0.6882103790164185,0.00041122111545875695,0.0,0.4810636512738526,-0.0003796171789035574,0.0,0.5175425614285541,-5.487852356043932e-05,0.0,0.5025051550604176,0.0001772191114110186,0.0,0.4919229453181918,3.5012462874951106e-05,0.0,0.49835123228875816,1.614413844197878,1.0,4.857483774811697e-11,6.120329141616821
R-CPI,200,-0.0013800304582983506,0.0,0.5092486279759053,-0.004973153021917218,0.0,0.5330131542201113,1.8818630237060854,1.0,0.0007132281491997068,0.005649423327131223,0.0,0.46217693909351626,0.0007938698546993997,0.0,0.4948933466955517,-0.00016025886661464266,0.0,0.5010857533073538,-0.0003329228620801226,0.0,0.5022399081408488,-0.0010529360431727425,0.0,0.5070926779671902,-0.00018785355146738736,0.0,0.5012794574862678,1.5763421860920301,1.0,0.00010807352408373602,3.9005677700042725
R-CPI,500,0.000203932157049361,0.0,0.49688465213554234,-0.0009718305788328344,0.0,0.5152438224690452,1.3412008730510414,1.0,1.213097238156392e-08,-0.0004570201999256921,0.0,0.5068653952454917,0.0013472578420110778,0.0,0.4799760851720236,-0.0021102108858349973,0.0,0.5341528901938228,0.0017052703028542933,0.0,0.47401604024763744,0.0003466324651183789,0.0,0.494795424174031,-6.09024222786303e-05,0.0,0.5009117476181602,1.3489273298426951,1.0,3.540693178692488e-08,4.301326513290405
R-CPI,1000,2.5668166852553393e-06,0.0,0.4999330944885453,0.0033960463946122103,0.0,0.4217958692084299,1.485089324096839,1.0,2.2268626310927509e-10,-0.007424932403518634,0.0,0.7042488895981948,-0.00036255258205840737,0.0,0.5097541038749279,-0.00039636361410283103,0.0,0.51041467163583,-0.0001588352398402725,0.0,0.5041581081693098,0.00029296248528471787,0.0,0.4923432119752032,-0.0013373646047337517,0.0,0.536793272345394,1.9120013608229771,1.0,3.164143414609466e-11,6.0731799602508545
R-CPI_sqrt,200,-0.0013800304582983506,0.0,0.5061240553449626,-0.004973153021917218,0.0,0.5219352714139069,1.8818630237060854,1.0,0.0012102233863706745,0.005649423327131223,0.0,0.47493873522471136,0.0007938698546993997,0.0,0.4965721233722135,-0.00016025886661464266,0.0,0.5007162816055192,-0.0003329228620801226,0.0,0.501481185349742,-0.0010529360431727425,0.0,0.5046883204144461,-0.00018785355146738736,0.0,0.5008425494710403,1.5763421860920301,1.0,0.0002769810575039467,3.9279446601867676
R-CPI_sqrt,500,0.000203932157049361,0.0,0.4978003843908734,-0.0009718305788328344,0.0,0.5106794422153664,1.3412008730510414,1.0,4.721250337318945e-08,-0.0004570201999256921,0.0,0.5048712416271953,0.0013472578420110778,0.0,0.4857473214160165,-0.0021102108858349973,0.0,0.5237058710993819,0.0017052703028542933,0.0,0.48163740624422713,0.0003466324651183789,0.0,0.4963066560776168,-6.09024222786303e-05,0.0,0.5006475550925706,1.3489273298426951,1.0,1.2037278951214107e-07,4.3039939403533936
R-CPI_sqrt,1000,2.5668166852553393e-06,0.0,0.4999511700895709,0.0033960463946122103,0.0,0.4409974967182065,1.485089324096839,1.0,5.566094908514649e-10,-0.007424932403518634,0.0,0.6483035639936918,-0.00036255258205840737,0.0,0.5070576861212789,-0.00039636361410283103,0.0,0.5075846431814512,-0.0001588352398402725,0.0,0.5030311829157459,0.00029296248528471787,0.0,0.4944158101764589,-0.0013373646047337517,0.0,0.5264640004043302,1.9120013608229771,1.0,7.200095290088587e-11,6.143844842910767
R-CPI_n,200,-0.0013800304582983506,0.0,0.5086770972115318,-0.004973153021917218,0.0,0.5309930848484962,1.8818630237060854,1.0,0.0007669572236700133,0.005649423327131223,0.0,0.4645091562078036,0.0007938698546993997,0.0,0.49519701545414435,-0.00016025886661464266,0.0,0.5010179650490597,-0.0003329228620801226,0.0,0.5021009712502751,-0.0010529360431727425,0.0,0.5066522562026059,-0.00018785355146738736,0.0,0.5011991783747743,1.5763421860920301,1.0,0.00012336817425125058,3.9230246543884277
R-CPI_n,500,0.000203932157049361,0.0,0.49698706732308695,-0.0009718305788328344,0.0,0.5147298294438092,1.3412008730510414,1.0,1.364684888702359e-08,-0.0004570201999256921,0.0,0.5066433433555779,0.0013472578420110778,0.0,0.48061685801791415,-0.0021102108858349973,0.0,0.5329670496379619,0.0017052703028542933,0.0,0.47486758434612525,0.0003466324651183789,0.0,0.4949636821592958,-6.09024222786303e-05,0.0,0.5008823547933672,1.3489273298426951,1.0,3.935761390515584e-08,4.348649501800537
R-CPI_n,1000,2.5668166852553393e-06,0.0,0.4999344944759127,0.0033960463946122103,0.0,0.4232360380280036,1.485089324096839,1.0,2.351937330653865e-10,-0.007424932403518634,0.0,0.6999530086027373,-0.00036255258205840737,0.0,0.5095435974809219,-0.00039636361410283103,0.0,0.5101950515405805,-0.0001588352398402725,0.0,0.5040707320228933,0.00029296248528471787,0.0,0.4925038418777136,-0.0013373646047337517,0.0,0.5359827086680372,1.9120013608229771,1.0,3.322228413246347e-11,6.068624258041382
R-CPI2,200,-0.0019092887423278132,0.0,0.511762315419558,-0.006043168189642514,0.0,0.5369260633028188,1.9194242396173984,1.0,0.000571340829670967,0.0032665648641138803,0.0,0.4795689006924535,0.00186846476931844,0.0,0.4889625221309062,3.15549240406088e-06,0.0,0.49998038579845827,-0.0004306391704298935,0.0,0.5026598570662425,-0.0010296553236582356,0.0,0.5063690436915892,-0.0004782244470283606,0.0,0.5029892645038276,1.615279316048939,1.0,7.725409865848721e-05,3.9721498489379883
R-CPI2,500,0.00014702212988076396,0.0,0.4979398582931177,-0.0011244241384098129,0.0,0.5161353002261166,1.4236724776437326,1.0,1.2340321723900146e-08,-0.001531774648373028,0.0,0.5212857239512007,0.0014623186614758624,0.0,0.4800057389080002,-0.0018367802561630208,0.0,0.5268722804779815,0.002039543026597019,0.0,0.4715974458643919,0.0005526647517183358,0.0,0.4924737743589767,0.00028550635402935286,0.0,0.4960622447330683,1.3343007464422505,1.0,3.348633617706297e-07,4.402231693267822
R-CPI2,1000,5.509002364110771e-05,0.0,0.4986809563397558,0.0032586549219375716,0.0,0.4303179196871965,1.3887713014483636,1.0,8.16374071701762e-10,-0.00759449211660167,0.0,0.691856908097466,-0.0002699051592088259,0.0,0.5066150572088342,-0.00043367381143418545,0.0,0.510447457959005,-0.00016939055294870085,0.0,0.5040702085388171,0.000316110203149685,0.0,0.4924208971013736,-0.0014956632551876834,0.0,0.5379574228236192,1.8581859066519575,1.0,1.0327974016651634e-11,6.224364757537842
R-CPI2_sqrt,200,-0.0019092887423278132,0.0,0.5080070564238225,-0.006043168189642514,0.0,0.5252095668282531,1.9194242396173984,1.0,0.0009887999134400572,0.0032665648641138803,0.0,0.486158340792816,0.00186846476931844,0.0,0.49238643881769234,3.15549240406088e-06,0.0,0.4999866864554034,-0.0004306391704298935,0.0,0.5018091156796303,-0.0010296553236582356,0.0,0.5043299367263975,-0.0004782244470283606,0.0,0.5020253800313985,1.615279316048939,1.0,0.00020591557007231114,3.9832258224487305
R-CPI2_sqrt,500,0.00014702212988076396,0.0,0.4985091652543468,-0.0011244241384098129,0.0,0.5115998673555027,1.4236724776437326,1.0,4.451272372773922e-08,-0.001531774648373028,0.0,0.5154404206144574,0.0014623186614758624,0.0,0.48543230951228916,-0.0018367802561630208,0.0,0.5192152275794268,0.002039543026597019,0.0,0.47940772275127314,0.0005526647517183358,0.0,0.49451084528173683,0.00028550635402935286,0.0,0.4971379783358715,1.3343007464422505,1.0,8.918040202080577e-07,4.421198844909668
R-CPI2_sqrt,1000,5.509002364110771e-05,0.0,0.4990156657932023,0.0032586549219375716,0.0,0.4465007789614125,1.3887713014483636,1.0,1.979858429216609e-09,-0.00759449211660167,0.0,0.6423537399919553,-0.0002699051592088259,0.0,0.504907113548008,-0.00043367381143418545,0.0,0.5077844240146262,-0.00016939055294870085,0.0,0.5030346578362809,0.000316110203149685,0.0,0.4943460047408942,-0.0014956632551876834,0.0,0.5279095836225886,1.8581859066519575,1.0,2.5647580306598842e-11,6.287280797958374
R-CPI2_n,200,-0.0019092887423278132,0.0,0.5110908265943113,-0.006043168189642514,0.0,0.5348366222141155,1.9194242396173984,1.0,0.000616053870662457,0.0032665648641138803,0.0,0.4807517403432163,0.00186846476931844,0.0,0.48956815138164633,3.15549240406088e-06,0.0,0.4999815151580703,-0.0004306391704298935,0.0,0.5025076212981775,-0.0010296553236582356,0.0,0.506004020744632,-0.0004782244470283606,0.0,0.5028162385699534,1.615279316048939,1.0,8.867458848299149e-05,3.9577603340148926
