method,n,imp_V0,tr_V0,pval0,imp_V1,tr_V1,pval1,imp_V2,tr_V2,pval2,imp_V3,tr_V3,pval3,imp_V4,tr_V4,pval4,imp_V5,tr_V5,pval5,imp_V6,tr_V6,pval6,imp_V7,tr_V7,pval7,imp_V8,tr_V8,pval8,imp_V9,tr_V9,pval9,imp_V10,tr_V10,pval10,imp_V11,tr_V11,pval11,imp_V12,tr_V12,pval12,imp_V13,tr_V13,pval13,imp_V14,tr_V14,pval14,imp_V15,tr_V15,pval15,imp_V16,tr_V16,pval16,imp_V17,tr_V17,pval17,imp_V18,tr_V18,pval18,imp_V19,tr_V19,pval19,imp_V20,tr_V20,pval20,imp_V21,tr_V21,pval21,imp_V22,tr_V22,pval22,imp_V23,tr_V23,pval23,imp_V24,tr_V24,pval24,imp_V25,tr_V25,pval25,imp_V26,tr_V26,pval26,imp_V27,tr_V27,pval27,imp_V28,tr_V28,pval28,imp_V29,tr_V29,pval29,imp_V30,tr_V30,pval30,imp_V31,tr_V31,pval31,imp_V32,tr_V32,pval32,imp_V33,tr_V33,pval33,imp_V34,tr_V34,pval34,imp_V35,tr_V35,pval35,imp_V36,tr_V36,pval36,imp_V37,tr_V37,pval37,imp_V38,tr_V38,pval38,imp_V39,tr_V39,pval39,imp_V40,tr_V40,pval40,imp_V41,tr_V41,pval41,imp_V42,tr_V42,pval42,imp_V43,tr_V43,pval43,imp_V44,tr_V44,pval44,imp_V45,tr_V45,pval45,imp_V46,tr_V46,pval46,imp_V47,tr_V47,pval47,imp_V48,tr_V48,pval48,imp_V49,tr_V49,pval49,tr_time
LOCO-W,200,17.122818463563597,0.0,0.2621938839491098,15.505244129004739,0.0,0.3055297741281856,104.37853881284366,1.0,0.00042575895772978267,-9.393742020008707,1.0,0.6160391898874839,-4.8391969631888045,0.0,0.5558543518237037,14.720845618677066,0.0,0.3549427508380848,-10.46184446970166,0.0,0.6106024636976934,-72.5649800083824,0.0,0.9944513922727004,-29.032035353143012,0.0,0.7875787363570537,3.3395167274345736,0.0,0.45449463475058116,-7.390236436418804,0.0,0.5974380518572577,31.711519579508828,0.0,0.05953616731252065,-41.679997640406135,0.0,0.8836051143218984,-22.20250277086423,0.0,0.7295470390317548,-15.086358892370141,0.0,0.6431762657556823,-24.161954976710835,0.0,0.7776936706151159,24.388304762403624,0.0,0.24302930005628087,32.25743170393402,0.0,0.19524194195273448,-17.61446058507358,0.0,0.7394769536295008,28.894036360007505,0.0,0.2078390199086676,-5.769677473758603,0.0,0.5617640020501382,-1.6657614274888377,0.0,0.5333139189699682,25.67507670402246,0.0,0.11624556012064724,9.221262819743286,0.0,0.3604241004371844,-160.38929861680992,0.0,1.0,-13.590013860573604,0.0,0.7188034064069125,11.409873876745554,0.0,0.3569708744859117,-18.932292952543584,1.0,0.7754552931904624,5.924678050557892,0.0,0.41673118110432406,144.65696834932746,1.0,4.952704912852823e-13,-5.589973911374566,0.0,0.5597616481925888,13.523872839728176,1.0,0.35717817126817153,-11.932398134211176,1.0,0.663935464575389,22.43101005372854,0.0,0.16353624599754113,-24.110426607976915,0.0,0.7728143796936298,-107.3784704390504,1.0,0.9997995964756619,2.2932179305123737,0.0,0.47545914024447655,-110.00391324819866,0.0,0.9999779072755188,35.22723759738823,1.0,0.16712945656867428,-118.89265682623666,1.0,0.9999221791866885,28.55715206270128,1.0,0.13792502757962155,-12.389880184680372,0.0,0.6479086804770813,18.93461514715608,0.0,0.30058054447719484,6.010241574178136,0.0,0.4200658287505805,-1.9914922161631288,0.0,0.5250807937406499,-0.6927356604493278,0.0,0.5074268099759245,-12.359998125941576,1.0,0.6349168650632044,129.47775088370724,0.0,0.0,107.2878771093906,1.0,0.00012205491993799722,24.868190860199622,0.0,0.23416134505157893,107.77843618392944
LOCO-W,500,-41.017455819926965,0.0,0.8790319035676506,130.89764650083208,0.0,2.8757001515611336e-06,-11.873950421593648,1.0,0.6375650170522524,-0.8954712144115738,1.0,0.5100767772631427,25.27252308409176,0.0,0.2178042377953009,18.428293811857507,0.0,0.3067815426054098,-0.44478834027515457,0.0,0.5051126982820167,-79.3097901001998,0.0,0.9967819196109624,-8.439521730827833,0.0,0.6100892212701231,34.83606638810948,0.0,0.15978173110110627,0.8953417946823018,0.0,0.48843859169478465,74.47114038836627,0.0,0.008273147320758345,41.57311016269844,0.0,0.051371717615582235,9.469182788188247,0.0,0.38952322941630324,117.01973372388493,0.0,0.00016115335103850104,123.5674986692142,0.0,7.805482870770764e-05,-129.20087865166727,0.0,0.999869308986561,-43.96275162947896,0.0,0.9482716835316567,22.895915709401645,0.0,0.25852065700027116,-102.0109383025165,0.0,0.9993754895468042,114.88856851470003,0.0,0.000698585025075138,-169.59466109877565,0.0,0.9999999999630538,4.4439313528926325,0.0,0.44872645997213534,-183.20545705048363,0.0,0.9999999999588038,104.60378486473181,0.0,0.0001772254077270219,-200.61728413422694,0.0,0.9999999999999999,67.08000905254244,0.0,0.022489880454120814,-74.98931955527335,1.0,0.9912292881414783,160.66861473086644,0.0,3.845714857675375e-10,-18.734312391841954,1.0,0.7139442929007968,29.791448811061645,0.0,0.2307630306271069,64.39640975982135,1.0,0.03183499281213531,16.454077376829673,1.0,0.33628955012828043,22.985630507684398,0.0,0.26114031794263437,-68.98100228669783,0.0,0.9900838226744585,131.36705615885003,1.0,2.98665858711189e-09,-15.505393894860596,0.0,0.7186199316534392,-13.185442490902679,0.0,0.6429697134434403,-94.86745399870864,1.0,0.9945818345505771,-92.75688251753627,1.0,0.9939413015091434,49.76641507087422,1.0,0.056125981659495006,-28.644984732589258,0.0,0.783760733356698,-8.64738388226974,0.0,0.5976453570079011,144.3822211685229,0.0,4.04209998805527e-12,19.367370769803628,0.0,0.28837131136685534,40.93852544888425,0.0,0.07431756086151198,56.61732086459497,1.0,0.048211578732580085,18.591158430037765,0.0,0.29183110745753094,-34.73558443927872,1.0,0.8406671465072321,2.3043623302692993,0.0,0.47529492050732736,216.54229974746704
LOCO-W,1000,75.03046370199559,0.0,1.00078811904325e-09,-49.6268691409988,0.0,0.9897964720624098,180.54234592609413,1.0,0.0,-134.99297022007536,1.0,0.999999999999905,148.60853539886924,0.0,1.6542323066914832e-14,-6.166198630449843,0.0,0.6105443275448323,-97.28071348881133,0.0,0.9999999357253617,-66.43262075161213,0.0,0.998599593253233,-3.653730227785395,0.0,0.5606969702553731,114.86269974339667,0.0,1.2431958795744436e-09,118.85120275588379,0.0,0.0,73.89592614601551,0.0,0.000296769450095824,-10.354553096076542,0.0,0.6824015841037753,-23.63087688686368,0.0,0.8719692694365382,169.34763312746725,0.0,0.0,1.9457349503442007,0.0,0.45887436441257456,38.51678333933507,0.0,0.04582435159344578,10.70234252240747,0.0,0.30982234331289915,50.35466054164587,0.0,0.009279378348287626,-89.70208581055688,0.0,0.9999998028213493,-19.195846784570417,0.0,0.8041623894472898,-189.27796701590148,0.0,1.0,-112.8918565989355,0.0,0.9999999999857713,61.7231063786162,0.0,0.0014635398996721838,-253.76676085305323,0.0,1.0,33.42721970858624,0.0,0.038195988243299506,117.6492860552138,0.0,1.1102230246251565e-16,-5.178900479372191,1.0,0.6020635953419469,29.112584391269355,0.0,0.07996259774768932,-8.339838761282904,1.0,0.6491240570897647,-77.1296710930022,0.0,0.9999910357300122,5.15073105119583,1.0,0.4117610222582182,13.082733250016897,1.0,0.20196973934450335,114.45486555276712,0.0,4.9404924595819466e-14,-72.16988812532988,0.0,0.9995752538848564,-10.8735986000472,1.0,0.6872671918718423,156.04726183802796,0.0,0.0,41.3739025145258,0.0,0.01958128140536375,90.12181541927374,1.0,2.7755784718697107e-05,-51.81109516549519,1.0,0.9851912659742205,234.65316275733022,1.0,0.0,-13.200209926138267,0.0,0.7227328406062472,67.99000832337624,0.0,0.0026318751980963784,-67.64833719876309,0.0,0.9989975192812226,-83.7870043182888,0.0,0.9999749522556012,7.693012456006153,0.0,0.35967998090086994,93.06799608300211,1.0,1.735470940289474e-07,74.56324080431067,0.0,0.0001102425316229505,5.80248793277359,1.0,0.385380891239683,164.8840086800327,0.0,1.1102230246251565e-16,428.81777596473694
LOCO-W,5000,15.807065213230347,0.0,0.0764388881078174,5.546830314215384,0.0,0.32261270728213587,-12.251360889736143,1.0,0.8548356482798087,27.982632328502085,1.0,0.007410423075887462,27.38092953390063,0.0,0.005908257229565117,54.35732183918805,0.0,2.0204152927361108e-06,-39.16967710103565,0.0,0.9998714262894586,41.43702945547607,0.0,0.00019303957115124337,32.582969513073536,0.0,0.0020396916657597908,-57.602093355820756,0.0,0.9999993856270136,-43.79904599455253,0.0,0.9999565737254369,122.74680132263936,0.0,0.0,6.9559274748596716,0.0,0.2754872917499487,-7.33168242024868,0.0,0.7284385113377077,10.628945316492837,0.0,0.18391053229687704,-9.750409362876093,0.0,0.8043070556653721,57.2618055997575,0.0,3.442385229091016e-07,4.130909200275129,0.0,0.36029299749891297,-49.92895184538879,0.0,0.9999960415088218,-38.8475980089995,0.0,0.9996816467763673,2.6605767930032105,0.0,0.4090579283502299,83.12178465329204,0.0,3.808064974464287e-14,111.6616290162346,0.0,0.0,-11.40828332339406,0.0,0.8379045916391213,-47.308997138678706,0.0,0.9999633931040885,17.757496058857633,0.0,0.06321151159820715,69.76462618553987,0.0,3.4545355465098737e-10,-54.80516168407646,1.0,0.999999395362751,14.345171721121329,0.0,0.10568548525401611,56.43725545932533,1.0,5.485495228052528e-07,-20.906148581763254,0.0,0.9658755934349713,9.529537489968144,1.0,0.19964514876547157,-8.362787386690062,1.0,0.7750530132460954,51.19399393465525,0.0,2.1118880665360606e-06,-38.452798087151436,0.0,0.9997547534391358,-31.867100307041632,1.0,0.9975652512492063,-48.55334691549639,0.0,0.9999906793306853,0.752075410717598,0.0,0.4744193117687604,60.649359506815344,1.0,1.3917146346464904e-07,-47.83692622474425,1.0,0.9999934016533744,93.17198794327248,1.0,0.0,117.78112094429513,0.0,0.0,-61.911005497362005,0.0,0.9999999256401175,75.22235999798616,0.0,6.43451958382002e-12,-66.97768628535552,0.0,0.999999995754452,57.957928341409875,0.0,3.2810525740778473e-08,-52.26974053203131,1.0,0.9999997595914193,-8.608210600314933,0.0,0.7683712874499387,-6.616796137091015,1.0,0.7089160179649507,-9.696098428228359,0.0,0.8213735883037293,1805.2307212352753
LOCO-W,10000,41.1707575538066,0.0,1.4742372943521431e-06,-48.39799444937615,0.0,0.9999999274002036,-26.896477227063322,1.0,0.9977050636343601,9.317668280224868,1.0,0.1740364059871785,4.192322074168661,0.0,0.31904289814204834,-41.03039696925486,0.0,0.9999945108539571,-2.923537463417987,0.0,0.6201515806583554,-29.524781816655192,0.0,0.9990193770920475,33.46184524146184,0.0,0.0002096941031013433,-41.85103416895696,0.0,0.9999990683845247,0.3890478198321047,0.0,0.48333289303911897,26.038331935935837,0.0,0.0032746315309755136,38.06776686024226,0.0,1.2418877308739695e-05,-9.566873475125854,0.0,0.8437162762477177,-39.81670875557624,0.0,0.9999985717310371,-94.98654775469613,0.0,1.0,-13.884537067235623,0.0,0.9276753414592126,-45.39891110059759,0.0,0.9999999098750604,-17.806335427027257,0.0,0.97462881075272,47.503668670077424,0.0,1.2690367534595737e-08,37.70929662855503,0.0,1.0459009206043035e-05,29.891598205359422,0.0,0.0004370631599743824,-14.074438518043385,0.0,0.932094699377495,8.891861231291307,0.0,0.16918068741441128,-4.516983626367519,0.0,0.6861603836545014,27.5697803048241,0.0,0.00044134896561554005,6.378452213163922,0.0,0.2484753223164149,-82.29239215651496,1.0,1.0,17.85810161099591,0.0,0.02467018886136907,-0.542578908944048,1.0,0.5226454436530208,45.7687671001469,0.0,4.3906278890393224e-07,-7.695841910582329,1.0,0.8000343920875802,39.79605704421493,1.0,1.5049196960492672e-05,-6.856342070541319,0.0,0.7673449263263141,77.93771780739414,0.0,0.0,-7.977690639342478,1.0,0.7988437797033621,-1.710658258314128,0.0,0.5752065727845133,-2.7110716937218418,0.0,0.6171549151258371,-72.23548816750169,1.0,0.9999999999999997,-78.9614836774906,1.0,1.0,5.194222441289905,1.0,0.2905620316360561,-33.0830311905489,0.0,0.9998068500257343,-37.195516027031324,0.0,0.9999811177650029,12.878945228169714,0.0,0.07604500574055995,3.6174467978662292,0.0,0.33166186391204755,53.18192059165234,0.0,1.2955561068395127e-09,9.590426133850714,1.0,0.15604091776461182,-37.48363059938262,0.0,0.999969769053357,37.371291912482036,1.0,2.1964461835888294e-05,-73.37836172012153,0.0,1.0,3716.748338699341
LOCO-W,20000,5.063560457442617,0.0,0.13734257231127245,-11.666128624960354,0.0,0.9905617751556862,14.685863826654773,1.0,0.0011953363644807702,9.300330341635933,1.0,0.02857847367737809,-10.71619527018315,0.0,0.9875013090895999,-11.768754057314641,0.0,0.9928375037099707,4.407896486459799,0.0,0.17652321337557964,4.667165452350223,0.0,0.1707364458066316,-5.427061124102013,0.0,0.8722832090407089,0.8961723379393961,0.0,0.42592673244254464,-0.17040159598960655,0.0,0.5140305395928652,6.124990552188312,0.0,0.09996130450565377,1.3095854638304918,0.0,0.3930671298331593,2.611038265665976,0.0,0.2875122145563651,-14.3729833415926,0.0,0.9983362325122994,3.8648925556446367,0.0,0.21641884665287647,-0.25584817434586427,0.0,0.5207145674861111,-0.3785544907837341,0.0,0.5319808508435566,-11.081709748200648,0.0,0.990102925399562,1.4026621089708968,0.0,0.38394009655619366,-7.288940610466033,0.0,0.9347728209505141,5.694273179516311,0.0,0.11656452111716464,-3.239144403492475,0.0,0.7561753863030971,5.208649997977544,0.0,0.14215424342816763,0.11727998967175415,0.0,0.4903070065725518,-7.513599226054332,0.0,0.9463756551933392,-6.33556272558099,0.0,0.9086811509152715,6.9645123149008965,1.0,0.07695579174701928,-4.629398744369876,0.0,0.8353857472821762,4.2947552625898195,1.0,0.18556509420180345,-2.4763536331625464,0.0,0.6963273640327505,-2.642372358701224,1.0,0.7072804041747485,13.613065070727671,1.0,0.0022167206830585595,-1.961758435307788,0.0,0.6599505587519573,-4.67357517121779,0.0,0.8289200943041919,6.895943728365025,1.0,0.08011933415062877,-0.2265463376429438,0.0,0.5187585401272565,-0.9776934869209045,0.0,0.5810458389863782,0.9172791452628406,1.0,0.4225903763415567,-3.4715031369701967,1.0,0.7648963620294109,-2.831320113446452,1.0,0.7231386625062244,3.963514810533387,0.0,0.20489627767218455,9.278706482088912,0.0,0.027076496831992314,8.263881765085936,0.0,0.04258181037881004,5.889734653290657,0.0,0.11509521565036007,1.7468435437768208,0.0,0.3609435976671288,1.6071138629894406,1.0,0.37023021762004205,-7.521127639696311,0.0,0.9435457308354783,-3.5103655326917553,1.0,0.7667722508845602,4.934274689205373,0.0,0.1482788346206605,8327.342356681824
CPI,200,0.0,0.0,1.0,0.0,0.0,1.0,0.03837070857389335,1.0,0.41489086767240735,0.0,1.0,1.0,0.0,0.0,1.0,-0.03873464336939492,0.0,0.8433781132992735,0.0,0.0,1.0,0.12039806120304775,0.0,0.21998989057039353,0.07086574868483808,0.0,0.2842839622616772,-0.16672390911520552,0.0,0.8729973333311976,0.0,0.0,1.0,0.0,0.0,1.0,0.07446728121709612,0.0,0.15662188670062532,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5665088427704177,0.0,0.07950134362925892,0.5325962287769812,0.0,0.0071712763745314335,0.1597635454545241,0.0,0.36022229173822556,0.11577986137527319,0.0,0.35558821783967887,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.18367602239061398,0.0,0.2645250412831873,0.2648812158760734,1.0,0.4479423392430787,-0.19605979921038852,0.0,0.8433781132993105,0.0,1.0,1.0,0.24777884858499988,0.0,0.3263668203119996,-0.08945223046291062,1.0,0.7602312614179424,0.011312084019039048,1.0,0.33207496965112665,0.0,0.0,1.0,6.538772779997004,0.0,0.15237572456541842,5.404900865595295,1.0,0.14281436757243393,-0.2591926955632573,0.0,0.937830754933527,0.0,0.0,1.0,0.0,1.0,1.0,-0.028900835207053888,1.0,0.5785427492788473,-0.6836839023781636,1.0,0.8182494530134601,-0.012537554038772214,0.0,0.6023192843602598,0.0,0.0,1.0,-2.4382095403656763,0.0,0.9706972723193942,0.0,0.0,1.0,0.01195498875901535,0.0,0.15662188670055432,0.0,1.0,1.0,0.0,0.0,1.0,0.04168309090897537,1.0,0.48611934766246595,0.0,0.0,1.0,52.72617697715759
CPI,500,-0.012578214291380618,0.0,0.8421540127010488,0.4062360863296419,0.0,0.27580045302392986,5.339966534018117,1.0,0.15774193726261232,9.590292705050587,1.0,0.09038990378421058,0.0,0.0,1.0,0.0,0.0,1.0,-0.027892380553709017,0.0,0.8421540127008416,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.4509269477649411,0.0,0.9487081355142037,-0.09535878860432945,0.0,0.670476270759885,0.03593943825657675,0.0,0.15784598729915994,-0.09791834316146719,0.0,0.5896582330673154,-0.02808744507254346,0.0,0.8421540127005799,-0.01345587660935621,0.0,0.8421540127005227,0.0,0.0,1.0,0.015391438829340132,0.0,0.15784598729963772,0.013298652684909484,0.0,0.1578459872995917,0.0,0.0,1.0,0.0,0.0,1.0,-0.0023653898305724397,0.0,0.8421540127007257,3.199436078682794,0.0,0.05665802795881929,-0.19799417048275814,0.0,0.9528374541920472,0.0,0.0,1.0,0.0,0.0,1.0,1.8214916371108814,0.0,0.13466706118836558,-0.09375077841832535,1.0,0.8697763274633308,-0.02397031145881101,0.0,0.8421540127006033,-0.27906099522184036,1.0,0.8045338944325233,0.012756445360935231,0.0,0.15784598729936206,2.2674014718495528,1.0,0.19680676156457672,8.064401871085494,1.0,0.055747389135895546,-0.09345082848264497,0.0,0.5494880995340508,-0.377852367670954,0.0,0.6269832395747538,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.2503698014295139,1.0,0.6774060778744992,0.012975943210335572,1.0,0.49845964988207103,2.250269420862338,1.0,0.15784598729932386,0.0,0.0,1.0,0.0,0.0,1.0,-0.03509935087046756,0.0,0.5566161100677065,-0.34491017932620593,0.0,0.9110220032953447,-1.5436151152672437,0.0,0.8787139078102189,0.0,1.0,1.0,0.0,0.0,1.0,-0.29654838921899795,1.0,0.7558560672501307,0.01387574950558701,0.0,0.15784598729958632,5.939093589782715
CPI,1000,-0.0343396185691347,0.0,0.8495375523245429,-0.0006752135708723017,0.0,0.8417487038787554,4.87634150452422,1.0,0.014565792841810733,7.309367807045362,1.0,0.2669723343555003,0.02965107649794163,0.0,0.39312605933678624,-0.036205280096766046,0.0,0.5795625313615371,0.0,0.0,1.0,-0.03311772383102607,0.0,0.8417487038720733,-0.014078649102145846,0.0,0.6388804772415149,-0.328836457613761,0.0,0.8637241729931326,-0.015891681764713894,0.0,0.7214765890110896,0.0,0.0,1.0,0.0,0.0,1.0,-0.12093874519689507,0.0,0.8680801065460209,-0.027262184748764184,0.0,0.7267386490618964,0.0,0.0,1.0,-0.21465333684579946,0.0,0.8417487038721063,-0.863788829007035,0.0,0.7823102578291778,-0.03184902420221647,0.0,0.8417487038723315,0.07841538161108019,0.0,0.2068933514667063,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.00724757776671936,0.0,0.2905679423710255,0.0,0.0,1.0,0.7240181816200106,0.0,0.13128045394061122,0.14289771623526804,0.0,0.22125243814125473,0.9204915694314764,1.0,0.007302920502132051,0.0,0.0,1.0,2.6501506933397536,1.0,0.007102531901143187,0.0,0.0,1.0,2.5270140645130823,1.0,0.016769034778301706,-0.035081422606026536,1.0,0.6726451553948671,-1.1339003588237802,0.0,0.7393689997478465,0.18882881925441097,0.0,0.23393314235652268,3.9205634017500017,1.0,0.020435097474768897,0.453540036286455,0.0,0.21217872187078501,-0.0828239343303494,0.0,0.6628923039300372,-0.4666550791771442,1.0,0.8417487038721001,-0.6619216043431209,1.0,0.6543010062349921,0.670268818518025,1.0,0.2592592312114984,-0.010666790148320615,0.0,0.787865194744926,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.17490040588646139,0.0,0.5874815696561466,0.2389558837615482,1.0,0.11566162852661072,0.05506553822095839,0.0,0.2655531282639146,-5.050662643468229,1.0,0.873700658252818,-1.2129921896354006,0.0,0.8597849170736114,12.07649302482605
CPI,5000,0.021691821157531876,0.0,0.3448594732876391,-0.1708188367228729,0.0,0.8205634614414743,1.7465552158303126,1.0,0.07309794133353942,1.042749573142288,1.0,0.02619775898368957,0.0,0.0,1.0,0.05131664209960718,0.0,0.2707790256670264,-0.03436462445748134,0.0,0.7938410585350488,0.0,0.0,1.0,0.06074989442637957,0.0,0.17102801030005627,0.01014091354750235,0.0,0.3910959250606679,0.0,0.0,1.0,0.0,0.0,1.0,-0.46179734745598466,0.0,0.8384213010792896,0.0,0.0,1.0,0.15877262948328053,0.0,0.04716270954544431,0.03771737590284374,0.0,0.326612857152736,0.016334945036987847,0.0,0.3482574451223666,0.0,0.0,1.0,0.0,0.0,1.0,0.011682082406736072,0.0,0.3309969364637402,0.0,0.0,1.0,0.0,0.0,1.0,0.1050708348346916,0.0,0.19226620216617846,0.0,0.0,1.0,-0.3816273028471642,0.0,0.8433487742842697,0.17842476137272456,0.0,0.08816111929327541,-0.09168921946803721,0.0,0.6984541824175423,2.061035093503648,1.0,0.023785078003282768,0.8453359812245083,0.0,0.06402791647311827,1.8093445827795733,1.0,0.06026941443795838,0.024470156312474955,0.0,0.4842893638372594,1.604236819501267,1.0,0.08660094883231673,-0.03166789447124074,1.0,0.5315275061636936,-0.010206344687844648,0.0,0.595133171811955,0.1021192019000523,0.0,0.343207437834122,1.0322611806684847,1.0,0.07090554824614947,-0.06461148139152328,0.0,0.6152599323899455,-0.026408489290702164,0.0,0.7916856374839183,1.6624815788148055,1.0,0.006131909950941318,0.9845414097422633,1.0,0.2298505888784514,0.4069607507289845,1.0,0.24072047241944877,-1.3968913775091494,0.0,0.9227144867146408,0.17981156876922455,0.0,0.1637584826026936,-0.17843692369802966,0.0,0.8050607492971263,0.45490644374194744,0.0,0.06679793400411246,-0.10563086585028714,0.0,0.6411168831330825,4.970872047533646,1.0,0.0075443127635487954,0.5752394962391065,0.0,0.09910138204288593,1.7400729640304746,1.0,0.11113415898810058,-0.4576539605897665,0.0,0.5991229711902712,44.9957914352417
