method,intra_cor,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49,imp_V50,tr_V50,imp_V51,tr_V51,imp_V52,tr_V52,imp_V53,tr_V53,imp_V54,tr_V54,imp_V55,tr_V55,imp_V56,tr_V56,imp_V57,tr_V57,imp_V58,tr_V58,imp_V59,tr_V59,imp_V60,tr_V60,imp_V61,tr_V61,imp_V62,tr_V62,imp_V63,tr_V63,imp_V64,tr_V64,imp_V65,tr_V65,imp_V66,tr_V66,imp_V67,tr_V67,imp_V68,tr_V68,imp_V69,tr_V69,imp_V70,tr_V70,imp_V71,tr_V71,imp_V72,tr_V72,imp_V73,tr_V73,imp_V74,tr_V74,imp_V75,tr_V75,imp_V76,tr_V76,imp_V77,tr_V77,imp_V78,tr_V78,imp_V79,tr_V79,imp_V80,tr_V80,imp_V81,tr_V81,imp_V82,tr_V82,imp_V83,tr_V83,imp_V84,tr_V84,imp_V85,tr_V85,imp_V86,tr_V86,imp_V87,tr_V87,imp_V88,tr_V88,imp_V89,tr_V89,imp_V90,tr_V90,imp_V91,tr_V91,imp_V92,tr_V92,imp_V93,tr_V93,imp_V94,tr_V94,imp_V95,tr_V95,imp_V96,tr_V96,imp_V97,tr_V97,imp_V98,tr_V98,imp_V99,tr_V99,imp_V100,tr_V100,imp_V101,tr_V101,imp_V102,tr_V102,imp_V103,tr_V103,imp_V104,tr_V104,imp_V105,tr_V105,imp_V106,tr_V106,imp_V107,tr_V107,imp_V108,tr_V108,imp_V109,tr_V109,imp_V110,tr_V110,imp_V111,tr_V111,imp_V112,tr_V112,imp_V113,tr_V113,imp_V114,tr_V114,imp_V115,tr_V115,imp_V116,tr_V116,imp_V117,tr_V117,imp_V118,tr_V118,imp_V119,tr_V119,imp_V120,tr_V120,imp_V121,tr_V121,imp_V122,tr_V122,imp_V123,tr_V123,imp_V124,tr_V124,imp_V125,tr_V125,imp_V126,tr_V126,imp_V127,tr_V127,imp_V128,tr_V128,imp_V129,tr_V129,imp_V130,tr_V130,imp_V131,tr_V131,imp_V132,tr_V132,imp_V133,tr_V133,imp_V134,tr_V134,imp_V135,tr_V135,imp_V136,tr_V136,imp_V137,tr_V137,imp_V138,tr_V138,imp_V139,tr_V139,imp_V140,tr_V140,imp_V141,tr_V141,imp_V142,tr_V142,imp_V143,tr_V143,imp_V144,tr_V144,imp_V145,tr_V145,imp_V146,tr_V146,imp_V147,tr_V147,imp_V148,tr_V148,imp_V149,tr_V149,imp_V150,tr_V150,imp_V151,tr_V151,imp_V152,tr_V152,imp_V153,tr_V153,imp_V154,tr_V154,imp_V155,tr_V155,imp_V156,tr_V156,imp_V157,tr_V157,imp_V158,tr_V158,imp_V159,tr_V159,imp_V160,tr_V160,imp_V161,tr_V161,imp_V162,tr_V162,imp_V163,tr_V163,imp_V164,tr_V164,imp_V165,tr_V165,imp_V166,tr_V166,imp_V167,tr_V167,imp_V168,tr_V168,imp_V169,tr_V169,imp_V170,tr_V170,imp_V171,tr_V171,imp_V172,tr_V172,imp_V173,tr_V173,imp_V174,tr_V174,imp_V175,tr_V175,imp_V176,tr_V176,imp_V177,tr_V177,imp_V178,tr_V178,imp_V179,tr_V179,imp_V180,tr_V180,imp_V181,tr_V181,imp_V182,tr_V182,imp_V183,tr_V183,imp_V184,tr_V184,imp_V185,tr_V185,imp_V186,tr_V186,imp_V187,tr_V187,imp_V188,tr_V188,imp_V189,tr_V189,imp_V190,tr_V190,imp_V191,tr_V191,imp_V192,tr_V192,imp_V193,tr_V193,imp_V194,tr_V194,imp_V195,tr_V195,imp_V196,tr_V196,imp_V197,tr_V197,imp_V198,tr_V198,imp_V199,tr_V199
n_cal1,0.0,0.0,0.0,-0.11446111599295428,0.0,-0.020327739947745727,0.0,1.3160183752646955,1.0,0.0,0.0,0.1118632851689636,0.0,0.0,0.0,-0.043040198419955544,0.0,0.12536620580940117,0.0,0.0025660926181991783,0.0,-0.010039848520689176,0.0,-0.01647766527300476,0.0,0.0,0.0,1.3740806534431158,1.0,0.0840778457251865,0.0,0.0,0.0,-0.02441473019722551,0.0,0.0,0.0,1.0074468679119999,1.0,-0.09829991262780347,0.0,1.7488560404788647,1.0,0.03723822404747246,0.0,1.1420514235116137,1.0,0.4844625006878296,1.0,-0.038991762696674925,0.0,0.025504657817421617,0.0,1.2230595766009689,1.0,0.0,0.0,0.18593048146416713,1.0,1.2928737867300661,1.0,-0.013445964460828463,0.0,0.017570339766470155,0.0,0.050169114415657745,0.0,-0.003238826203512346,0.0,0.014518515294676959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5413509343666494,1.0,0.1332621805629124,0.0,1.346403153357283,1.0,0.0,0.0,0.0,0.0,-0.001986844272915178,0.0,1.4613408735702915,1.0,-0.025226386834919623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004473217189863377,0.0,-0.007280175853372484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00986640820499396,0.0,0.0,0.0,0.0,0.0,1.1558164998039384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5907785265804026,1.0,0.06220983697126847,1.0,0.0,0.0,0.03284410190085474,0.0,0.0671886653315159,0.0,0.13270779385632459,1.0,0.0,0.0,0.0,0.0,-0.0005058009284777398,0.0,0.0,0.0,0.06686179454173136,0.0,0.0,0.0,0.005817338304368036,0.0,0.0,0.0,0.42387736048191726,1.0,0.7254002738112106,1.0,-0.0016923546769938014,0.0,0.0,0.0,0.0,0.0,-0.011161743479009445,0.0,1.8127844682248089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06930302533267074,0.0,0.0,0.0,0.021329561697681854,0.0,0.0,0.0,-0.020158589339777322,0.0,0.15206112911373282,0.0,0.7302122642406204,1.0,0.0,0.0,0.5680814918304886,1.0,1.6545201399392226,1.0,0.0,0.0,-0.04225473178640371,0.0,0.0,0.0,-0.015586839345690606,0.0,1.3730931503194288,1.0,0.0,0.0,-0.0030600521885091325,0.0,0.0,0.0,1.5279320818364308,1.0,0.0,0.0,0.35738177828724105,1.0,0.8865058366164398,1.0,1.0026439046187292,1.0,-0.0012841464106632117,0.0,-0.010032100154298007,0.0,0.002680157473598399,0.0,-0.22603519101468628,0.0,0.5410851988626604,1.0,0.8634893111599933,1.0,0.9818443859696586,1.0,0.0620768881933369,0.0,-0.08372364962160717,1.0,-0.07584116729177381,0.0,0.02790783035583111,0.0,0.004566735609536465,0.0,0.0,0.0,-0.07284521736418448,0.0,0.005142379847015377,0.0,0.0,0.0,-0.08426596099737971,0.0,0.0,0.0,0.0,0.0,-0.021086144986766087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36082408289509615,0.0,0.0,0.0,-0.10577461174721137,0.0,-0.1381393087114322,1.0,0.0,0.0,0.0,0.0,-0.014697263133035321,0.0,1.4560932866280218,1.0,0.0,0.0,0.0,0.0,-0.0030663852438781447,0.0,0.0,0.0,0.0,0.0,0.03715215399789962,0.0,0.7459040607453566,1.0,0.0,0.0,0.22804866097389898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2256429755040124,1.0,0.0,0.0,0.02429989802443977,0.0,0.0,0.0,0.0,0.0,-0.007441997301922854,0.0,0.0,0.0,-0.005149460591356458,0.0,-0.018873403408411704,0.0,0.9798399900787835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01797762918497625,0.0,0.0,0.0,0.7389059132414229,1.0,-0.05182404865284518,0.0,-0.017252500390759096,0.0,0.0,0.0,0.025532610206502326,0.0,0.008650457508380782,0.0,0.0,0.0,-0.02287132828114835,0.0,0.0,0.0,1.0947268195080433,1.0,0.0,0.0,0.002843675046054983,0.0,0.0,0.0,0.2221215221889299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09971232693994381,0.0,0.0,0.0,0.014709154431145066,0.0,0.155269223100591,0.0,0.0,0.0,0.6655522362255795,1.0,0.0,0.0,-0.06606080841470785,0.0,-0.10465279687271334,0.0,0.0,0.0
n_cal1,0.15,-0.025549109840581785,0.0,0.07931538820432849,0.0,0.08505242463654472,0.0,1.9362469057773648,1.0,0.0,0.0,0.07754024885314958,0.0,0.0,0.0,-0.0004489713722390931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043553861710504016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05723430068734903,0.0,0.7569947041585863,1.0,-0.0002507101350692764,0.0,0.8108661299814841,1.0,0.0,0.0,1.3617712288513335,1.0,0.581206114757066,1.0,-0.011772713781045496,0.0,-0.10697608238831346,0.0,1.3791858117826301,1.0,0.0,0.0,1.6495199975506143,1.0,1.1614334611317787,1.0,0.005856358787801774,0.0,0.0,0.0,0.06995230802174301,0.0,0.0,0.0,-0.03584759585318675,0.0,-0.014786411793505927,0.0,0.0,0.0,0.0,0.0,1.111463697591839,1.0,0.0,0.0,0.9121743012170285,1.0,-0.002687423319643223,0.0,-0.02565890046023167,0.0,0.0,0.0,0.8713212044868239,1.0,-0.04767994794881236,0.0,0.0,0.0,-0.0017770542656405652,0.0,-0.05935084573974603,0.0,0.0,0.0,-0.020743131703760298,0.0,-0.0468807774198261,0.0,0.0,0.0,-0.04876697566145971,0.0,0.050168041113425765,0.0,0.007054126208251965,0.0,0.0,0.0,-0.013570058211891833,0.0,1.3314389957855681,1.0,0.05249268333562185,0.0,-0.027256154650311615,0.0,0.015113387623968855,0.0,0.10340050581358806,0.0,0.8639374359465641,1.0,0.3351555592695252,1.0,0.0,0.0,-0.003948589093049293,0.0,-0.057586265445931595,0.0,0.8774783535012407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023949406015244534,0.0,0.06684448770845997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6310069448702134,1.0,0.9868640532865172,1.0,0.0,0.0,0.0,0.0,-0.012317986088830502,0.0,0.0,0.0,0.7659896399653796,1.0,0.0008312821035536544,0.0,-0.0012208252287875254,0.0,0.0,0.0,-0.022260888813513624,0.0,-0.09892600647524752,0.0,5.498609221277206e-07,0.0,0.0,0.0,0.0,0.0,-0.03221375344059041,0.0,1.9338532545966025,1.0,0.0,0.0,0.4491453048607488,1.0,0.6879888542491397,1.0,-0.09182812179932842,0.0,0.0,0.0,-0.0281056936496773,0.0,0.0,0.0,1.103534802438558,1.0,0.001368514286336442,0.0,0.0,0.0,0.0029490708728339143,0.0,2.285706977987262,1.0,0.11892668166074394,0.0,0.7546417721131302,1.0,0.8652639053534781,1.0,1.191005016748349,1.0,0.0016638500615044904,0.0,-0.02679967764948188,0.0,-0.031500962925708365,0.0,0.02761886694320914,0.0,0.8520047376949389,1.0,1.157077880386538,1.0,1.7075878737444938,1.0,0.00765799475023865,0.0,0.16425835796044908,1.0,0.0003792703510221429,0.0,0.0,0.0,-0.06920247363312004,0.0,0.014873302045419479,0.0,0.0,0.0,0.0,0.0,-0.007538016042345497,0.0,-0.2892145512007209,0.0,0.0,0.0,0.0,0.0,-0.062295727829066116,0.0,-0.007815935905435722,0.0,-0.015569581703827495,0.0,0.0,0.0,-0.04152314262289192,0.0,0.0,0.0,0.0,0.0,-0.05819539555336384,0.0,-0.004251929231556595,0.0,0.0,0.0,-0.03795877802814385,0.0,0.34496214442211226,1.0,0.0,0.0,-0.017034566926504624,0.0,0.0,0.0,0.8183502221113503,1.0,0.0,0.0,0.05806925735836099,0.0,0.021012578978933938,0.0,-0.01787913367083238,0.0,-0.024531685530140734,0.0,-0.01573324375681029,0.0,0.7205401878375906,1.0,0.026316259622083393,0.0,1.0181180045567544,1.0,-0.09549157716795165,0.0,0.0,0.0,0.0,0.0,0.7958233210642565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09296393441341255,0.0,0.0,0.0,0.0,0.0,-0.0009273393271058694,0.0,0.8389879605537587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10933132059747486,0.0,0.0,0.0,0.6874987822215939,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021616083448980916,0.0,-0.23709439755918726,0.0,-0.11084959986077436,0.0,-0.0022730324001472013,0.0,0.5306649557267491,1.0,0.007045439783059493,0.0,0.0,0.0,-0.13856673870581293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05485345867557978,0.0,-0.11259922415370394,0.0,-0.004332375616415085,0.0,-0.012922343706092576,0.0,0.0,0.0,0.031350754454087415,0.0,1.2017997999287093,1.0,-0.05792874969983508,0.0,0.0,0.0,0.00678675826061248,0.0,0.004806041204379774,0.0
n_cal1,0.3,0.03373990228974044,0.0,-0.014652647983837142,0.0,0.0,0.0,1.7146330464051927,1.0,0.00327487128136017,0.0,0.01518692981527714,0.0,0.0,0.0,-0.06961625775469482,0.0,0.0,0.0,-0.011029103843188004,0.0,0.008810372958073742,0.0,0.016642804349230822,0.0,-0.00879878804434231,0.0,0.6149888143672877,1.0,0.0,0.0,0.0,0.0,0.09955732698703823,0.0,0.0,0.0,0.296313335862588,1.0,-0.38992858304604994,0.0,0.34546608731209094,1.0,-0.004249404572461479,0.0,0.4356981364995063,1.0,-0.28246716879580447,1.0,0.09427304514934676,0.0,0.028073607245665322,0.0,0.4084377432824118,1.0,-0.017473414844710433,0.0,0.7036175299800282,1.0,1.5767975229660456,1.0,0.00044424322562530705,0.0,0.0377422373471914,0.0,0.0,0.0,0.014965384288124106,0.0,0.0,0.0,-0.10774116946218548,0.0,0.0,0.0,0.0,0.0,0.6204173810664892,1.0,0.013931691292326853,0.0,0.642412944873981,1.0,-0.08017326750996379,0.0,0.0,0.0,0.0,0.0,1.0382157981399827,1.0,0.004692148050319034,0.0,-0.07073698618690383,0.0,0.0,0.0,0.0,0.0,-0.025955643606994983,0.0,0.0,0.0,-0.07959244471452731,0.0,-0.028551357218784545,0.0,-0.007447044246726264,0.0,0.0,0.0,0.014923172294689202,0.0,-0.03497473435622922,0.0,0.05579370112598703,0.0,0.7512297801525554,1.0,0.0,0.0,-0.0014999941873226064,0.0,-0.09180512432565102,0.0,0.02939379294697808,0.0,1.466965611669699,1.0,0.24222188135731404,1.0,-0.05133748005213068,0.0,0.0,0.0,0.0,0.0,0.8614946107680828,1.0,0.0,0.0,-0.11740268199952997,0.0,0.0,0.0,0.0,0.0,-0.0019157934419684608,0.0,-0.00012881535545083977,0.0,0.0,0.0,0.0,0.0,1.1345623560277351,1.0,1.2429312921697582,1.0,0.006113013166193504,0.0,0.027657555246031862,0.0,-0.07129197445925683,0.0,0.0,0.0,1.170297502597383,1.0,0.06147890715449833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016110144414840377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017917735617043462,1.0,0.06626314612725626,0.0,1.0762756631778023,1.0,0.8299436024497711,1.0,0.0,0.0,-0.020572494719270473,0.0,0.0,0.0,0.0,0.0,0.6823286145107188,1.0,0.0,0.0,0.004013651401039375,0.0,0.01959946493245468,0.0,0.4158690981765174,1.0,-0.013700777150095433,0.0,0.9660107768790125,1.0,0.8664574961271354,1.0,0.07802364440973086,1.0,-0.007593492066072294,0.0,0.0,0.0,-0.08012553444297055,0.0,0.1453740227504312,0.0,0.6872244795871145,1.0,1.444782210426589,1.0,1.2413399254045379,1.0,0.044976912204209185,0.0,0.9220141530903065,1.0,-0.03672441276091476,0.0,0.03215942895027535,0.0,0.1032388678587548,0.0,0.0,0.0,0.0,0.0,-0.0485793188966257,0.0,0.0,0.0,0.02129104441392471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04080465095449792,0.0,-0.07867193739632139,0.0,-0.0028536531632754603,0.0,0.038401994356157765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0865947516235206,0.0,0.023781604460599404,0.0,0.0,0.0,0.953826619027283,1.0,0.0,0.0,0.0,0.0,0.004837895957727767,0.0,0.9766787910426826,1.0,-0.04086421319656264,0.0,-0.10379839411916514,0.0,-0.0007363094264212222,0.0,0.0,0.0,-0.04444150535428726,0.0,-0.020745861467216464,0.0,-0.0071706462140515015,1.0,0.0,0.0,1.144380414655818,1.0,0.0,0.0,-0.018441172431495012,0.0,-0.026180540898596227,0.0,0.3954181746316392,1.0,0.0,0.0,-0.08244002363487724,0.0,0.0,0.0,0.0,0.0,-0.0038329583396397027,0.0,0.0,0.0,-0.21041872896180536,0.0,-0.027703488548787902,0.0,1.2064496179261832,1.0,0.051226234762209444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1998541559959977,1.0,0.0,0.0,0.0,0.0,0.008820893458299395,0.0,0.0,0.0,0.0,0.0,0.03234937663928772,0.0,0.0,0.0,-0.0006653080804497336,0.0,0.3890860263323086,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004257111744678355,0.0,0.0,0.0,0.0,0.0,-0.014146298684373448,0.0,0.0,0.0,0.012749027529855184,0.0,0.0,0.0,0.0,0.0,-0.002883884633076761,0.0,0.2846169896005373,1.0,0.0,0.0,-0.04292552658472992,0.0,0.0,0.0,-0.05600738463378985,0.0
n_cal1,0.5,0.0,0.0,0.0,0.0,0.08139943842092379,0.0,-0.18080879092556934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10724581987410531,0.0,0.0,0.0,0.0,0.0,0.27001220939872184,0.0,-0.004771152813225044,0.0,0.0,0.0,0.8048779562570072,1.0,-0.07601262506688755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1675687354685298,1.0,0.0005519408505012535,0.0,0.501296176437986,1.0,-0.09236039385559991,0.0,0.43302445116368204,1.0,0.7254677802949274,1.0,0.0,0.0,0.0,0.0,0.29490189497104424,1.0,-0.1716047779175387,0.0,0.20472077572487102,1.0,1.4564444294756598,1.0,-0.010034223281119026,0.0,0.043626013934490615,0.0,0.0,0.0,0.1681342685775764,0.0,0.0,0.0,-0.1059033432281673,0.0,0.0,0.0,-0.28763581275939565,0.0,0.8630305032621521,1.0,0.0,0.0,-0.20653759008371964,1.0,0.03161372038015742,0.0,0.0,0.0,0.0,0.0,0.12566527280818462,1.0,0.31167530872453497,0.0,0.0,0.0,0.0,0.0,-0.06401742721236481,0.0,-0.16301586589924,0.0,0.001398825216144317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037945559081613567,0.0,0.0,0.0,0.4828803510491273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04966711431221782,0.0,1.5726715399762607,1.0,0.49438159239795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16268568019511243,1.0,-0.004871502403030803,0.0,0.05660396352490871,0.0,0.0,0.0,-0.019425655946735176,0.0,0.0,0.0,0.0,0.0,0.0036060175690781904,0.0,-0.1414816587338823,0.0,1.0238357814495664,1.0,-0.13675443949876964,1.0,0.022576357575177397,0.0,0.01156099236890995,0.0,0.0,0.0,0.0,0.0,0.7740427973869295,1.0,-0.057378659014984734,0.0,-0.0034422924184820403,0.0,-0.0009824172268171338,0.0,-0.013739261996388308,0.0,0.0,0.0,0.009913597797091,0.0,0.0,0.0,-0.09065768351910464,0.0,0.0155656492817009,0.0,0.13345737772960753,1.0,0.0,0.0,-0.21656013606670044,1.0,0.30068225020195705,1.0,-0.21328099819516666,0.0,0.0,0.0,0.0,0.0,-0.006977342924493257,0.0,0.1316253180434277,1.0,0.0,0.0,-0.0069307834840888205,0.0,0.0,0.0,0.075968999756439,1.0,0.0,0.0,0.24118078502188567,1.0,0.9598337407740019,1.0,0.8248445632501795,1.0,0.0,0.0,-0.009717008417961637,0.0,0.1464963750971915,0.0,0.02711293244438373,0.0,0.6878034037696068,1.0,0.5271663887152158,1.0,-0.24079128547521478,1.0,0.0,0.0,-0.026491911363908827,1.0,-0.04625469898311607,0.0,0.010231157405065971,0.0,0.0,0.0,0.0,0.0,-0.24401270964937538,0.0,0.0,0.0,-0.015338280951766592,0.0,0.0,0.0,-0.17844222923526232,0.0,-0.034712995847510086,0.0,0.0,0.0,0.0,0.0,-0.06521195137704794,0.0,0.0,0.0,0.0,0.0,-0.05367579429398539,0.0,0.00994972378906489,0.0,0.0,0.0,0.04260160626718701,0.0,0.012383335686804386,0.0,-0.014853477354970224,0.0,0.6707491203126139,1.0,0.0,0.0,0.0,0.0,0.018849534023535952,0.0,0.6925396991930661,1.0,0.0036140932156776273,0.0,0.0,0.0,0.0061439261240412435,0.0,0.0,0.0,-0.0004903611720354917,0.0,0.0,0.0,0.05894774764631272,1.0,0.0,0.0,1.1486939881124627,1.0,-0.014285176630298935,0.0,0.0,0.0,-0.1294433561910875,0.0,0.2814931095259876,1.0,0.0,0.0,0.0,0.0,-0.22632897623690162,0.0,-0.019533720663005738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031030576323001213,0.0,0.10447660228793865,1.0,0.0,0.0,0.0,0.0,0.24764824324694068,0.0,0.0,0.0,0.0,0.0,0.7211033900045329,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09401756339823564,0.0,0.017807375486109223,0.0,-0.028095089095119263,0.0,-0.00609757390507859,0.0,0.797229803594794,1.0,0.0,0.0,0.0,0.0,-0.0075690113559669925,0.0,0.0,0.0,-0.05556815583910435,0.0,0.03898514699358557,0.0,0.0,0.0,0.0,0.0,-0.04189338326769132,0.0,0.02575814156999101,0.0,0.0,0.0,0.021270707722601756,0.0,-0.005523623618667983,0.0,0.6957365996346798,1.0,-0.008769130183898355,0.0,0.0,0.0,0.0,0.0,-0.0497471092331736,0.0
n_cal1,0.65,-0.033172456902700986,0.0,0.03647889635397661,0.0,0.0,0.0,0.13170463787922237,1.0,0.0015615202565211206,0.0,0.018127819892244545,0.0,0.0,0.0,0.0,0.0,-0.13052263012251686,0.0,0.0,0.0,0.02838208262134323,0.0,-0.02107001472726644,0.0,0.0,0.0,0.037679671445499,1.0,-0.042212589647558474,0.0,0.0,0.0,0.0,0.0,0.05624285702460874,0.0,0.5415010457160001,1.0,0.015916026668492123,0.0,0.414321193539374,1.0,0.0,0.0,0.2928358628020753,1.0,0.34784495236744384,1.0,0.11143187084533146,0.0,0.0,0.0,0.14716227856801822,1.0,0.0,0.0,0.28772119042715794,1.0,0.5283798794341319,1.0,0.0,0.0,0.0,0.0,0.034542211066073136,0.0,0.0,0.0,0.0,0.0,-0.013704921638467482,0.0,0.0,0.0,0.04861118974826795,0.0,-0.04679590869470651,1.0,0.0,0.0,0.46689900511163884,1.0,0.0,0.0,-0.03398523122144326,0.0,0.04149050608260829,0.0,0.3984136698176002,1.0,0.0,0.0,0.18655170031289536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002068143828422464,0.0,0.0,0.0,-0.2118159595034559,0.0,-0.03796692312401362,0.0,0.0,0.0,0.0,0.0,-0.09387299693989704,0.0,0.0,0.0,0.8254936135940927,1.0,0.0,0.0,0.0,0.0,-0.08128246699536668,0.0,0.07337158773661656,0.0,1.0087668604344007,1.0,0.5331370561152156,1.0,-0.023193066178318844,0.0,0.0,0.0,-0.0026187628693854492,0.0,0.4163818495278786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022304688880737444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1472949402521042,0.0,-0.05584472366849447,1.0,0.4299604280223619,1.0,-0.051057442256636776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33028232494800847,1.0,0.020738867145524864,0.0,0.0,0.0,0.0,0.0,0.060259723924051656,0.0,0.0,0.0,-0.23973900828725547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07092570352999239,1.0,0.0,0.0,0.1659571016083401,1.0,0.2090658594743342,1.0,0.0,0.0,0.0,0.0,0.01898031482429907,0.0,-0.00014221789451518418,0.0,0.6181559416113114,1.0,-0.0195134665756882,0.0,0.0,0.0,0.2496446198889739,0.0,-0.29111360791691787,1.0,0.0,0.0,1.5844166658633476,1.0,-0.16261149826492982,1.0,0.47818391079525036,1.0,-0.06423571906213787,0.0,0.0,0.0,0.2330051963304136,0.0,0.0,0.0,0.5043321138971866,1.0,0.06023024875321603,1.0,0.19863187264609827,1.0,0.12907789121794266,0.0,0.0717020781625557,1.0,-0.2299831952724869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02633802891668857,0.0,0.0,0.0,0.02792958578966065,0.0,-0.06019997561628898,0.0,0.0,0.0,0.0,0.0,0.04512491626751647,0.0,0.0,0.0,0.0,0.0,-0.04776286933503826,0.0,0.0,0.0,-0.09255478395039418,0.0,0.10265392924370076,0.0,0.08508700157255333,0.0,0.017404761704522542,0.0,0.026619568802573212,0.0,0.0,0.0,0.5015810453682317,1.0,0.0,0.0,0.0,0.0,-0.03637736352089149,0.0,1.332323888509963,1.0,0.07059797765976228,0.0,0.30172947944306827,0.0,0.0,0.0,-0.04927693497060304,0.0,0.0,0.0,0.0,0.0,0.7307161919100071,1.0,0.0,0.0,0.31609864026155243,1.0,0.001518174007600237,0.0,0.0,0.0,0.0,0.0,0.43434019372985766,1.0,-0.6040809953532271,0.0,0.0,0.0,0.021100641682563648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2810484278460663,0.0,-0.28142021789132166,0.0,0.05359805989154687,1.0,0.0,0.0,0.0,0.0,0.0706002809184394,0.0,0.0,0.0,0.0,0.0,0.08301304964930445,1.0,0.0,0.0,-0.09432823946371904,0.0,0.0,0.0,-0.04728791140764521,0.0,0.0,0.0,-0.12074035428491392,0.0,0.0,0.0,0.0,0.0,1.1605326934834892,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034258490916982964,0.0,0.011465739510619244,0.0,0.026130853843538304,0.0,0.0,0.0,0.0,0.0,0.16303241996770979,0.0,0.0,0.0,-0.021908134145558478,0.0,0.11460086229288713,0.0,0.3508358679493053,1.0,0.0,0.0,-0.029568966535935104,0.0,0.0,0.0,0.0,0.0
