method,n_samples,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11,imp_V12,imp_V13,imp_V14,imp_V15,imp_V16,imp_V17,imp_V18,imp_V19,imp_V20,imp_V21,imp_V22,imp_V23,imp_V24,imp_V25,imp_V26,imp_V27,imp_V28,imp_V29,imp_V30,imp_V31,imp_V32,imp_V33,imp_V34,imp_V35,imp_V36,imp_V37,imp_V38,imp_V39,imp_V40,imp_V41,imp_V42,imp_V43,imp_V44,imp_V45,imp_V46,imp_V47,imp_V48,imp_V49
0.5*CPI,50,0.033175128513438956,-0.03801129347663146,-0.5721495511019956,0.11333012427743316,0.31174361955979535,0.044182667063092484,-0.0004779907919356674,0.0048718490404233705,-0.0019116012972162366,-0.013058136526165942,-0.0012768229270356812,0.00020905838547724542,-0.0014533709842261544,-0.020497573122747248,0.00023897152630514285,-0.0014018401689446236,0.00439089852173602,-0.0004100613330266789,0.005938882147207725,-0.012973715383147066,0.0037739358932902256,0.03050752025423531,-0.0008245768579770996,-0.00022558220228718895,0.059171549180394134,-0.00291245211403357,-0.0032399802052220927,5.575823274073244e-05,-0.02297668181608392,0.03393411679770564,-0.002307738875002574,0.010171846795574258,0.005699314457560778,0.02059495683027457,0.0029411398044207893,0.0007909414083027144,0.014429121871156525,-2.4027943424709264e-05,-0.006136511708476178,-0.005770236698105169,-0.0006509416010289648,-0.01618104215815075,0.0006748305429740142,-0.011714688071768453,0.020249394863759207,0.006372114613329316,-0.0004466238607312434,-0.0001561184377081304,4.35208490356942e-05,0.029621354156050383
0.5*CPI,100,0.0633095844375734,0.02756015136212009,-0.03791629356218695,-0.29421172785581917,0.0038588116010886964,-0.0010910913396625643,-0.021655956120300357,-0.0024130321673798694,0.05471136653600006,0.00458470213386919,-0.008532276434414343,0.006733889858651643,-0.006276654491387146,0.006195148753212365,-0.004570289541334871,-0.01923354580150216,0.0052054578010919395,-0.006396431847677353,-0.00014243426764803946,0.0009863597844438354,0.007097106115870999,-0.00273418941119008,-0.0012010520076507492,0.00012259136443604213,-0.023414078865557797,0.004519174913599988,-0.0011835748962195636,0.0006080199472018322,-0.0024869286470087237,-0.0056931906575021785,0.002817015173402493,0.0040092808321051665,-0.00591375404202843,-0.004681377023408317,-0.003279891159532977,0.0017421836978741556,0.08373342442533815,4.2251433427065166e-05,0.0016838831792557185,-0.0039394434322078675,0.02306122100806729,0.0002583187350467808,-0.0011654466975076216,-0.007389301435571816,-2.4919808468748528e-05,0.002023578202822951,0.004071687128041401,0.0035689733457229256,-0.0009494969056871305,-0.021606901097573794
0.5*CPI,200,0.0601429697736493,0.011340055407340177,0.006246859280287564,0.6451119143868773,1.761317310137913,-0.003106144591128679,-0.0054719778383987006,-0.0013487991203051664,0.0038830033995003177,-0.0063897430892145834,-0.0013715353437948608,0.0005762055137390476,-0.0061959556706390195,0.005404932771480908,0.0010091836539374288,-0.0004359664833655241,0.0009575893381343903,-0.024336144229973655,0.0009527478528414957,-0.007164492914605081,0.004019164372612183,0.07592778260785593,-0.008702270481122376,0.006116681516119771,0.0013299035269329629,0.0019037663161254326,-0.00495206156929906,0.002482399511407607,-0.0021151793723006573,0.007751202180421801,-0.0010344953407637192,-0.02185627121986755,-0.0007388682930800083,0.00011563729953567581,-0.04232128170959992,-0.0037252331294466146,0.0003688965004222666,0.011033776296140108,-0.003880997729639013,-0.03453348157118907,0.07416366647890982,0.0015105363463330246,-0.007438736132578283,-0.00029074964049402574,0.0009076376020957788,0.0036380921182115333,0.005945154366146399,-0.0008270833806085509,-0.006528467700720908,-0.01693486737628591
0.5*CPI,500,0.06787884918606002,0.23572823554511224,0.04571331709941284,0.24964390176182294,0.43987880642172217,-4.191438531697678e-06,0.0017024897379702697,0.0005276576880404171,-0.0016922562626943138,0.09390372414015036,-9.0119880789441e-05,0.0012407523220194783,0.0,0.00022635209965615743,-7.293916960415814e-07,-0.0002212547881018656,-0.009777832614079607,-3.302449214015457e-05,0.0017287582811257307,-0.0007931140733064002,0.0015239626604848233,4.619984875953165e-05,-0.0006323466264132049,-0.006091743955676243,-0.0032488225429634365,-0.005995324912995037,1.1205926408686118e-05,-0.0002338914200864517,0.0,0.0,0.0,-0.00012344862727431405,0.000584744580286678,-0.00021894754921203408,0.0,-0.0005057196119194751,0.006554368593624238,0.0033223871933841798,-2.647030133895445e-05,-0.0004765572047932265,8.281272242582904e-05,0.0003110493451073948,0.006305198650447985,-0.003541553860468727,-0.002359757931035378,0.00012567600008450697,-0.0029725890645171393,0.0006770097517480034,-0.00029293183450318505,0.0025451856402700646
0.5*CPI,1000,0.20793090620938307,0.17475040104605813,0.27749874162812516,0.6259168714588126,0.7539868548655865,0.0001386149273357451,0.0005851705584359879,0.0001515057390004959,0.000933811008318769,-0.0002244655798128714,5.52953765527997e-05,-0.0011018253946704082,0.0007257779275644249,0.0006606001018755747,0.0002599087758221874,-0.0006095860550941468,-0.00035826076236447624,0.0029348360787588845,0.001800811316836376,0.000923269207978028,-8.205725132981456e-05,-0.0009764022663668326,0.004111047177044275,-0.0003694036291508884,0.0024091611233777177,-4.90609656028651e-06,0.000386768736739207,0.0016172292869731097,0.0004862536899389591,0.0006662404945274869,-6.37126141531108e-06,0.0016784114709560705,2.8610019833702482e-05,-0.00011876578264846671,0.0009013243596843745,-0.0004570220159967331,7.774332938523254e-05,0.0002823278981580746,0.0010993544558205448,-0.00044528706526009154,-0.0003545969129894466,0.008010188745134594,0.0006801232101658616,0.0014090975042303222,0.0017010447738557422,-0.0001207624487347958,8.838278110026576e-05,-0.0001304912076398601,-9.571194690724538e-05,0.00027948523879423037
0.5*CPI,2000,0.2979381878951529,0.17093968422585468,0.33372617354780587,0.8595306484223705,0.8585904106125796,0.0010534937902588193,0.00012943657891084648,-0.0003475320462512921,0.00029838247738525614,0.00043484543748173454,0.0010794897497994338,0.0020309194470802816,-0.00024198684938028792,-4.7465060579898743e-05,-0.00018047394705286712,-0.002648100776109774,0.00037885848608110173,-0.00015114784811548487,0.0007657716209715781,-0.001252514555583728,0.0012305572143194443,-0.0030125895448644413,-0.00015719946512574023,0.00010652748661141298,0.0006430615563631226,0.0006987837013199549,-0.0002536839339731811,8.100807740885063e-05,-0.000729346022542432,-0.0020527414961366564,0.0004062184765750987,0.0001715673656335348,0.0019804661549819025,5.174211019701169e-05,0.0001686270179016569,-0.0012371185981016608,0.00015087377804853808,0.00030588314650725756,-1.979859665379724e-07,-4.1942873929001756e-05,-0.0002031360360396639,-0.0011043032072304004,-0.00024725599280489563,-0.0006081358682363813,0.00029399152483242097,0.0008314338645563635,0.000586301978552084,0.0001471804768035656,-0.0015557252992687565,0.0010828278878513842
PFI,50,-0.008163437545512853,-0.03195728775818907,-0.069164873452908,0.07290566300173129,0.1541105432656642,0.009523502237829717,-7.948563324733371e-05,-0.008311035476789908,-0.0014366466653630283,-0.0013151385191063625,0.0046439426172555365,-0.0017212095118890325,-0.002789127776651412,-0.005070038391917997,0.0006959648931741391,-0.036105893552922375,0.002018533258568489,-0.0005305284118350961,0.002720453277491597,-0.0011306673556070734,0.0031987133846489435,-0.0075463504311947815,-0.000471462622230856,-0.00047223880293945086,-0.007139147909023702,-0.005517900793884589,-0.0029099835958787956,2.2499525041741464e-05,-0.00439150987182968,-0.010515486402471463,-0.013218314618877791,0.0005308169002469221,0.002304843181185845,0.0007233543774045614,-0.00024072896476923233,-0.006266004401762615,-0.0003052445286058081,-8.400989238488421e-05,-0.007284269982841707,0.01783537190268536,-0.0002586184743895714,-0.010305291119396376,0.00033275493066042827,-0.0034573906592600956,-0.0007994322189226466,0.008044474379071076,0.0013037170710248347,0.027334815577349403,-0.002185874538658261,-0.06212443120557953
PFI,100,0.0902767002325584,0.004422500819701636,-0.02960796457015502,-0.15161591064678093,-0.003769234772227348,-0.002434081487922013,-0.016788888122637236,-0.042335390586315746,0.039927929281751595,0.003635301681394809,-0.004654346381494756,0.005359445536249341,-0.0038507021171656497,0.005079283016323766,-0.005206417199076885,-0.001417994949574064,0.021467661001681737,-0.0015477923997668785,0.003491585582150236,-0.0005482686928688363,0.005727868874108921,0.00020644672442404755,-0.000621422453522591,0.0015578278894547992,-0.041727967679048295,0.005766516720239645,-0.00042700766312053773,0.002765927211833885,-0.005108087227566838,-0.006167528773948661,0.005050791917315278,0.005227596027818748,-0.004170197603857284,-0.0003438969806697223,-0.0037843459380557665,0.0015245003671815471,0.06941277223961784,0.00024081013355381486,0.0011864595677746337,-0.00486191120697832,0.014344182932498395,0.0014524114650695807,0.002671744189068015,-0.002990361684193976,5.144727877848254e-05,-0.011441091150381277,0.004038374718818627,-0.0014078981193419438,-0.000652864255605401,-0.003187082484923831
PFI,200,0.052083733061112136,0.027854488683842105,0.012910764005068298,0.5698015174805846,1.2154792895350885,-0.00025522838885638777,-0.0045740103023768075,0.002098192379627273,-0.004755995948183767,-0.0010239893245458376,-0.00415492528494199,0.0009082608792756464,0.0016982478355491715,0.0031878582300572944,-0.0004825539302373283,-7.972371899289676e-05,0.0003108245788490116,-0.014290344503514296,-0.0007682310219387922,-0.00397335322971526,0.0022206032767506656,0.051718821654934244,-0.004232074001469854,-0.004718640469008495,0.0014643521337256438,-0.0012609610186644638,-0.0029222991998389958,0.0004247871001332726,0.0032016273471053847,0.0005610991512083885,-0.0013623825057853534,-0.001481833832687407,0.000176286926695024,0.0005253575249046794,-0.03524142398921137,0.0018016630226560526,0.004608319561215213,0.006587472259459881,0.0028681162092270007,-0.002583405163961716,0.028319223422383244,-0.003778469836659637,-0.0017885695798494083,0.00029133170736184155,0.0003668102933895856,-0.0003275826417430405,0.0009224891985395445,-0.00043159592303476657,-0.0009010818033148293,-0.0112168566329649
PFI,500,0.14565891674760034,0.22484408164312386,0.1552868772413747,0.5259276603359657,0.6544145760610249,0.00012546991949102804,0.0011063010511940252,-0.00010085176269347684,-0.002009675133405553,0.01144111174856488,-7.499461622328951e-05,0.0013971185922845297,0.0,0.00018796964618594814,-6.069555003040961e-07,-0.00010689515805695216,-0.007816269871939507,-0.0033917803967289384,0.001678981736811469,-0.0001916894769649069,0.0036236754681584493,-0.00011479853041795884,-0.0006632436914284501,-0.0056323655890049285,-0.003429494736215677,-0.011646422381057953,-0.0007685706559499295,0.00010048331346590444,0.0,-0.00042574670643169554,0.0005792887610094333,-7.161254795895466e-05,0.0005751767955983755,-0.00017817619804483265,0.0,-0.00037233967289629355,0.031882422896925666,0.0015766008149455946,0.0001531052047571979,-0.00036166997193753936,0.0,0.00038836688219889837,0.005240178344041446,-0.0005428129788571656,-0.002745013451046052,0.00020710514567134908,-0.0022316057652811416,0.000514232046229246,-0.0004310795239241827,0.0005972580018922535
