method,d,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9
0.5*CPI,10,0.2592896194065392,0.19174025442644588,0.42976782027998767,0.787206204463162,0.6949645395500035,-0.005541144883410426,-0.0047825941894833746,0.0009289524546486488,-0.001681685515764822,0.00010628463490855444
0.5*CPI,20,0.20068768635375375,0.22475959213783406,0.3420616611155243,0.5719748703521599,0.640248333818308,-0.0010339861355676272,0.0013695474561398746,-0.00023181390207366315,-0.002006209623316574,-4.462055443243962e-06
0.5*CPI,35,0.23982852446971742,0.12683066104453872,0.19276301610936514,0.7521533941414063,0.6886390577380905,0.0022306766903317787,0.0005857478237119018,0.0004022258367957221,0.000662300485733569,0.0006968437469545008
0.5*CPI,50,0.20012076301561435,0.1629405928468158,0.2878758496644911,0.4344152322344441,0.5194739920650184,-0.0007130499003729363,-0.0009394550724795558,-0.0007652285224266364,-0.003819077596545456,-0.0008487716098744547
0.5*CPI,100,0.28275595553123517,0.13564867964050276,0.1764134243029286,0.571612708829931,0.35427570603994446,0.0016553457936828164,-0.00035420681082393157,0.001978680725384041,-0.0009582389026604465,-0.00014062349711879696
PFI,10,0.4343467668385408,0.34836035586972103,0.9590780213109602,1.2709025653647765,1.488917658395193,-0.014569016021361625,-0.009008241223584235,0.003744719740956526,9.135098334839276e-05,0.0005250635262842307
PFI,20,0.4547285605211385,0.47626566917678936,0.7874095178289023,1.2696519850737111,1.2442997558987368,0.009773448447764177,0.00227522412627601,-0.007430758274446059,-0.007586979709421682,0.0020118927256178587
PFI,35,0.397115436766755,0.4451286468258774,0.5471064811318048,0.9954717966878163,0.8984390461509267,-0.0008421982495994129,-0.0016397699890771111,1.8111487021021944e-05,0.0015331407715424294,-0.00046383132551797157
PFI,50,0.3846787663957265,0.3271433719287644,0.5315366943053894,0.9038275248159466,0.940793321232197,0.0037925889419551106,0.0027739172470956364,0.003771035215160534,-0.005067415992856872,-0.002905491281683714
PFI,100,0.4184535203766807,0.25238646615495763,0.300723991502306,0.6071019487513166,0.6788965252554097,-0.01233135869436075,-0.0007599059867182678,0.0033641239504187403,-0.002024294863426146,-0.0007237848623381504
LOCO-W,10,0.05269834809127682,0.037585482167381175,0.47814678130960486,0.509465964843435,0.08765193645880553,-0.00520235435704351,0.006681337961597296,0.010503353080205866,0.0015141981818406235,0.006539689097565085
LOCO-W,20,0.18022926345095372,-0.001124200200973245,0.004072085882236088,0.41893526113931717,0.6899477560477241,0.022186278322469517,-0.04390385991810523,-0.010479723257684048,-0.010278651593382083,-0.009450284242218407
LOCO-W,35,-0.028980024723779033,0.08179911785438582,0.06818907835674584,0.2682615250281609,0.5517168337946827,-0.044675646870139384,0.10274495230319378,0.24421489342614683,-0.05037265161235133,-0.07159401651674081
LOCO-W,50,0.42262428494708454,0.2775780241621247,0.0025244758468658695,0.602528255421127,0.4121044826256379,0.013217013957265442,0.0965474546437863,-0.168577205038873,-0.04479092481864409,0.04066173215865627
LOCO-W,100,0.26586568391005533,-0.034447273420758866,-0.03150833125778227,0.10615911954872806,0.07158904448564549,-0.06149168310244556,0.1720339826154124,-0.057774669573132584,-0.2405836273986425,-0.16167608002730677
LOCO-HD,10,0.2513917302038189,0.21138690020938017,0.8979015913548373,0.9379052554320922,0.9086587707082728,-0.02123155461633161,-0.005049183341137187,-0.02141721083962067,-0.006535134690511202,-0.014787378619467578
LOCO-HD,20,0.32938641714790867,0.45610893265270386,0.5557767836523866,1.1788779017636466,1.1599384527191898,0.023271914562127904,0.006510762457726804,0.019476468574610717,0.0035007182598854047,0.027958821852240856
LOCO-HD,35,0.23838646124511675,0.15116113972760292,0.30999787385145394,0.7683226949953806,1.6014673773128032,-0.030421187122227966,0.014469904014040802,-0.03352812311330411,-0.008618721580529454,-0.00396283919682161
LOCO-HD,50,0.37377552539442654,0.2124312734373091,0.612274816454421,1.0922764036489565,1.13828980180988,-0.025489972880348155,-0.06883418408458125,-0.006746649565348817,-0.06745651697091931,-0.02032822836503262
LOCO-HD,100,0.4946517072971527,0.12719312417024742,0.24819323992688258,0.9811959507986053,0.5578669959665717,-0.06686549167123901,-0.03225173790871372,-0.029997329142774976,-0.016541352107316776,-0.05548764155578523
Robust-CPI,10,0.21159254048713225,0.15145356752438005,0.7763921153074517,0.6996107734243675,0.7816521838908429,-0.007480908804068717,-0.008066737678100452,5.2877867735710694e-05,-0.0014975603137588683,0.0036363658413715665
Robust-CPI,20,0.24511138813862193,0.28181876012660717,0.4302273486476958,0.8394743585482255,0.6921711334990933,6.682727556801263e-05,0.0018931002882224522,-0.006337937457503583,-0.003510570868634565,-0.0005319465572614893
Robust-CPI,35,0.31641456222060643,0.12351525721498112,0.21503985492379998,0.5684604944823645,0.761740846514807,0.005463538512521864,-0.001105489006142874,-0.0009480188142937528,0.0011684070401374754,0.0003303436437664491
Robust-CPI,50,0.206543638940711,0.15694260249926567,0.37025280181844444,0.7798001734722013,0.8639745813401957,-0.004670411213641978,0.0009860112117180925,0.0007775876462336446,-0.006465142437722725,-0.0012929800166396645
Robust-CPI,100,0.33409123081692566,0.14862884615160538,0.12963015660008093,0.5716728354211995,0.414175745338281,-0.0029008755546196347,-0.00042857669240983965,0.0024253449572272084,-0.0005870827360254793,-8.067641463309804e-05
0.5*CPI,10,0.288669811377645,0.11731073759718952,0.20169574314514477,0.848594440708995,0.42186035834394975,0.0030737836469557633,0.0015502143362149945,0.00048155646097175486,-0.0005466095079205147,0.005625955255246506
0.5*CPI,20,0.2474360845062972,0.3000272819125498,0.15160199154714257,0.7740599135281508,0.9376700897101186,0.0005484329752924733,0.0010252299835179224,-0.0008822134020678996,0.00041488674116482716,-0.00016786854281745922
0.5*CPI,35,0.270634642344881,0.13563885793543845,0.2479403055377012,0.7022372160029153,0.7235288813498739,-0.002122070284183847,-0.0028285995119166074,-0.002145551786860711,0.0012062744578547335,0.0016637333438077329
0.5*CPI,50,0.1971457688049022,0.10201790373923975,0.13700842419800358,0.3814147341282209,0.4471094337084295,-0.0017077946382874076,-0.00028983630404705307,0.0007177332030625094,0.0002294558874420538,-4.138612049681134e-05
0.5*CPI,100,0.35742019201785613,0.19339363189844727,0.19883702364908318,0.8822808561948576,0.8342637749283217,-0.0015098886772635933,0.0001621165271790126,0.0014296663044098823,0.0004980268388594111,-0.0005014144216938798
PFI,10,0.36673915485672404,0.26547744282509944,0.5380640819263387,1.0417517763832134,1.1193171714122232,0.00738941739963439,0.009695210499707674,0.007970004945009435,0.0046009416831149785,0.006514112423059104
PFI,20,0.6320251620121515,0.6173710995970283,0.7143787484290671,1.287085891422261,1.4203179688093772,8.730693696534786e-05,0.0006328651161151555,-0.0011302899847570602,-0.0009255442079433851,0.0009798134916345624
PFI,35,0.5075618758540354,0.48944499910376416,0.6164396935471683,0.9687348625723091,0.9497295048613117,0.0038775540377643525,-0.004949606298046527,-0.0024746910777065922,0.0015259876337772038,0.0019907545506175905
PFI,50,0.30500853722090326,0.21377333400499887,0.5492525179065744,0.7253221474857541,0.9736594265033522,0.00029076825925589134,-0.0012176138289472505,0.0005786256815455415,0.0014748277838321222,0.0011424288793095982
PFI,100,0.44913545941404565,0.32232714100478554,0.5066255541590018,1.025711518003022,1.0536925113557185,-0.0005330604634107283,0.0023124053119421006,0.0020686403620693294,0.001898920266224624,-0.0003884973758947474
LOCO-W,10,0.13664536247058715,0.020318558171286978,0.21510087516359316,0.48919368766240323,0.3638532619862734,0.004092799299676723,0.034851036118248656,-0.0010753445095415324,0.010355293422092382,-0.007063486037028825
LOCO-W,20,0.042037501836096725,-0.07286172308596642,-0.023745433908284246,0.39057949980795476,0.06148918191649719,-0.0370281920294188,0.017182052707295014,0.018458211800476316,-0.0016780692649555624,-0.02646326427474557
