method,n_samples,imp_V0,imp_V1
0.5*CPI,30,2.7429167810797654,0.5488361296205687
0.5*CPI,50,4.447671856420314,0.6431540496834763
0.5*CPI,100,3.8059173780928717,0.7489197351873653
0.5*CPI,250,2.4167069957212863,0.772367069119064
0.5*CPI,500,2.545274308277831,0.7386602055864451
0.5*CPI,1000,2.06847754863498,0.6219783453364894
0.5*CPI,2000,2.4321674413190766,0.6334027640262337
PFI,30,2.897051450901073,1.2229311447800717
PFI,50,3.6340378959765465,1.3390743835543852
PFI,100,3.079190737374933,1.3144059105226278
PFI,250,2.7847586038863836,1.5745952663067113
PFI,500,2.5169098226372415,1.3731224423637542
PFI,1000,2.588822310236131,1.4132452495078531
PFI,2000,2.6010119325998105,1.3238741928663242
LOCO-W,30,1.2004005296687483,0.8197381976031616
LOCO-W,50,2.606028420976334,0.03045757403663924
LOCO-W,100,2.8663109498002193,0.18903301049691595
LOCO-W,250,1.4830988912261158,0.38377192147503913
LOCO-W,500,1.9713447712228231,0.6022228554578594
LOCO-W,1000,1.8846972920651444,0.4879287322332888
LOCO-W,2000,2.2478722526122437,0.5420105275590436
LOCO-HD,30,2.5568849715607413,0.5823894813229251
LOCO-HD,50,4.167610927077469,0.49438399864264004
LOCO-HD,100,3.4493983596651256,0.8119948743093451
LOCO-HD,250,2.2759312524736997,0.7410028449728298
LOCO-HD,500,2.5733355768524753,0.6696239782557396
LOCO-HD,1000,2.174608356602328,0.6603041970933018
LOCO-HD,2000,2.4245932750868726,0.6207990604898963
Robust-CPI,30,2.8149810928809567,0.6032585628378061
Robust-CPI,50,4.163644785306158,0.423277942068322
Robust-CPI,100,3.1577741812915985,0.7764836957948816
Robust-CPI,250,2.1746715449270213,0.6743470234520513
Robust-CPI,500,2.500672190645146,0.6636857883158359
Robust-CPI,1000,2.118808698694541,0.644184374716936
Robust-CPI,2000,2.395676362382915,0.6172828640546048
0.5*CPI,30,2.47641686252903,0.9482423306039494
0.5*CPI,50,1.9554203638536136,0.4608493997563263
0.5*CPI,100,1.6759662817986394,0.4496993020338095
0.5*CPI,250,2.967692386382997,0.7822296460959011
0.5*CPI,500,2.6436097849514075,0.6175482180392334
0.5*CPI,1000,2.7489051575570564,0.6970499317782501
0.5*CPI,2000,2.443187499902172,0.6636954552805945
PFI,30,2.059703146684195,1.6139196329032564
PFI,50,1.8491039652602017,0.8520783681741846
PFI,100,2.2272282596775206,1.169745687152207
PFI,250,2.701981762347476,1.3905671457978668
PFI,500,2.7951663339955943,1.352359414608818
PFI,1000,2.7342179412712224,1.379012222522949
PFI,2000,2.8255827117095587,1.4723589410305546
LOCO-W,30,1.9104897960367935,0.08054790246405111
LOCO-W,50,0.46834871783146803,0.07537844234997658
LOCO-W,100,1.0164455296781394,0.13523607221776965
LOCO-W,250,1.8311485420770133,0.30405417285877734
LOCO-W,500,2.1023059496148795,0.5825635323204515
LOCO-W,1000,2.2450432745706888,0.45434541693540903
LOCO-W,2000,2.0704898618625256,0.5586634518738747
LOCO-HD,30,3.1853438504984495,0.725986953872846
LOCO-HD,50,3.1299216768789626,0.3665557960137124
LOCO-HD,100,1.60248819937399,0.5248366100320433
LOCO-HD,250,3.0172571214730683,0.7636114812842384
LOCO-HD,500,2.4559315914103803,0.6521179185321168
LOCO-HD,1000,2.5399405987995967,0.6329642338662796
LOCO-HD,2000,2.536104575880157,0.6531149311298758
Robust-CPI,30,2.9538575406576033,0.508041243122735
Robust-CPI,50,2.1259750106737036,0.38781120756555193
Robust-CPI,100,1.6976393953298512,0.5116536747966199
Robust-CPI,250,2.873980857162945,0.732224970396427
Robust-CPI,500,2.415927885721812,0.6463369307362417
Robust-CPI,1000,2.5470313680914147,0.6209076540035073
Robust-CPI,2000,2.524807124908007,0.6422669856475134
0.5*CPI,30,1.4238812567991614,0.26808914837992137
0.5*CPI,50,1.5869804102702807,0.9662061038709994
0.5*CPI,100,2.7988368707868605,0.9295039314198331
0.5*CPI,250,3.0881645455864635,0.4950841702136693
0.5*CPI,500,2.3891620935189324,0.6244743810438519
0.5*CPI,1000,2.344736354749318,0.6355584176439645
0.5*CPI,2000,2.556584785308876,0.6446345210754687
PFI,30,1.7830087623300896,0.7543260829236181
PFI,50,2.230243573803671,1.6758692149985137
PFI,100,3.6441685103300245,1.849578452243997
PFI,250,3.1142373093054823,1.246863370102515
PFI,500,2.7909050658213608,1.4255053044794952
PFI,1000,2.7893796633673538,1.4518624370087752
PFI,2000,2.8784625137279547,1.4464803661123442
LOCO-W,30,0.2886229874701955,0.13946780794328262
LOCO-W,50,1.5948056413087375,1.1553334138854987
LOCO-W,100,1.525786018365975,0.19287329568135517
LOCO-W,250,1.669206834839525,0.3022661310060705
LOCO-W,500,1.9866604523747255,0.43635946911581164
LOCO-W,1000,2.122155299282344,0.488653010058455
LOCO-W,2000,2.1521409583844298,0.5632919303302872
LOCO-HD,30,3.536071407085184,0.25336911451851457
LOCO-HD,50,2.5064464492839376,1.0840636666010997
LOCO-HD,100,3.858599587991137,0.8314581834172547
LOCO-HD,250,3.084050125422867,0.6420285680902393
LOCO-HD,500,2.3810324280138544,0.6840080332717365
LOCO-HD,1000,2.540442315090441,0.6578531204322394
LOCO-HD,2000,2.438161016265848,0.6410426122906762
Robust-CPI,30,2.8429226129676195,0.22803925185463098
Robust-CPI,50,2.4299872229731263,1.0983204676401765
Robust-CPI,100,3.423238909159488,0.8567595188631209
Robust-CPI,250,3.0185228520052294,0.6294807509919182
Robust-CPI,500,2.3883026423796383,0.6987330733891627
Robust-CPI,1000,2.495603228956664,0.6543617403994861
Robust-CPI,2000,2.48499862130202,0.6402715047607268
0.5*CPI,30,0.9071587998826484,0.3086384828997705
0.5*CPI,50,1.9995918507665689,1.0251243266444425
0.5*CPI,100,3.0529152101098824,1.0686302349916863
0.5*CPI,250,3.0072654341242937,0.7135265933127406
0.5*CPI,500,2.2434356226488164,0.49255419830671776
0.5*CPI,1000,2.656102082730879,0.6430669132841231
0.5*CPI,2000,2.3764391634825124,0.6106058778187706
PFI,30,1.8692887725903695,1.0218996881231233
PFI,50,2.290869409772702,1.6034264164955254
PFI,100,2.736033923478863,1.7279526934279485
PFI,250,2.6704828247960406,1.2694165497368444
PFI,500,2.80850735285277,1.319161300271526
PFI,1000,2.5783972065508585,1.263930252519263
PFI,2000,2.7989063266106,1.4186746456058164
LOCO-W,30,0.6921928303892301,0.12495181639046876
LOCO-W,50,1.5785565215943924,0.13513510195076736
LOCO-W,100,2.757189989437113,0.20194919628508476
LOCO-W,250,1.0858274910410997,0.4055615925474051
LOCO-W,500,2.0243663889021697,0.4387696317448861
LOCO-W,1000,2.3662508924768875,0.541088736233776
LOCO-W,2000,2.3114747097549806,0.5691891981848629
LOCO-HD,30,0.6564555259529886,0.7646790416011344
LOCO-HD,50,3.5040415614060336,0.9858837238639676
LOCO-HD,100,2.895395054207247,0.812979559432464
LOCO-HD,250,3.00047907733204,0.6981556333913399
LOCO-HD,500,2.187030179772315,0.5004251064649805
LOCO-HD,1000,2.944761028544063,0.6706216322494697
LOCO-HD,2000,2.555267440709254,0.649219592211106
Robust-CPI,30,0.6594504851788136,0.3012784745525153
Robust-CPI,50,2.9945842651244687,0.7544671836966098
Robust-CPI,100,2.908306016134088,0.8361666030930188
Robust-CPI,250,2.9406562655194097,0.697668228136664
Robust-CPI,500,2.151530130581781,0.49956938808277995
Robust-CPI,1000,2.9303252264418314,0.6462492996347594
Robust-CPI,2000,2.5986298761799347,0.65724998956761
0.5*CPI,30,2.367067869664992,0.9783120995247633
0.5*CPI,50,3.361693316348805,0.8515050833250913
0.5*CPI,100,2.0504261636784893,0.5642329904420503
0.5*CPI,250,2.002633550410237,0.6513603374403457
0.5*CPI,500,2.275776102918928,0.5253932471918078
0.5*CPI,1000,2.629102777840582,0.6134759460651041
0.5*CPI,2000,2.6870501321071316,0.6166739475630871
PFI,30,2.1755395904705415,1.398526519984695
PFI,50,2.952580752112415,1.386230882342358
PFI,100,2.1982382472596926,1.1511929048303464
PFI,250,2.8730455565997604,1.607864169097253
PFI,500,2.765801135118642,1.3382379104794502
PFI,1000,2.8418565011341723,1.3748227032810882
PFI,2000,2.8575463615057655,1.3678907092561055
LOCO-W,30,0.8957566001585838,0.692757369448098
LOCO-W,50,1.8110847303996183,0.06976446168591924
LOCO-W,100,2.5298375156278854,0.14953637289127025
LOCO-W,250,1.6201701268640212,0.24634262951018354
LOCO-W,500,2.395865661201397,0.505983733253227
LOCO-W,1000,2.3548851497035357,0.5160956845062223
LOCO-W,2000,2.0977482555846603,0.5406166084794226
LOCO-HD,30,1.0633192976799901,1.5442957654046858
LOCO-HD,50,3.9204808587112367,0.8135773601904988
LOCO-HD,100,2.4436471942994458,0.43495936127166673
LOCO-HD,250,2.1208104455769017,0.5956417952200622
