method,intra_cor,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49
0.5*CPI,0.0,0.030606114216045643,1.0,0.040051616789209765,1.0,0.008978235620614505,1.0,0.1518006033778032,1.0,0.1264780563777974,1.0,0.023526760994198703,1.0,0.06118965571106405,1.0,2.2396141221807278,1.0,0.033094586058099784,1.0,0.3066383674902955,1.0,-0.027301120211962626,0.0,0.008831928787921717,0.0,0.01628605731742483,0.0,-0.011492096212322167,0.0,-0.01718812974777295,0.0,-0.009809603002234768,0.0,0.0004294786289493757,0.0,0.00960911219436933,0.0,-0.004908382167018388,0.0,0.004887786314086817,0.0,-0.025394150225882095,0.0,-0.0031574664503069005,0.0,0.001299257502919371,0.0,-0.0006622473602000412,0.0,0.004329002145987637,0.0,0.020909565648815187,0.0,-0.004316726584760788,0.0,-0.0052362756581154635,0.0,0.011910086814401533,0.0,0.000973685704966476,0.0,-0.003696195695969351,0.0,0.012167374019202537,0.0,0.0007491717225647232,0.0,-0.0034509447826160944,0.0,0.022798320607776867,0.0,0.003687895253333462,0.0,0.005682669723044764,0.0,-0.005955226020945448,0.0,0.0010955037007995827,0.0,0.015363116574491853,0.0,-0.010891401197097084,0.0,0.007250427098419943,0.0,0.011773201554792667,0.0,0.0013266762224823925,0.0,0.006766943339357567,0.0,0.006741676840809507,0.0,0.010914201404896406,0.0,-0.0008601359025868227,0.0,-0.0011458020817955994,0.0,-0.003487499460045562,0.0
0.5*CPI,0.15,-0.02430677430410144,1.0,0.02968036037299915,1.0,0.01718016621724705,1.0,0.2908529267598192,1.0,0.21616878269448692,1.0,0.07487199777403286,1.0,0.08160067875916832,1.0,1.6061453592961235,1.0,0.0627670106803464,1.0,0.35047908824565943,1.0,0.000711762918681913,0.0,0.01908756285047475,0.0,0.0012677871829667176,0.0,-0.0008401149354366755,0.0,0.0048179616430603645,0.0,0.02180366792880606,0.0,0.005139506153589268,0.0,-0.0035009839687718536,0.0,0.006775722812120577,0.0,0.008381371855713304,0.0,0.004303536022179255,0.0,-0.01981644691466289,0.0,0.026228390021145964,0.0,-0.015690654529456616,0.0,0.0005599350057665653,0.0,-0.0027107910370052224,0.0,-0.007496637565289621,0.0,0.0069773275063991225,0.0,-0.002741208243565163,0.0,-0.01010002136326138,0.0,-0.0005365998438373598,0.0,-0.0017818075451416782,0.0,0.005236829443065805,0.0,-0.0052867867832071536,0.0,0.0029032841971108336,0.0,0.001251040854329144,0.0,0.0055079316207602425,0.0,0.0025540744608696375,0.0,0.006278074206531148,0.0,-0.006176157716513364,0.0,0.009062693257685828,0.0,0.002449846261741717,0.0,0.020656625665836925,0.0,0.039384939326483126,0.0,-0.0025536118519939865,0.0,0.0023614434270724516,0.0,0.008290759434894657,0.0,-0.019592243583798297,0.0,-0.005226795576771082,0.0,0.006200895751608648,0.0
0.5*CPI,0.3,0.016293918829071607,1.0,0.029051370569865176,1.0,0.05071513654675752,1.0,0.23892274679002923,1.0,0.4219860249345293,1.0,0.03880225884923694,1.0,0.03154892885165905,1.0,1.7929908592534922,1.0,0.036631603502643495,1.0,0.20029969253122593,1.0,0.001702888661455626,0.0,0.008279582051489376,0.0,0.00846900765165759,0.0,-0.002467437975667508,0.0,0.02402681565447562,0.0,-0.0140113372951709,0.0,0.014373465980283662,0.0,-0.007848834712903319,0.0,-0.0023137407704016955,0.0,-0.0007591066434369242,0.0,-0.020144007394095054,0.0,0.009291426838247352,0.0,0.009929824023775069,0.0,0.004839477426556105,0.0,-0.004502430768974053,0.0,0.00506932671365945,0.0,0.006709409587654314,0.0,0.005345253925526983,0.0,-0.005222987124325895,0.0,0.01658569790340847,0.0,0.003637906729839546,0.0,0.01430730232246824,0.0,-0.005336291936466564,0.0,0.003343598809718351,0.0,-0.0015607246888127424,0.0,0.003895475110036628,0.0,0.007263277647004962,0.0,-0.016960727665548347,0.0,-0.014160104494468584,0.0,0.012173218686405418,0.0,-0.0043336951694881165,0.0,0.005039970963950369,0.0,0.00847886747471338,0.0,-0.005192016242070441,0.0,-0.006983998585040618,0.0,-0.003832386185432801,0.0,0.0016143955085432538,0.0,0.011959961667279417,0.0,-0.007450159885979524,0.0,0.006819336928785447,0.0
0.5*CPI,0.5,0.22048780527195022,1.0,0.03202815093386757,1.0,0.03661272570328744,1.0,0.4445260580842253,1.0,0.3798593477617248,1.0,0.018184181356912354,1.0,0.04029280319057216,1.0,1.0716185524059494,1.0,0.006453707366458561,1.0,0.1874170874187827,1.0,0.013464053162697165,0.0,0.0016500230925339254,0.0,0.00020681795956700721,0.0,-0.0023173364082267334,0.0,-0.005880993976763671,0.0,-0.012871267555129462,0.0,0.0019609569295103713,0.0,-0.004191231684309238,0.0,0.006092089979720994,0.0,0.00036721282832352653,0.0,0.00843859881953224,0.0,0.0038279070414175553,0.0,-0.0021555440711891194,0.0,-0.0010554891948790779,0.0,0.0028838812682916437,0.0,-0.0024218971591659644,0.0,-0.0016463036718745716,0.0,0.0011078735141573093,0.0,-0.007427827423622579,0.0,0.001941552286171877,0.0,0.001073090748372696,0.0,-0.0008099807768561229,0.0,-0.009443639454981057,0.0,0.0014025818202173523,0.0,-0.0028607585728978036,0.0,0.0019698121266312763,0.0,0.0009785251740969114,0.0,-0.00021799933070831834,0.0,0.0027335092833123964,0.0,-0.0031714704355639833,0.0,0.0012848992246718982,0.0,0.0035433490801523027,0.0,-3.946356382900085e-05,0.0,-0.006939238115172275,0.0,0.02173440797397652,0.0,0.0014993363304985907,0.0,-0.011024165725520452,0.0,-0.0026738463532153256,0.0,0.004919315456446083,0.0,0.001565626524372532,0.0
0.5*CPI,0.65,0.11476064291527555,1.0,0.13199639755640136,1.0,0.0744196108947125,1.0,0.512879239713683,1.0,0.392525684162915,1.0,0.0164905412756281,1.0,0.009812644711277074,1.0,1.231089565761723,1.0,0.00921088805639625,1.0,0.15340262607209476,1.0,-0.003091583205074966,0.0,0.005706624533039051,0.0,0.0007633381557174967,0.0,-0.003781632964021453,0.0,-0.000817457180162684,0.0,0.0008155250479553455,0.0,0.0013029496978453903,0.0,-0.0005982560594371966,0.0,0.0027200144548897853,0.0,-0.001301981323260426,0.0,-0.002395244389885698,0.0,-0.0003924266225157069,0.0,-0.0009335770847206382,0.0,0.004320724029131862,0.0,0.0001800876523067041,0.0,-6.138026062896262e-05,0.0,0.005175928039079514,0.0,0.0005112542034494405,0.0,-0.0005921225755531889,0.0,-0.00041621296898364246,0.0,0.015731871987854418,0.0,-0.0007971107868290916,0.0,0.0007970405238069134,0.0,-0.004630532009971322,0.0,-0.0010154176108284618,0.0,0.0046144221952338915,0.0,-0.00011221370283198695,0.0,0.0017768856828109802,0.0,0.006744228367986604,0.0,-0.00022463104981451654,0.0,0.003938755145114992,0.0,-0.0034261090841174457,0.0,-0.0011829024944393085,0.0,-0.005562083981504373,0.0,0.0019663816099351195,0.0,-0.007517665069511792,0.0,-0.01137362028109512,0.0,0.0034919223094015406,0.0,0.001965634592567711,0.0,-0.003718558850656417,0.0
0.5*CPI,0.85,0.22938354792665555,1.0,0.0560851004061067,1.0,0.0008659083501472709,1.0,0.2800341363031064,1.0,0.2475778379094628,1.0,0.0212430194757382,1.0,0.009458254934504362,1.0,0.39258698727651736,1.0,-0.0022230937300454223,1.0,0.04975889748579271,1.0,-0.0021294615086960844,0.0,0.0007697393402548713,0.0,9.821479345090145e-05,0.0,0.0002413069909618093,0.0,0.0020327278614653,0.0,0.0012769184367225073,0.0,-0.00015844810833504086,0.0,0.0002568824247183299,0.0,0.002451496970488687,0.0,0.0010494744015855373,0.0,-0.001967712378154296,0.0,0.0005712601316905652,0.0,-0.00011135077078816558,0.0,0.0007145181946828782,0.0,0.000516141572637463,0.0,-0.0018487022745800052,0.0,0.0016666015914679755,0.0,-0.0003597200144756507,0.0,0.0020696411029120787,0.0,-0.0005114435239709225,0.0,9.270975523845149e-05,0.0,0.00035768469665908853,0.0,-0.0011098001566466897,0.0,0.001170892490348574,0.0,0.0036468400268883094,0.0,-0.001709397595477835,0.0,0.002699963931471372,0.0,-0.00010949878562960258,0.0,0.0019343949364697965,0.0,-0.0008819429045052729,0.0,-0.00022418170382959568,0.0,0.0011290211903320913,0.0,-0.0009794883219733652,0.0,-0.0007664378122362314,0.0,-0.0002505587271808274,0.0,-0.0005808573237740533,0.0,0.0023579627160471017,0.0,-0.0021822174676726647,0.0,0.0017980659819695766,0.0,-0.002967502461918625,0.0
PFI,0.0,0.01615030662520822,1.0,0.021106928908315226,1.0,0.00475194737432183,1.0,0.07721117621276719,1.0,0.06585007684520217,1.0,0.012426864917365554,1.0,0.03215294727713092,1.0,0.9484874521628406,1.0,0.017457408832282306,1.0,0.15604781971152537,1.0,-0.014523862790238429,0.0,0.004674606636658751,0.0,0.008610994011336581,0.0,-0.006099986705967009,0.0,-0.009470479470260695,0.0,-0.005205686387999453,0.0,0.00022758439506520567,0.0,0.005085405227712947,0.0,-0.002676403763951729,0.0,0.0023317500749173714,0.0,-0.013505720414277889,0.0,0.0002855594071087264,0.0,0.0006884036006771233,0.0,-0.003981966866989151,0.0,0.002292720724942132,0.0,-2.4150117294396978e-05,0.0,-0.002496293867427557,0.0,0.006056548373140513,0.0,0.006429789614962544,0.0,-0.006881648671010598,0.0,-0.0019597814757612575,0.0,-0.0016101871427685044,0.0,5.192720183422317e-05,0.0,-0.004292871543917665,0.0,0.012191725428775335,0.0,0.0025574205615730428,0.0,0.0028351815123104362,0.0,0.00599659770959704,0.0,0.0005726110291497388,0.0,-0.0019057789608618592,0.0,-0.005780648809133426,0.0,0.0038383910855199765,0.0,0.006228815956502265,0.0,0.0007029285358293169,0.0,0.0036301353154912785,0.0,0.0035693118742308183,0.0,0.005687520248488953,0.0,-0.00045587591664464355,0.0,-0.0006073046534915694,0.0,-0.001849073157766279,0.0
PFI,0.15,-0.016606846513586238,1.0,0.01740526199919379,1.0,0.010805222793923042,1.0,0.1829655040644811,1.0,0.1395429265003223,1.0,0.049835065069163687,1.0,0.04791568426317583,1.0,0.8004788755010155,1.0,0.04187977447319047,1.0,0.2185622828985061,1.0,0.00010985680149455668,0.0,0.017110459588135285,0.0,0.0009160546978064232,0.0,-0.001256613395626216,0.0,0.0032024092586506736,0.0,0.014112306252241247,0.0,0.004035770967037555,0.0,-0.0020813933155792164,0.0,0.004305568235786428,0.0,0.005365490688044039,0.0,0.0026061018262537594,0.0,-0.015178291396038546,0.0,0.019962995307170717,0.0,-0.013398032885496569,0.0,-3.062636168027488e-05,0.0,-0.0017731860949123934,0.0,-0.005644062620918655,0.0,0.0019389563917140418,0.0,-0.0033329843939038373,0.0,-0.006580614871432688,0.0,-0.0003016921304583864,0.0,9.465289419741119e-05,0.0,0.00298639001915757,0.0,-0.001956978351345784,0.0,0.0015062083647283675,0.0,0.0013081514837109953,0.0,0.003215747926243573,0.0,0.0019347527039526025,0.0,0.0033723933623392988,0.0,-0.0030561461101457077,0.0,0.0074945733167925965,0.0,0.0012837427442173865,0.0,0.015312504000216887,0.0,0.028841374206969528,0.0,-0.0021733739312601585,0.0,0.0009067287670621038,0.0,0.005618833973082271,0.0,-0.01435056305867044,0.0,-0.0030838221517772713,0.0,0.003936236899349188,0.0
PFI,0.3,0.01186622612389332,1.0,0.020837285277838236,1.0,0.0415893002660912,1.0,0.1786606747801145,1.0,0.25563164738930766,1.0,0.03513626520419599,1.0,0.021185143132195217,1.0,1.0329632056627245,1.0,0.03088815077476359,1.0,0.14967321041149573,1.0,0.0037882627366656596,0.0,0.0036157267446057517,0.0,0.006769655064336133,0.0,-0.001953339627840611,0.0,0.019365438158668757,0.0,-0.005339474162084024,0.0,0.010380556836725008,0.0,-0.005538035172027556,0.0,-0.00044384090066174053,0.0,0.0013094696733308986,0.0,-0.012982914596114448,0.0,0.004303092462943692,0.0,0.008052249184680171,0.0,0.010138051522247338,0.0,-0.004965081630273094,0.0,0.003072107119029166,0.0,0.0071490893864896154,0.0,0.006220745745170619,0.0,-0.003525956477013592,0.0,0.008239680708125086,0.0,0.003276375677977672,0.0,0.007769536792861853,0.0,-0.0033870170361820495,0.0,0.00294143098417754,0.0,-0.001112663881799314,0.0,0.0019282215109197587,0.0,0.007306481014153654,0.0,-0.003598514123429153,0.0,-0.007518141281442681,0.0,-0.005844073081858525,0.0,0.0012871205644480188,0.0,0.005748422046366608,0.0,0.010268166685935665,0.0,-0.005871812595231507,0.0,-0.004818047137721937,0.0,-0.004543147721277174,0.0,0.0008292229374622373,0.0,0.006833470462279445,0.0,-0.005469273517787698,0.0,0.0049994824991019815,0.0
PFI,0.5,0.19631764402779228,1.0,0.038793733010034304,1.0,0.02893749406092927,1.0,0.3226850771973777,1.0,0.42024124008894925,1.0,0.01478932388579568,1.0,0.03949261414250671,1.0,0.8211182326977979,1.0,0.0017950207348709224,1.0,0.16124786087915055,1.0,0.007291203453186013,0.0,-0.0011848144166488606,0.0,-0.0011843735575369774,0.0,-0.005030312308886176,0.0,-0.002024517062047204,0.0,-0.012025287596897805,0.0,0.0018903060555768292,0.0,-0.008905059869547705,0.0,0.002181797033106836,0.0,-0.0032451847842247528,0.0,0.0013733368408068714,0.0,0.0038174306808336222,0.0,0.0002810386719624969,0.0,-0.004156929966523837,0.0,0.0009543633467532509,0.0,-0.0028362058242932253,0.0,-0.002216517113812655,0.0,-0.0012633033365212487,0.0,-0.0061152534344453,0.0,0.0005080284432408266,0.0,0.0044518078528690275,0.0,-0.0038591253892619193,0.0,-0.007120986415980024,0.0,0.0009704764080500361,0.0,-0.0016183344290070512,0.0,0.0032566429080396198,0.0,0.0023746793113677,0.0,0.002307840399163652,0.0,-0.0057233925224746685,0.0,0.0002997970528857419,0.0,0.004442343134435811,0.0,0.0019820033281521265,0.0,0.001875535150305474,0.0,-0.0008795809203538951,0.0,0.017768230229117332,0.0,-0.004824608941552011,0.0,-0.0060437689757286694,0.0,-0.005745326857172994,0.0,-0.00019823492185722102,0.0,0.002743239039799672,0.0
