method,n_samples,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9
0.5*CPI,100,-4.751232442288145e-05,0.0,-1.679413418562625e-05,0.0,0.44095919361587194,1.0,0.0001046774440890397,0.0,-6.164336039963234e-06,0.0,-4.880217846358291e-05,0.0,3.122482364344961e-05,0.0,2.750433915770943e-05,0.0,-5.073155296924888e-05,0.0,1.7866976839438177e-05,0.0
0.5*CPI,250,3.462817335538542e-05,0.0,4.039549024839324e-06,0.0,0.33253589541422585,1.0,4.343425945960405e-05,0.0,1.4112507794041451e-05,0.0,2.1754340197186145e-05,0.0,-1.344104913442428e-06,0.0,-5.12484630666582e-07,0.0,2.334781654580537e-05,0.0,3.8083575498194734e-05,0.0
PFI,100,-0.0028818124617685445,0.0,-0.007219489511824769,0.0,1.3963722565959653,1.0,-0.003735131700176364,0.0,-0.0035678171885981207,0.0,-0.0009232669365382418,0.0,0.0026543035432796055,0.0,0.007529397680557368,0.0,-0.0029112008546207935,0.0,0.0004046465989961806,0.0
PFI,250,-0.0008020600897672703,0.0,-0.0007745311223073988,0.0,1.306553880882283,1.0,0.00040012913108957923,0.0,-8.606895787121802e-05,0.0,0.0013422951175775903,0.0,0.00027820952462720774,0.0,0.00046101506968350067,0.0,0.0011339699841461139,0.0,0.0018289018120457579,0.0
LOCO-W,100,-0.0004517670797978155,0.0,-3.031492149118901e-14,0.0,0.07064380507391381,1.0,-4.286554150791319e-11,0.0,6.915816420447689e-06,0.0,4.94060464494802e-12,0.0,0.00045991502682436844,0.0,-0.0004424141166507757,0.0,-7.671748677900816e-11,0.0,0.0004417216116811326,0.0
LOCO-W,250,1.0932605086395133e-08,0.0,0.000391691925600818,0.0,0.20698023762323747,1.0,6.638938275403811e-07,0.0,4.770287786537276e-08,0.0,0.00038845469064533974,0.0,2.0486982252372068e-08,0.0,-8.578822354370305e-06,0.0,2.849022281911192e-07,0.0,-8.382803965301232e-08,0.0
LOCO-HD,100,-0.00011661988475220129,0.0,-0.00047307461472454143,0.0,0.5471235688127397,1.0,-0.00011747451718704385,0.0,-0.00024340747243856446,0.0,-0.00018371708431868129,0.0,-0.00017594919418816523,0.0,-0.00017848747429641395,0.0,-0.0001432496405623096,0.0,6.0302221168025876e-05,0.0
LOCO-HD,250,-9.335969079139316e-05,0.0,-0.00015294846399915233,0.0,0.4562319996606324,1.0,-0.00020037699382616573,0.0,-4.663814653487375e-06,0.0,3.85063763962539e-05,0.0,-2.0900380534279455e-05,0.0,0.00019211716078337587,0.0,-0.00010411592985733588,0.0,3.076714786348438e-05,0.0
Robust-CPI,100,-6.236777459896168e-05,0.0,-0.0001691995581169133,0.0,0.5010288829247223,1.0,-0.00018045453974507633,0.0,-0.00011484546251910415,0.0,-5.504774179156201e-05,0.0,-8.869777120485883e-06,0.0,-0.00010491522950253766,0.0,-5.235235325087518e-05,0.0,1.1686987670992958e-05,0.0
Robust-CPI,250,-4.2604168623274266e-05,0.0,-5.3811873685174626e-05,0.0,0.3384053486712698,1.0,-2.3617005276201254e-05,0.0,-1.74213286830579e-05,0.0,7.861375948143655e-06,0.0,2.7894569878373557e-05,0.0,-6.268780227919926e-05,0.0,-3.080861611068216e-05,0.0,3.691236120198293e-05,0.0
0.5*CPI,100,2.5870247189265633e-05,0.0,6.463947623532013e-05,0.0,0.6082748623965423,1.0,7.71862058562643e-05,0.0,-5.0573640048961685e-05,0.0,6.259576803035056e-05,0.0,6.329104385832711e-05,0.0,-8.765903128243023e-06,0.0,2.0234809652491586e-05,0.0,-1.9285937925642442e-05,0.0
0.5*CPI,250,-4.5110994670080466e-06,0.0,1.2839953909307477e-05,0.0,0.5149554451697175,1.0,1.9328681188160825e-05,0.0,-8.730916237985201e-06,0.0,1.8064882331930157e-05,0.0,3.80906074213733e-06,0.0,1.7959862410898454e-06,0.0,-1.3241414958650602e-05,0.0,-1.751764747706059e-05,0.0
PFI,100,0.0001631023231885749,0.0,0.002259606292082106,0.0,1.3107180918184493,1.0,0.005034041948601006,0.0,-0.002338446399210513,0.0,0.0035900495917781175,0.0,0.0015311756003095998,0.0,-6.268878837056846e-05,0.0,0.0016743005100873579,0.0,0.0005114004169191541,0.0
PFI,250,-0.0003167693243791604,0.0,0.0009304702016858166,0.0,1.3395249703970327,1.0,0.002657271602374729,0.0,0.0015731010352051343,0.0,0.0005933487401785613,0.0,0.0005501447853096426,0.0,-0.0004299334712826765,0.0,-0.0006773803610727915,0.0,-0.0007637473600346535,0.0
LOCO-W,100,-5.8027272079626534e-06,0.0,-5.6242466071889685e-06,0.0,0.02662042896499094,1.0,3.687246469993069e-11,0.0,-3.759742319521773e-13,0.0,2.771084374864769e-07,0.0,-5.929770383403012e-06,0.0,0.0025990138656175783,0.0,-3.3768221397636704e-12,0.0,6.34713764557683e-11,0.0
LOCO-W,250,2.4273380291572746e-07,0.0,8.981718570217932e-06,0.0,0.16318865533128615,1.0,3.261381909333444e-08,0.0,1.0245707928488767e-05,0.0,2.549929169588238e-09,0.0,1.4996393824739166e-07,0.0,1.3447336806852645e-07,0.0,-8.8011213141499e-06,0.0,-1.0825520757320318e-05,0.0
LOCO-HD,100,1.7035171098760582e-05,0.0,0.000514995108667896,0.0,0.5003848703234731,1.0,-0.00013084578675594282,0.0,-1.1065197281040127e-05,0.0,0.0002110799570301619,0.0,0.00010811558911685826,0.0,0.00010698965762345302,0.0,0.0004475605720246262,0.0,1.6906845393633804e-05,0.0
