method,n_samples,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49
0.5*CPI,100,0.13406580547542735,1.0,0.021518302127060407,1.0,-0.011943163754087882,1.0,-0.0019446565457708065,1.0,-0.022928623940116966,1.0,0.011459470580596598,1.0,-0.04661482639027281,1.0,1.0960018454098444,1.0,-0.05699081933848826,1.0,0.0739877924854917,1.0,-0.015869953751723065,0.0,-0.03756068851714067,0.0,-0.036937662401861804,0.0,0.015837486524666433,0.0,-0.00795681050288044,0.0,-0.005776852711116387,0.0,0.016488588692617823,0.0,-0.0009246216314084954,0.0,-0.0026765343095711547,0.0,-0.012289166679651409,0.0,-0.014871877108921128,0.0,-0.002607788228819796,0.0,0.002735504471734984,0.0,-0.004061920838215327,0.0,0.004853781169400939,0.0,0.03854566903708734,0.0,0.015828237153571845,0.0,-0.1463897969864072,0.0,-0.020181878836451395,0.0,0.015968064288323314,0.0,0.00591138535648561,0.0,-0.032186050718348236,0.0,-0.005156237112039497,0.0,-0.013588315783941374,0.0,-0.07594905638236371,0.0,0.01660338478390888,0.0,0.044324175100423746,0.0,-0.015981126944925927,0.0,0.006187987493688318,0.0,0.0001357067574743187,0.0,0.017700779905337916,0.0,0.03890200095942653,0.0,-0.015307032452791969,0.0,-0.004666661842770425,0.0,-0.007833077861766347,0.0,0.015608418610848718,0.0,-0.0062107683450411955,0.0,0.0006496038767376255,0.0,-0.004987822036038203,0.0,-0.034024527138518446,0.0
0.5*CPI,250,0.07875868985140255,1.0,-0.05637464280614213,1.0,-0.01956960902628957,1.0,0.49003983348140867,1.0,0.1738354806983442,1.0,0.030303177338293574,1.0,-0.03436615190746106,1.0,0.6456202226699888,1.0,0.023203775670338267,1.0,0.1264427703020108,1.0,0.008039729348341185,0.0,0.005325202335697998,0.0,0.012727814651192215,0.0,0.010680468404460797,0.0,-0.009268382115009244,0.0,-0.015321245383477455,0.0,-0.008448781656615889,0.0,0.010710415998814504,0.0,0.004678454578528335,0.0,0.018176232901235156,0.0,-0.005006193997993291,0.0,-0.002880694918656168,0.0,-0.028579328455455744,0.0,0.0004678682556207292,0.0,-0.007765356106568033,0.0,-0.026205405795201586,0.0,0.006053479191038269,0.0,-0.009661015081014135,0.0,-0.0024880815023984315,0.0,0.02318926650811237,0.0,0.006820040797450133,0.0,0.0006293467810729592,0.0,0.000508290679950063,0.0,0.008388012641798115,0.0,-0.005871521906868349,0.0,-0.0047295801044715535,0.0,0.0502195767568574,0.0,0.006088082711954268,0.0,-0.0032952271490898077,0.0,-0.033977624516923655,0.0,0.004299823611334519,0.0,0.019864408939074263,0.0,0.0015581726700655274,0.0,0.021071971449266425,0.0,-0.011292465186773626,0.0,0.022492468350153727,0.0,-0.00190849336508081,0.0,0.00529505774822181,0.0,0.005451989246265665,0.0,-0.0041314257204456695,0.0
0.5*CPI,500,0.007661006458531405,1.0,0.07356187970216799,1.0,0.01565174745910447,1.0,0.31933490467599324,1.0,0.8861507393852615,1.0,0.05693800392777071,1.0,0.07633357255816309,1.0,1.0956067962022453,1.0,0.01032765216489362,1.0,0.09757508625155298,1.0,0.0033216533504998313,0.0,-0.00823772587151339,0.0,-0.005781129977553645,0.0,-0.004329863324875616,0.0,0.00794611615902352,0.0,0.012057968470491343,0.0,-0.015415624372774772,0.0,0.008205608993324232,0.0,0.01556675547634434,0.0,-0.0063381894412124495,0.0,-0.007638760557465263,0.0,0.010786479499882873,0.0,-0.009395318221419258,0.0,-0.012306085095027619,0.0,-0.007242116972725032,0.0,0.007247223388257895,0.0,-0.017008405065873866,0.0,0.005995225379169966,0.0,0.020444632705269417,0.0,-0.0034387627635339424,0.0,-0.00544060836497251,0.0,0.004823693985847033,0.0,-0.0007961116377670496,0.0,-0.002171880635122303,0.0,-0.006787652687989532,0.0,0.0016110120163028707,0.0,0.009352978511332655,0.0,-0.0007416336147552105,0.0,-0.011620006694325946,0.0,-0.0016892274841999733,0.0,0.011236894946137,0.0,0.0006724447876511608,0.0,0.0005393193345906155,0.0,-0.024617181063782523,0.0,-0.007556200670501889,0.0,-0.017829939946495177,0.0,0.009302808521851613,0.0,-0.000671371221508732,0.0,-0.01939422652544498,0.0,-0.0005867562592098974,0.0
0.5*CPI,1000,0.16511178026395146,1.0,0.138568915686605,1.0,0.046414595290648175,1.0,0.41986591014580443,1.0,0.15975791453831245,1.0,0.08789650700975604,1.0,0.042417815843025175,1.0,0.7586963546584786,1.0,0.017835124720747775,1.0,0.08081967786389976,1.0,-0.00011812828132040654,0.0,0.0007264897554112304,0.0,-0.0038150514019952286,0.0,0.00044026062506774544,0.0,-0.0046327913429189405,0.0,-0.0029437936482378246,0.0,-0.0010571641794605569,0.0,-0.002490760509101464,0.0,0.004087084717699141,0.0,-0.001673744671366939,0.0,-0.003815348801240903,0.0,0.00547007724105808,0.0,0.0012786177298960144,0.0,0.00036780420736104436,0.0,-0.0064274357752091005,0.0,-0.0025056390825347608,0.0,-0.004505805430606857,0.0,-0.001163412630908689,0.0,0.007817029121913843,0.0,0.00903090574858223,0.0,-0.012052938837705529,0.0,0.0009691078979805479,0.0,-0.003198656851243875,0.0,-0.005480851747652671,0.0,-0.0012761450347047454,0.0,-0.0014119009825022122,0.0,-0.00047286977363436566,0.0,0.001605873942503444,0.0,-0.0024121413677203885,0.0,-0.00147277790662792,0.0,0.017730223269252887,0.0,-0.00018177652114992338,0.0,-0.0017635091923245971,0.0,0.003223286235376932,0.0,0.002287612788146265,0.0,0.0030602013989972088,0.0,0.0012233218115597078,0.0,0.0036012193094336897,0.0,-0.0005433458801191726,0.0,0.00046157360775522793,0.0
0.5*CPI,2000,0.2528105132160872,1.0,0.05664963283665264,1.0,0.10885159272840067,1.0,0.690616803229642,1.0,0.7815276261787643,1.0,0.07857478730896988,1.0,0.04734387417826297,1.0,1.1955208728146942,1.0,0.04614707669806811,1.0,0.18475856946426378,1.0,0.0024246026078540983,0.0,-0.0012058606490884527,0.0,-0.003359697306540066,0.0,0.0030676247816872615,0.0,-0.0006638844210856698,0.0,0.002366004788785847,0.0,-0.000669268301411674,0.0,-0.0018624670582379488,0.0,0.007250097774631592,0.0,-0.001210731680611421,0.0,-0.006983273276945812,0.0,-0.003677324383934477,0.0,-0.001809689945184878,0.0,0.002343714982959877,0.0,0.003949611705238221,0.0,-0.00548598350429208,0.0,-0.0007340010409402908,0.0,0.00439495755836089,0.0,0.0018479346739744273,0.0,-0.004272000830334521,0.0,0.004914470784234959,0.0,-0.0037259013461817814,0.0,0.0024303039025058704,0.0,-0.0009437038945104836,0.0,-0.0012976399442790054,0.0,-0.0010528060732392652,0.0,0.002917039630031315,0.0,-0.0002776835415123635,0.0,0.001632525522915207,0.0,-0.0012572395251854718,0.0,0.003910955091269652,0.0,-3.650497829604804e-05,0.0,-0.002849406108663355,0.0,-3.498078507446767e-05,0.0,0.005338287667781105,0.0,-0.0006579034880132562,0.0,0.0027630103221457647,0.0,0.0003730017756901627,0.0,0.0048491148343413615,0.0,0.0007063005795278077,0.0
0.5*CPI,5000,0.2611453692641876,1.0,0.16479927279698786,1.0,0.24623736806319013,1.0,0.7589325306770944,1.0,0.7859957299753602,1.0,0.10434282788721827,1.0,0.08920169010727441,1.0,1.3260968570951628,1.0,0.07552743557813979,1.0,0.2219284714152901,1.0,0.00046743430078372006,0.0,0.0006343052572996832,0.0,0.0005639270933480711,0.0,0.0003622923580769988,0.0,0.0009313274360495116,0.0,-0.0001774137503963713,0.0,0.002161600386548057,0.0,0.0005180439382767577,0.0,-0.0007251080980613667,0.0,-0.00039143407395730856,0.0,-0.000696860195440796,0.0,-0.00046252610192770716,0.0,-0.0011819280564524526,0.0,-0.00015612986574747856,0.0,0.0001735176333659827,0.0,-3.5242774822530354e-05,0.0,-0.0009130956761669307,0.0,-0.00041237290254786396,0.0,-0.00017155335558066698,0.0,-0.0014684855806932906,0.0,-0.00020161912548016803,0.0,-0.0012953388326270576,0.0,0.001052434435873384,0.0,0.0014298973957649341,0.0,-0.0010147832644557542,0.0,-0.0011825287235803783,0.0,-0.00032437863422490887,0.0,0.0010914986814208327,0.0,-0.0003619159475052869,0.0,-0.0007845215614843415,0.0,-3.547656807184607e-05,0.0,-0.00013283548790138378,0.0,-0.0007882208720652595,0.0,1.0844372191454177e-05,0.0,0.00029769387336209263,0.0,0.0003454148250213729,0.0,3.60928897610302e-05,0.0,-2.8651795323575424e-05,0.0,-0.000386246486691999,0.0,-0.00013123423477623408,0.0
PFI,100,0.10366810003179405,1.0,-0.006477300292258015,1.0,-0.017711637301571992,1.0,-0.005986828470299965,1.0,0.009035562562489163,1.0,-0.007742594760296928,1.0,-0.029640869271076342,1.0,0.46310764177817365,1.0,-0.014547060532736689,1.0,0.04057326074270673,1.0,-0.007729755078118794,0.0,-0.035843775817331114,0.0,-0.04580340611348732,0.0,-0.003973930002627135,0.0,-0.005570872423175555,0.0,0.0013790118069714197,0.0,0.019134844438008836,0.0,0.00952054861231022,0.0,-0.00027241703284186514,0.0,-0.011085196717658619,0.0,-0.014069831841543756,0.0,-0.0014368985259816114,0.0,0.0005130954211776118,0.0,0.003908355965334787,0.0,0.005615858133999119,0.0,0.020088812536942946,0.0,0.012318265955367114,0.0,-0.01670623447326336,0.0,0.055675784180292176,0.0,0.02055342877562394,0.0,-1.666893738949682e-05,0.0,-0.01878705711488715,0.0,-0.0034331070810365016,0.0,-0.02951364716444327,0.0,-0.05814984852088512,0.0,-0.009127394236238207,0.0,0.0109299276845356,0.0,-0.004218029298862502,0.0,-0.009220806021134953,0.0,0.0047757402810209015,0.0,0.006323952145113498,0.0,0.015395036894743086,0.0,-0.006542480009132268,0.0,0.0026549175652332835,0.0,0.0008486029408374396,0.0,0.0020728957106741497,0.0,-0.005093293765949802,0.0,0.005067034918972535,0.0,-0.002393413716968773,0.0,-0.02677708404734558,0.0
PFI,250,-0.0012169228402822974,1.0,-0.02907571721122837,1.0,0.001671197381194478,1.0,0.5411453142155143,1.0,0.2771007462016195,1.0,0.03191041690843344,1.0,-0.029479345183103245,1.0,0.3993787052652329,1.0,0.02040310627441011,1.0,0.103386533273093,1.0,0.00479873232311423,0.0,0.008291295104050356,0.0,-0.0015890941109986123,0.0,0.012202411183161788,0.0,-0.020936245973256717,0.0,-0.041592850030782946,0.0,-0.0034383399715358642,0.0,0.005083143792610212,0.0,0.018438112220823255,0.0,0.013227842828317904,0.0,-0.0034776786143453364,0.0,0.0061350793345722465,0.0,-0.007148486824674505,0.0,-0.01227859594261993,0.0,-0.008339206308684677,0.0,-0.022653300400973908,0.0,-0.011031622251490125,0.0,-0.013944388017811393,0.0,-0.007263480462796901,0.0,0.007680716278761768,0.0,-0.0022247259072867287,0.0,-0.002720851156660098,0.0,0.0025984016786995134,0.0,0.0018946336143172982,0.0,-0.003948208340275761,0.0,-0.009694269136109934,0.0,-0.007598049941110352,0.0,0.008194746962544075,0.0,-0.002799594883476253,0.0,-0.03480709843473173,0.0,-0.0004977199581197578,0.0,-0.00957586371304009,0.0,0.002268508342316844,0.0,-0.007182922375555734,0.0,-0.007240307893899622,0.0,0.005456881636478617,0.0,-0.001591366901083413,0.0,0.0051612855505651645,0.0,0.007090822645403172,0.0,-0.006507906396892027,0.0
PFI,500,0.016580601401187556,1.0,0.04668233126602872,1.0,0.014009448698825588,1.0,0.7740127137489747,1.0,0.5894762078598246,1.0,0.04542396877495203,1.0,0.06624397671782889,1.0,0.5284716256835702,1.0,0.006564422235918688,1.0,0.10320069410569399,1.0,-0.0025612596290707224,0.0,-0.005132220891520767,0.0,-0.005029382149889017,0.0,-0.003271956068011894,0.0,0.0052870015573955875,0.0,0.004126648390549104,0.0,-0.016288034531756646,0.0,-0.0042809409021067335,0.0,0.009223305114374192,0.0,-0.005469765952177408,0.0,-0.0031168427462875403,0.0,0.016333632210471905,0.0,-0.005197520150826307,0.0,-0.013326233133521326,0.0,-0.013147118149759551,0.0,-0.004807075381721537,0.0,-0.01670370032305235,0.0,-0.00017383099188861273,0.0,0.008399620187328871,0.0,-0.012174506801259088,0.0,-0.004830016635021028,0.0,0.0007521022444187953,0.0,0.008125429480434487,0.0,0.00546240746332094,0.0,0.003109409846770772,0.0,-0.0032238162721338615,0.0,0.0031306257291108253,0.0,-0.003007541186639262,0.0,-0.0018275761241051125,0.0,0.0016850670946957358,0.0,0.005608648050802412,0.0,-0.004183737989712277,0.0,0.0033167189249239115,0.0,-0.015150763156416502,0.0,-0.005988395707616556,0.0,-0.005458575896668094,0.0,0.0009039648548307966,0.0,-0.007456867413750512,0.0,-0.01165790304833414,0.0,-0.003651586410637231,0.0
PFI,1000,0.15244631088973182,1.0,0.15616490869438637,1.0,0.16972579513374053,1.0,0.7260638800604424,1.0,0.581414085271396,1.0,0.11907991887513036,1.0,0.0660836001531604,1.0,0.7735512069646377,1.0,0.020504037546569265,1.0,0.13612663761550925,1.0,-0.00016687009528615349,0.0,0.0038967356048293933,0.0,-0.00822997942860959,0.0,0.0003456534445198667,0.0,-0.004620825137468643,0.0,-0.0030892474730199737,0.0,-0.007012730068446604,0.0,0.002151820500449597,0.0,0.007529328027706672,0.0,-0.0041237719303126585,0.0,-0.0031989682861714996,0.0,0.0034121388118417695,0.0,0.00964594600956481,0.0,0.00217144655321877,0.0,-0.0017922399413292656,0.0,0.005661630337017165,0.0,-0.0018598159912788237,0.0,-0.0026336875703769635,0.0,0.006070727943043641,0.0,0.01651281380988112,0.0,-0.003150837832748943,0.0,0.0019430120869015077,0.0,-0.0026912697589307477,0.0,-0.01000044413329948,0.0,-0.004678995915278206,0.0,-0.002244976681530897,0.0,0.0038061940587894583,0.0,-0.0027107425926355955,0.0,-0.006895285898978809,0.0,0.0017068466975762586,0.0,0.0013115766589824052,0.0,0.0009393054128856715,0.0,0.0023248332703995622,0.0,0.0038973189986015733,0.0,-0.00043419620522300306,0.0,0.004314107516320664,0.0,0.0005069226175000718,0.0,0.007078212315815735,0.0,0.0013517274204519758,0.0,-0.0013053401511355922,0.0
PFI,2000,0.22875725517450352,1.0,0.09744461369622492,1.0,0.1850364480916854,1.0,0.9369704503784065,1.0,0.9758501291147647,1.0,0.1457949919313214,1.0,0.07363319319970418,1.0,0.9785786425791095,1.0,0.050231167553591916,1.0,0.23757534923879298,1.0,0.0021536168051187188,0.0,-0.010201858649313222,0.0,-0.004851770964730551,0.0,0.0005293485838578915,0.0,-0.003313169890421852,0.0,0.003555753260780392,0.0,-0.0033371183988474273,0.0,-0.0034634745557040603,0.0,0.006865116686660788,0.0,-0.001136793651898893,0.0,-0.006205122434099097,0.0,-0.0012594909572450907,0.0,-0.002723668393983636,0.0,0.0035995840220285347,0.0,0.0014577438806407939,0.0,-0.0027506675525735824,0.0,-0.0018520280651712628,0.0,0.0022701866782088853,0.0,0.0011620992319727463,0.0,-0.0040692947500418075,0.0,0.0076387988989536915,0.0,-0.003186232395454458,0.0,0.0027400696766085586,0.0,-0.0031164373216140406,0.0,-0.0053264582037168,0.0,-0.0025363588351628996,0.0,-0.0031056804329984145,0.0,0.003434841402948585,0.0,0.0018569743045299125,0.0,0.0008096307376541656,0.0,0.0039424902205652534,0.0,-0.001867715907517331,0.0,-0.0005573699952760025,0.0,-0.00429356041253659,0.0,0.0032311378201760332,0.0,-0.0014594485264938228,0.0,0.0026396508574647592,0.0,0.00015241276488209277,0.0,0.0027685226203317814,0.0,-0.0011431785615541035,0.0
PFI,5000,0.3884724449751328,1.0,0.2904323471240212,1.0,0.4427483331271621,1.0,1.0044872331285828,1.0,1.108727847081001,1.0,0.18433494815115703,1.0,0.13972767708927958,1.0,1.3153872219057776,1.0,0.14097015321711814,1.0,0.4031794130626706,1.0,0.0013154552023485477,0.0,0.0031447584776139736,0.0,0.0020119182250069034,0.0,0.0006943156206913326,0.0,0.0010956469122171963,0.0,0.0017435748065792733,0.0,0.002606225133694351,0.0,0.0014513621114256026,0.0,0.0006106325455643713,0.0,1.2070813606102071e-05,0.0,0.0005285734917244156,0.0,6.517764422331318e-05,0.0,-0.0020722032472277885,0.0,0.0005415479228775277,0.0,0.0007406000719321071,0.0,-0.000671150331667314,0.0,0.0009378941180100409,0.0,-0.00030520591340532643,0.0,0.0005660230050605897,0.0,-0.0009748025835619734,0.0,-0.002611395663029703,0.0,-0.004311697548499693,0.0,0.0019302934441670638,0.0,-0.000521278556389615,0.0,-0.0008171040625994941,0.0,-0.005767242529485461,0.0,9.031821215166325e-05,0.0,-0.0006760660329033774,0.0,-0.0006694766765308335,0.0,-0.0030860551871024766,0.0,0.00024139714170912097,0.0,-0.0021699350981148058,0.0,-0.0012948563163909244,0.0,0.0005459888032324223,0.0,0.0013098912964234488,0.0,0.0018915081778253517,0.0,-0.00037895977554713856,0.0,-0.00012920464261745312,0.0,0.00045760014090201473,0.0,-0.0003599526245031681,0.0
