method,intra_cor,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9
0.5*CPI,0.05,-0.08385619915767051,1.0,-0.05352744132028686,1.0,0.007386784554380688,1.0,0.006680681061895788,1.0,0.007443229878478563,1.0,-0.011739531964959582,0.0,-0.017003388739906367,0.0,-0.014004173749548432,0.0,-0.023876105326561037,0.0,-0.028811913497412522,0.0
0.5*CPI,0.5,0.18904516582741449,1.0,0.039234396888565115,1.0,0.004738815771154314,1.0,0.061924136337860536,1.0,0.04023117685390465,1.0,-0.01742432920230308,0.0,0.00778475358353059,0.0,-0.021265063375423776,0.0,-0.008597052262866,0.0,-0.016273773757145005,0.0
PFI,0.05,-0.04890485813309842,1.0,-0.031055514873639112,1.0,0.004242221428270687,1.0,0.0038371533659169454,1.0,0.004274598168805932,1.0,-0.006763372945150836,0.0,-0.009804572593656857,0.0,-0.008071117631363034,0.0,-0.01378336155345572,0.0,-0.016646495765865632,0.0
PFI,0.5,0.18702358317550183,1.0,0.04887668280607138,1.0,-0.02175099146151105,1.0,0.06778634999959943,1.0,-0.03795064216134092,1.0,-0.004919260576425666,0.0,0.006367442284782143,0.0,-0.01581659217318232,0.0,-0.02052197432421976,0.0,-0.007098252145512962,0.0
LOCO-W,0.05,0.1546231112374608,1.0,0.06863974601054573,1.0,0.31847657071177177,1.0,0.13363070503545146,1.0,0.4145490203077211,1.0,-0.032260245132546765,0.0,0.45530249154565616,0.0,0.23380665314169222,0.0,0.15962539903954845,0.0,0.12928668959360431,0.0
LOCO-W,0.5,0.44156103111770445,1.0,0.16853211570779844,1.0,0.01725028332003667,1.0,0.5925422826171864,1.0,-0.04923620355144095,1.0,0.20181050392655944,0.0,0.02365761733989819,0.0,0.5240515612028761,0.0,-0.11648891218238873,0.0,0.10584792439904965,0.0
LOCO-HD,0.05,-0.1259001169249303,1.0,0.0734070878420785,1.0,-0.010291085186970417,1.0,-0.005547701834284435,1.0,-0.00040788442028372174,1.0,-0.061567891190917656,0.0,0.02538712867329629,0.0,-0.07289418821922089,0.0,-0.09664242069622064,0.0,0.03488950584361428,0.0
LOCO-HD,0.5,0.32060232312513715,1.0,0.110506962834241,1.0,0.036706225358176914,1.0,0.16270180182345073,1.0,0.17433671869170042,1.0,-0.07863112687955609,0.0,-0.1408348453258661,0.0,-0.07495131338995731,0.0,-0.08405148602046042,0.0,-0.1611672085058491,0.0
Robust-CPI,0.05,-0.15926842634161711,1.0,-0.017512033618144296,1.0,-0.06130887686817748,1.0,0.006275793798410642,1.0,0.06038582658456777,1.0,-0.028541367942892186,0.0,-0.00582970122028095,0.0,-0.05699622149137291,0.0,-0.10714683378296136,0.0,-0.014026242656996023,0.0
Robust-CPI,0.5,0.19359110342695313,1.0,0.11961558463503388,1.0,0.009021301133262365,1.0,0.13842918091879278,1.0,0.08757369997072173,1.0,-0.017466213447164317,0.0,-0.01457808525793379,0.0,-0.005836100407554755,0.0,-0.03626302589661694,0.0,-0.011867996541468325,0.0
