method,intra_cor,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9
0.5*CPI,0.05,-0.060439099653039285,1.0,-0.06415330117812257,1.0,-0.5018996288784452,1.0,-0.16091859251863072,1.0,-0.053596724333743406,1.0,-0.02956094443358115,0.0,-0.058320110968919536,0.0,-0.42456030782120324,0.0,0.041710976447573156,0.0,0.15397588317183875,0.0
0.5*CPI,0.5,0.29313169025782826,1.0,0.022486602366130093,1.0,-0.2557731174947353,1.0,1.1325799148546165,1.0,0.6090731784311179,1.0,-0.09908656965044493,0.0,-0.005099642353394662,0.0,0.13860406821230398,0.0,-0.030376285910421963,0.0,0.07823389414279225,0.0
PFI,0.05,-0.026843344313620676,1.0,-0.004872960490798217,1.0,-0.23364283202519598,1.0,-0.07219732963285752,1.0,-0.023788241495563245,1.0,-0.013089180691515878,0.0,-0.025896775790932303,0.0,-0.19591981454946206,0.0,0.010508353906948376,0.0,0.06699072096093017,0.0
PFI,0.5,-0.0791242123208491,1.0,-0.05484707568746083,1.0,-0.21249067309012104,1.0,0.34956766169776055,1.0,0.5920277573150363,1.0,-0.061095326734860844,0.0,0.08693878852519177,0.0,0.12688451120771904,0.0,0.07213968129135351,0.0,-0.04384468120769047,0.0
LOCO-W,0.05,-0.17104255811170674,1.0,0.6147587716207286,1.0,0.1795486658703829,1.0,0.10712763027668248,1.0,0.08815961411722899,1.0,-0.013614158230304188,0.0,-0.33917911503309306,0.0,-0.19092617405610696,0.0,-0.3554647546848485,0.0,-0.1667638731489541,0.0
LOCO-W,0.5,-1.4453228167777197,1.0,-0.6677856399581323,1.0,-0.585672188818024,1.0,-0.17123431371468542,1.0,-2.0119264904776224,1.0,-1.0004965150104383,0.0,-0.1360886548018324,0.0,0.631834444891958,0.0,1.8164281764247723,0.0,-1.8573563571400202,0.0
LOCO-HD,0.05,-1.2086132697533012,1.0,-0.5607338483924682,1.0,-1.1961808081387182,1.0,-0.7215653026171314,1.0,-1.3242445780955112,1.0,-1.1382452016361766,0.0,0.1611130273443102,0.0,-0.7767125637334402,0.0,-1.382495951773563,0.0,-1.0041868637013502,0.0
LOCO-HD,0.5,1.0233416384070062,1.0,0.1056090044405611,1.0,0.17501014141090243,1.0,-0.25215726035356645,1.0,1.2377903936838184,1.0,0.006216738825950419,0.0,0.27788006630686723,0.0,0.0757719139089752,0.0,0.10415411256871288,0.0,-0.06396620717643842,0.0
Robust-CPI,0.05,-0.021692613250921988,1.0,-0.10339294118661704,1.0,-0.8676621900405714,1.0,-0.41434785242784633,1.0,-0.4052535901229157,1.0,-0.1794646468916019,0.0,-0.06241582943517559,0.0,-0.5043344686022293,0.0,0.29441596513305346,0.0,-0.04541686898414426,0.0
Robust-CPI,0.5,0.15887139186307708,1.0,-0.20242590392137397,1.0,-0.28497702584747564,1.0,1.1608371445298171,1.0,0.7070961312197154,1.0,-0.15004041469432577,0.0,-0.07024965606669284,0.0,-0.25735579039755374,0.0,-0.12166048650723042,0.0,-0.1354104505534605,0.0
