method,n_samples,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49
0.5*CPI,100,0.16381896751557423,1.0,0.007442577419233487,1.0,-0.00014433518374445953,1.0,-0.009875952500903562,1.0,0.1718179529520788,1.0,0.0007900871488693006,0.0,0.005499505026660967,0.0,-0.0012736920031165555,0.0,-0.007657259551570705,0.0,-0.00018742164159368802,0.0,0.00295691397844855,0.0,0.0012990485932856677,0.0,-0.0009089029177985486,0.0,-0.0015128559611481407,0.0,0.0003327537800035252,0.0,0.000943089978035494,0.0,-0.00301286551854274,0.0,0.0012142722138123174,0.0,-0.0016649476962633525,0.0,0.0012370968220281053,0.0,0.0018457789906318744,0.0,0.004159206727361586,0.0,-0.006309091620737117,0.0,-0.007428738373113419,0.0,-0.00024389643282807238,0.0,-0.006320901131527501,0.0,-0.0031130371995365946,0.0,-0.0008389881218457962,0.0,-0.00037144193067772946,0.0,0.00043950128326808446,0.0,-0.0006820420612290157,0.0,0.00039222646310521636,0.0,-0.0022876631282968685,0.0,-0.0018723153321612562,0.0,-0.0019003795252030553,0.0,-0.0026251628718696463,0.0,-0.0017311215850708273,0.0,0.0025452772414474856,0.0,0.0026215918008283268,0.0,-0.005658871810722443,0.0,-0.0030045249115602246,0.0,-0.0007147510553380254,0.0,-0.0022816385186315014,0.0,-0.001342436184655682,0.0,0.006363283251185403,0.0,0.003972400799371778,0.0,0.006015534824370228,0.0,-9.287356017273485e-05,0.0,-0.004515661878450317,0.0,0.0059657263601397,0.0
0.5*CPI,250,0.05220304092843886,1.0,0.00223703954447263,1.0,0.009135446977433404,1.0,0.18846024833115527,1.0,0.09968850937473173,1.0,0.000442597513665266,0.0,-0.002877973948325563,0.0,0.003422180572735245,0.0,0.0014945982111638223,0.0,-0.011732989137119398,0.0,0.013132975095286659,0.0,0.0003892094564046378,0.0,-0.001477493068471114,0.0,0.0036139796414014214,0.0,-0.0008654240258842982,0.0,-0.007531611956248518,0.0,-0.004692514746143628,0.0,0.0037501088725258036,0.0,-1.9155693921080186e-05,0.0,-0.0020778663003258036,0.0,0.0038652296647323503,0.0,0.004457464481467888,0.0,-0.0022730887088466822,0.0,0.009034297125683377,0.0,-0.0006589346465406543,0.0,0.0023517289483565573,0.0,0.0004590484418460772,0.0,0.00522043794136251,0.0,-0.005263256516977233,0.0,-0.0029438741251965883,0.0,0.010598115470108915,0.0,-0.0007091631652156316,0.0,0.002520346106808402,0.0,0.0005860357127507321,0.0,-0.00200919587681625,0.0,0.0026546450058677618,0.0,0.008851838482376362,0.0,0.005207764927124048,0.0,0.004463854645315957,0.0,0.002809415061349574,0.0,-0.003532983400949208,0.0,-0.01812341387569938,0.0,0.002309666045710257,0.0,-0.010937900042769844,0.0,0.02370000813600015,0.0,-0.01039031260766854,0.0,0.0035252593915939823,0.0,0.019317604852018277,0.0,0.0037080892163721124,0.0,-0.005091530207450123,0.0
0.5*CPI,500,0.13829543605458378,1.0,0.1538668870365006,1.0,0.017861662953246815,1.0,0.4679777927217476,1.0,0.9946514160053666,1.0,-0.000596767683100019,0.0,0.0012318940035884185,0.0,0.001438428872521491,0.0,0.0002711308676923707,0.0,0.0017587441421964,0.0,0.0021290992392240526,0.0,-0.00021493163266400606,0.0,-0.00023270672030334394,0.0,-0.0005629782476640477,0.0,0.0009128065760333204,0.0,0.0020705879090063273,0.0,-0.0011540738494752456,0.0,0.0009379920925204899,0.0,-0.0010556459750028502,0.0,-0.0007121773432841039,0.0,0.0026125138103985646,0.0,-0.0017471729152764848,0.0,0.0002592462935848139,0.0,-0.002097836750888815,0.0,0.003519109293275313,0.0,0.03358817000797071,0.0,-0.0020832522424030775,0.0,-0.0016205772511151961,0.0,0.0006183726600568207,0.0,-0.005119307438199827,0.0,-0.0020822515435514055,0.0,0.0005208101330235748,0.0,-0.0017146703874026947,0.0,0.0005049806261264167,0.0,0.0007224141097265102,0.0,-0.0008103214361234734,0.0,-0.0007237918355633144,0.0,-0.0010909566955865646,0.0,0.0007256121112670377,0.0,-0.00012961155789464884,0.0,0.0029979503271547747,0.0,0.003042803441740294,0.0,0.0005535443478795199,0.0,-0.0013279924188626113,0.0,-0.002178623545058378,0.0,-0.00044474704549252175,0.0,0.004265943722746024,0.0,0.0019827414824821754,0.0,-0.0015149235855909104,0.0,0.0008812227572418396,0.0
0.5*CPI,1000,0.17744262839309857,1.0,0.16660188409037022,1.0,0.08062441333227635,1.0,0.44694388173962674,1.0,0.5913286518841935,1.0,0.0028294362332765832,0.0,0.0014864770829114693,0.0,-0.00033212506717841817,0.0,0.002419074337796673,0.0,-0.001395329499477016,0.0,7.366683802467744e-06,0.0,0.00045172934571705015,0.0,0.0002462232305219525,0.0,-0.0003055805698286007,0.0,-0.00023563643889001895,0.0,-0.0006046923276438465,0.0,0.0018185576959404148,0.0,-0.002026593863051873,0.0,0.0008642138302763225,0.0,-0.0023423009619858715,0.0,0.0003790312780913019,0.0,-0.0015767369731302383,0.0,-0.0005034691952907622,0.0,0.00032536847877415176,0.0,-0.0006344129239790608,0.0,0.0009557500311650202,0.0,-0.0004100603179904294,0.0,-0.0035527167669129334,0.0,-0.0001126578596055694,0.0,-0.0017326985024538055,0.0,-0.00021373398936147536,0.0,-0.00042793367674265337,0.0,0.001988862737754088,0.0,0.0002495200821918675,0.0,-0.0002138031892348069,0.0,0.00010708620064475705,0.0,1.5283692767764645e-06,0.0,-0.002849296273128077,0.0,0.0019945894572563905,0.0,-0.0009159049934119312,0.0,0.0012924580570955746,0.0,-0.0010491981001236605,0.0,-0.0019071780715067266,0.0,-0.0004472682633796521,0.0,0.0007600067851490089,0.0,0.0011618600419794622,0.0,0.00034225507415697187,0.0,0.0013745177368391648,0.0,-2.044028694797584e-05,0.0,0.0020286310932447205,0.0
0.5*CPI,2000,0.19806842179634082,1.0,0.08976318660292704,1.0,0.3173752002321409,1.0,0.5406306102783918,1.0,0.6100665338743243,1.0,-0.002116801923956857,0.0,0.001014198492049423,0.0,-0.0009382729998859696,0.0,0.0004823132553366527,0.0,0.00011819248769506796,0.0,0.000338220206674289,0.0,0.0007305107548653544,0.0,-0.001427162013799943,0.0,0.0015964966618216558,0.0,-0.0001326062633393299,0.0,-0.00032266422531607164,0.0,-0.0033447400733658816,0.0,0.0009322519904619853,0.0,-0.00033627570418731656,0.0,-0.000742513333439665,0.0,0.00028100793187629813,0.0,0.0003330600188437005,0.0,-0.0009761049857877069,0.0,-0.0011769044279418828,0.0,0.0003317036879918467,0.0,-0.00016426929808444068,0.0,-0.00015369078666099822,0.0,-0.0002585395056294848,0.0,0.00019196701683998896,0.0,0.0008281996154136939,0.0,-0.00034617361634409205,0.0,-0.0016339824072767462,0.0,0.0014242430393480165,0.0,-0.0009641388241116156,0.0,0.000877930794853321,0.0,0.0028617373830224224,0.0,0.0005937386712552284,0.0,0.0013241777115484132,0.0,-0.0010542317086612574,0.0,-0.0005705834299386536,0.0,0.0012226692743202983,0.0,-0.0006735907506733585,0.0,0.0016444313713905867,0.0,-0.00017926195970846548,0.0,0.001295429703918105,0.0,0.0009850424317883744,0.0,0.0037368633733595447,0.0,0.00016888757143890265,0.0,0.0012110061303485797,0.0,-0.0003440899115901286,0.0
0.5*CPI,5000,0.28953866443592496,1.0,0.20134450400419068,1.0,0.4268568306368066,1.0,0.895918860778803,1.0,0.9554327944410821,1.0,-0.0016694409468525628,0.0,-7.275145270783934e-05,0.0,0.0015032101035535178,0.0,0.0003093397778299589,0.0,-0.0010671033353533699,0.0,-0.0007307173382782306,0.0,0.0007102760522938595,0.0,-0.0002109331814285631,0.0,-0.000992237702616458,0.0,-0.0003950253572810314,0.0,-0.00024106553108774187,0.0,0.0017795859810145892,0.0,-0.0007627825737846483,0.0,0.00011592927380969786,0.0,-0.0004062751292841643,0.0,5.229414417373679e-05,0.0,-4.519790207001273e-05,0.0,-0.0003811129626235671,0.0,5.239169220642992e-05,0.0,8.106038651352343e-05,0.0,-0.002132107543173181,0.0,-0.00021429991080815225,0.0,0.00036006369221532053,0.0,-0.0004434261695132058,0.0,0.0005246870218307553,0.0,4.2375635528016375e-05,0.0,-0.00012847244300895344,0.0,0.0002458239138615481,0.0,-0.0008821283291629706,0.0,-0.0005573827257356334,0.0,0.00011685104214299857,0.0,0.0005006788244994176,0.0,0.0003034407648879467,0.0,0.0007869301816476604,0.0,-0.00016041864778898463,0.0,-0.00018433877882240157,0.0,-0.0001481075686304706,0.0,-0.0006745765119600677,0.0,8.531228874254781e-05,0.0,-0.00022732293183262697,0.0,-0.0004206738429763657,0.0,0.0005464986259702959,0.0,-0.0004927060816158901,0.0,-0.00017233568988554715,0.0,6.386802424304672e-06,0.0
PFI,100,0.013027823228125346,1.0,0.010132460817957156,1.0,0.001118598980097918,1.0,0.004406608043238336,1.0,0.15982977058058867,1.0,0.002762924671098954,0.0,0.0014911387155227551,0.0,-0.0005765516837856755,0.0,-0.018747166936077475,0.0,0.0013334079845925828,0.0,0.0001711709568839037,0.0,0.004646551741587013,0.0,0.004649620529835641,0.0,0.0005138376858628835,0.0,0.0019517324200446495,0.0,0.005065970932962571,0.0,-0.0034084583318414463,0.0,0.0011336158825130394,0.0,-0.004317087769952099,0.0,-0.00035457144760364656,0.0,0.00121080144898289,0.0,0.008345541090234887,0.0,-0.004505081113076459,0.0,-0.009392715542513086,0.0,-0.00013555737802550816,0.0,-0.0051746417238984765,0.0,-0.0036908956394607895,0.0,0.00021155813523798805,0.0,0.0031387432283063177,0.0,0.0005054971916484963,0.0,-0.002221571621746854,0.0,0.00045767327317625117,0.0,0.00036471479360855596,0.0,-0.0007482959660560784,0.0,0.002176022845242098,0.0,-0.0023721791636386325,0.0,-0.0026909478502681328,0.0,0.0015046433486589628,0.0,0.017316564349827646,0.0,-0.009587196675505671,0.0,-0.005467765857342988,0.0,-0.0002686275197159027,0.0,-0.0013178270420628468,0.0,-0.001481312730523321,0.0,0.005197841808969983,0.0,0.0018617417679043236,0.0,0.016328484818645794,0.0,-0.0014934987078392137,0.0,-0.004073206583138589,0.0,0.0030260771952255183,0.0
PFI,250,0.07081397779872978,1.0,0.015053257944658727,1.0,0.026384154720950015,1.0,0.14148005342618064,1.0,0.1725210137371178,1.0,0.003216665469611746,0.0,-0.0026900626572068376,0.0,0.00046747519447398744,0.0,-0.008790948274893129,0.0,-0.007124565341563249,0.0,0.0093339195626716,0.0,-0.0029989487071639953,0.0,0.0035848949679966324,0.0,0.0029445407078954045,0.0,-0.0005470594924235073,0.0,-0.007078257565915846,0.0,-0.004994376039410664,0.0,0.0009205839846044839,0.0,0.000400229311546596,0.0,-0.0020886818913854466,0.0,0.005391805836292951,0.0,0.002014984926927088,0.0,-0.0021681710110459385,0.0,-0.0005360859482437252,0.0,0.008106143948714895,0.0,-0.0009477379122635465,0.0,-0.005313245483693052,0.0,0.004108608162607608,0.0,9.477763740939338e-05,0.0,-0.0030987531702042492,0.0,0.004183356250945236,0.0,-0.002358177148606755,0.0,0.0020776376994831036,0.0,-0.001436965822617653,0.0,0.0018536574721426113,0.0,0.0011846565979187762,0.0,0.004975208276653875,0.0,-0.0028785427284465648,0.0,-0.0032868535571373148,0.0,0.003352131390350621,0.0,0.0004952033160217084,0.0,-0.015968357638486363,0.0,0.007595420724825219,0.0,-0.006099529025566541,0.0,0.01284274987667633,0.0,-0.016817161128817926,0.0,0.0049519062650056345,0.0,0.013030471138293365,0.0,0.0036403843527343938,0.0,-0.000928452906658217,0.0
PFI,500,0.13584589321843754,1.0,0.19279053032209525,1.0,0.026948612689645324,1.0,0.5727982823080339,1.0,0.8427851207131186,1.0,-0.003994431123984232,0.0,-0.001505672806067837,0.0,0.0006661509266980836,0.0,0.0005556994961758432,0.0,0.0033147739552682465,0.0,0.001434409713503948,0.0,-0.0008586361475267923,0.0,-0.0017597400763668114,0.0,-0.0020673050620195754,0.0,0.0037823753747155964,0.0,0.0007070974284330012,0.0,0.0019000409177426514,0.0,0.0013578205534896526,0.0,0.0036898259936989364,0.0,-0.0013147268167086335,0.0,0.0018021153620227937,0.0,-0.005777000136376276,0.0,0.002853471577176192,0.0,-0.001976055001141064,0.0,0.005625839435559277,0.0,0.019698341444802647,0.0,-0.0002940378209996819,0.0,-0.0015613421967826113,0.0,0.0024763062904948896,0.0,-0.005048782707982591,0.0,-0.0024692190598919472,0.0,0.001536691868621043,0.0,-0.001493003794743486,0.0,0.0003177364873465649,0.0,-0.0005137948551277027,0.0,-0.0017679174096312256,0.0,-0.0012106486256249216,0.0,-0.002541985102564981,0.0,-0.004613867363999602,0.0,-0.0005455814883019716,0.0,0.005528350573825502,0.0,0.004986255874238621,0.0,0.0005083588716739973,0.0,0.0010350829661296412,0.0,-0.00035108956597917906,0.0,-0.0007663792461169994,0.0,0.00611802772939396,0.0,0.005708964811131034,0.0,0.001362657737067785,0.0,0.001369876117842228,0.0
PFI,1000,0.2721813169807007,1.0,0.3355374228216387,1.0,0.20275428390197914,1.0,0.6634421773928211,1.0,0.9000037889695188,1.0,0.003191902221941989,0.0,0.003115303621057608,0.0,-0.0013158293890506156,0.0,0.002425328264369475,0.0,0.0004653816718140913,0.0,0.0005423684510348359,0.0,0.0008362488555365699,0.0,0.0012461397614069725,0.0,-0.0012924791806987468,0.0,-0.003200149540358743,0.0,-0.004983217558238717,0.0,0.0005123953883907628,0.0,-0.004697280480421839,0.0,-0.003779830992308608,0.0,0.00037292352585638344,0.0,0.004021692574609048,0.0,-0.0033075608607667784,0.0,-0.0009477517583513784,0.0,0.0002798836498896229,0.0,0.0009642292754301618,0.0,-0.001885421995764247,0.0,0.0005696260593229807,0.0,-0.00543912930918633,0.0,-0.0010755579485530742,0.0,-0.008883808826601225,0.0,0.0018614900144721114,0.0,0.0020145183129242072,0.0,0.001965626391942865,0.0,0.0013669286516775347,0.0,-0.0003304169594405826,0.0,0.000946483084776184,0.0,-0.0005878878705444235,0.0,-0.0034931865001257556,0.0,0.0025724947168821455,0.0,-0.0009911526403659776,0.0,0.0005745234501117746,0.0,-0.00014411048229923118,0.0,-0.003393592293127412,0.0,-0.00038396655254868683,0.0,0.0008336898958739569,0.0,0.0018491661452514352,0.0,0.00014740385435907388,0.0,0.0019488165318474193,0.0,-0.0011789605914956924,0.0,0.0013629339749348102,0.0
