method,d,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19
0.5*CPI,10,-0.005192034700498727,0.0,0.029888210580464453,0.0,0.0018721640020175623,0.0,-0.0011194834081552085,0.0,-0.007801764987106108,0.0,-0.015518571725732955,0.0,-0.0025214962489648884,0.0,-0.013500794135584693,0.0,0.7393053413618226,1.0,0.0013645194647351477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5*CPI,20,0.0015991011481241157,0.0,-0.00527285481086226,0.0,0.013849622604453327,0.0,-0.0163812872556022,0.0,0.013047858754234976,0.0,-0.0044130539693906234,0.0,0.004999169338137377,0.0,0.013173095849853877,0.0,0.005038919622837257,0.0,-0.004842275685937092,0.0,0.6164540614888374,1.0,-0.0054541870465771025,0.0,0.004389734714035115,0.0,0.004735125942482099,0.0,0.024950328838485802,0.0,-0.003063683916425003,0.0,0.00685150857212663,0.0,1.2150346339046594,1.0,0.03976442873535613,0.0,-0.005835953713779984,0.0
PFI,10,0.008809227103845685,0.0,0.01078806756705819,0.0,-0.017383478929181906,0.0,-0.004283251346830719,0.0,-0.013248718570675888,0.0,-0.014447654297914947,0.0,0.08388327794634276,0.0,-0.00012264078627144404,0.0,0.7628331933697807,1.0,0.027487399184188965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFI,20,-0.013807080309804709,0.0,0.0013511794813936273,0.0,0.03970305909620753,0.0,0.03929961447395658,0.0,0.016229272309666087,0.0,-0.011350799274483458,0.0,0.004959303252786151,0.0,0.023075354842039597,0.0,0.011547827952751333,0.0,-0.00838919219979073,0.0,0.9380403393759952,1.0,0.0038270316366026957,0.0,0.00982268640869266,0.0,0.012209858470083379,0.0,0.06479701051451692,0.0,0.007945999977128748,0.0,0.01908857321238966,0.0,1.2903056374792752,1.0,0.06970459410336449,0.0,0.0008059587531865642,0.0
LOCO-W,10,0.22668494758086896,0.0,0.06403681533626024,0.0,-0.17978375272123043,0.0,-0.038054852358797055,0.0,-0.06429824296764025,0.0,0.042909567908810876,0.0,0.25339257114644154,0.0,0.28450133821260054,0.0,0.3205981330636738,1.0,0.08019540327367503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCO-W,20,0.1069797960559994,0.0,-1.52688093025515e-06,0.0,-0.1171830262698043,0.0,0.1681063748654786,0.0,0.13730538115013471,0.0,-0.563134926829642,0.0,-0.00015621992898586705,0.0,-1.6465748914352713e-07,0.0,0.040066135096941104,0.0,0.021585825123243356,0.0,0.18083417737635224,1.0,6.549123168312113e-05,0.0,0.0001915000008444934,0.0,-0.0011850245004140381,0.0,-5.5397614261761226e-05,0.0,0.023678576488063312,0.0,0.6840956210526115,0.0,0.6187151814336853,1.0,-1.704168610749955e-06,0.0,-7.178707877600703e-05,0.0
LOCO-HD,10,-0.004826437137851469,0.0,-0.0019032235067527603,0.0,-0.004069829714990092,0.0,-0.00579102439577206,0.0,-0.002436203853376173,0.0,-0.00576574509605704,0.0,-0.031594800223270436,0.0,-0.004453138552772629,0.0,0.5137317258658394,1.0,-0.013223709225078761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCO-HD,20,0.15888071011456717,0.0,0.0474608960842714,0.0,0.019040922855828812,0.0,0.03892509587052506,0.0,0.057132175521022344,0.0,0.018906903226162786,0.0,0.017276932743132856,0.0,0.1697139692672739,0.0,0.03672853770713752,0.0,0.09143393691921753,0.0,0.6709325617265834,1.0,0.05530906830533572,0.0,0.013637406619042725,0.0,0.23332515405016652,0.0,0.03864361557657531,0.0,0.2268971018126149,0.0,0.02749520063636607,0.0,1.070913749957874,1.0,0.011136075018979008,0.0,0.041736364274408244,0.0
Robust-CPI,10,-0.010759977618680958,0.0,0.028560986451010233,0.0,0.00803429598260399,0.0,-0.01108144756215216,0.0,-0.007003012662101161,0.0,-0.014409640991303426,0.0,-0.02564635676456466,0.0,-0.013790921226594395,0.0,0.8654382283079962,1.0,-0.01792436148604189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robust-CPI,20,0.0020539449343255508,0.0,-0.03394156857807102,0.0,0.008690045633740437,0.0,-0.010834951923403134,0.0,0.0051069061542614634,0.0,-0.008386304357752419,0.0,0.01323864721364853,0.0,0.006840263226044738,0.0,-0.0010675400331487026,0.0,-0.021742644760381066,0.0,0.5956044672638786,1.0,-0.004882344884064984,0.0,-0.004238698343191608,0.0,0.009792275116601499,0.0,0.018367652537222542,0.0,-0.008817426453069025,0.0,-0.0028190258117615284,0.0,0.7501606050776495,1.0,0.01565591208222219,0.0,-0.0004574171900954181,0.0
0.5*CPI,10,-0.005192034700498727,0.0,0.029888210580464453,0.0,0.0018721640020175623,0.0,-0.0011194834081552085,0.0,-0.007801764987106108,0.0,-0.015518571725732955,0.0,-0.0025214962489648884,0.0,-0.013500794135584693,0.0,0.7393053413618226,1.0,0.0013645194647351477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5*CPI,20,0.0015991011481241157,0.0,-0.00527285481086226,0.0,0.013849622604453327,0.0,-0.0163812872556022,0.0,0.013047858754234976,0.0,-0.0044130539693906234,0.0,0.004999169338137377,0.0,0.013173095849853877,0.0,0.005038919622837257,0.0,-0.004842275685937092,0.0,0.6164540614888374,1.0,-0.0054541870465771025,0.0,0.004389734714035115,0.0,0.004735125942482099,0.0,0.024950328838485802,0.0,-0.003063683916425003,0.0,0.00685150857212663,0.0,1.2150346339046594,1.0,0.03976442873535613,0.0,-0.005835953713779984,0.0
PFI,10,0.008809227103845685,0.0,0.01078806756705819,0.0,-0.017383478929181906,0.0,-0.004283251346830719,0.0,-0.013248718570675888,0.0,-0.014447654297914947,0.0,0.08388327794634276,0.0,-0.00012264078627144404,0.0,0.7628331933697807,1.0,0.027487399184188965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFI,20,-0.013807080309804709,0.0,0.0013511794813936273,0.0,0.03970305909620753,0.0,0.03929961447395658,0.0,0.016229272309666087,0.0,-0.011350799274483458,0.0,0.004959303252786151,0.0,0.023075354842039597,0.0,0.011547827952751333,0.0,-0.00838919219979073,0.0,0.9380403393759952,1.0,0.0038270316366026957,0.0,0.00982268640869266,0.0,0.012209858470083379,0.0,0.06479701051451692,0.0,0.007945999977128748,0.0,0.01908857321238966,0.0,1.2903056374792752,1.0,0.06970459410336449,0.0,0.0008059587531865642,0.0
LOCO-W,10,-0.0745864592777517,0.0,-0.01235269179576093,0.0,-0.2035673232360923,0.0,0.08031435257525396,0.0,-0.007214433520752522,0.0,-0.08607985966884227,0.0,0.033978687718426014,0.0,0.19175867663711857,0.0,0.3984456248077543,1.0,-0.002070374817120839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCO-W,20,-0.009173645085908016,0.0,-0.018400161377624957,0.0,0.003001196513094163,0.0,0.052581239342828386,0.0,0.017303391973747098,0.0,-1.5123303426739207e-06,0.0,0.5875068686747923,0.0,0.0031746260035712933,0.0,-0.04814187081455844,0.0,-0.0022150477552433136,0.0,0.006407719753585259,1.0,0.5601796522178076,0.0,-0.16740277064679435,0.0,-0.0009057806245733513,0.0,8.483536394423751e-07,0.0,-0.07726796175863182,0.0,-0.00438186621343967,0.0,0.006634730451701155,1.0,3.365319553092844e-07,0.0,0.030339092934426343,0.0
LOCO-HD,10,-0.004826437137851469,0.0,-0.0019032235067527603,0.0,-0.004069829714990092,0.0,-0.00579102439577206,0.0,-0.002436203853376173,0.0,-0.00576574509605704,0.0,-0.031594800223270436,0.0,-0.004453138552772629,0.0,0.5137317258658394,1.0,-0.013223709225078761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCO-HD,20,0.15888071011456717,0.0,0.0474608960842714,0.0,0.019040922855828812,0.0,0.03892509587052506,0.0,0.057132175521022344,0.0,0.018906903226162786,0.0,0.017276932743132856,0.0,0.1697139692672739,0.0,0.03672853770713752,0.0,0.09143393691921753,0.0,0.6709325617265834,1.0,0.05530906830533572,0.0,0.013637406619042725,0.0,0.23332515405016652,0.0,0.03864361557657531,0.0,0.2268971018126149,0.0,0.02749520063636607,0.0,1.070913749957874,1.0,0.011136075018979008,0.0,0.041736364274408244,0.0
