method,n_samples,imp_V0,imp_V1
0.5*CPI,30,3.9711040870381042,0.039421920838384174
0.5*CPI,100,2.9792893411122416,0.8328182520983141
PFI,30,3.4427530852661667,0.9631878148761626
PFI,100,3.118514652761127,1.6388795705004076
LOCO-W,30,2.112867729235063,0.1291388475684464
LOCO-W,100,0.5156043751199071,0.33061434879338963
LOCO-HD,30,1.5946821378692535,0.5848190988086982
LOCO-HD,100,1.5602438851826357,0.8775453247929647
Robust-CPI,30,2.476213919451719,0.07807466549584631
Robust-CPI,100,2.5204225525183133,0.774393906601541
0.5*CPI,30,2.037627834357905,0.2724875257888442
0.5*CPI,100,1.3182116938611337,0.3144656459738476
PFI,30,3.1228508872568557,1.621489731747032
PFI,100,2.3039700972891493,1.1269329102210914
LOCO-W,30,0.16435291133223615,1.0930024862614176
LOCO-W,100,1.1407771866968872,0.16106848045608013
LOCO-HD,30,1.324978839112688,0.6749779356218883
LOCO-HD,100,1.3533158649543306,0.6646729852264277
Robust-CPI,30,1.7184375651686932,0.37352041634728655
Robust-CPI,100,1.702865868212573,0.39382388399272106
0.5*CPI,30,2.239063076928851,0.32563376058818727
0.5*CPI,100,2.7678471325808114,0.6711786576241211
PFI,30,1.8260702573792629,0.6207668184741538
PFI,100,2.67887060280557,1.3089264734028498
LOCO-W,30,0.7675356539423603,0.8317463926844021
LOCO-W,100,1.1398072286930343,0.48601113088089337
LOCO-HD,30,1.9608128591842775,0.8331533692448201
LOCO-HD,100,1.4630333976162526,0.8411947208647657
Robust-CPI,30,3.21261845738108,0.5114524188547944
Robust-CPI,100,2.0694777072406567,0.716229204313903
