method,intra_cor,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11,imp_V12,imp_V13,imp_V14,imp_V15,imp_V16,imp_V17,imp_V18,imp_V19
n_cal1,0.0,0.049098387401819044,0.0376061151397985,0.20142452536762023,0.36039904871116646,0.47451428995660117,-0.006405367052959465,-0.005908605284739021,0.0029790139169251217,-0.002164443489606538,-0.0009791845426148083,0.01544234308272785,-0.0037776633749565525,-0.006816004647283713,-0.0003855009906401641,0.018415040793907544,0.0006157193822975415,-0.0011260753589065198,-0.003190217469969503,0.004890399777355281,-0.005639444986854203
n_cal1,0.05,0.10675441335780722,0.08827937786072448,0.35773527213056133,0.6036486380159362,0.852120461162993,-0.013214041148218891,-0.001276310777992451,0.004325062012844105,0.003394043580202788,-0.000765198496966657,0.002100077426559044,0.0007799719097084101,0.003311389092735373,0.008030699459770696,0.007110941623643785,-0.001944445453703425,0.0026339915204034448,0.0029932596203817163,0.00018790803079088425,-0.006321461973283982
n_cal1,0.1,0.11353979331119468,0.07458924474732276,0.47847466341638634,0.9049656743829183,0.9379627993878646,0.0012790726632410654,0.007901691685087864,0.003272535614999794,-0.0011502327891480535,-0.0035352462915210214,-0.0015162865590735985,0.005682361497253707,6.018429686666105e-05,-4.7774482986429057e-05,-0.0019639786310473584,-0.0035652699083895123,-0.006359056173997957,0.006505071570369614,0.007805702154159377,-0.0012246720442653514
n_cal1,0.2,0.12666523091881737,0.07009023361377958,0.41842794886304796,0.9443200110364454,0.955195238365179,-5.54239566841197e-06,0.004834283043965104,0.0029012693876468987,-0.004381861475750204,-0.0011129439430666022,7.588013268539084e-05,-0.002722103761375272,0.004555984620225051,-0.00030186185451536174,-0.004750595574799565,0.00620119726215318,-0.0009107405783866374,-0.0036639908733252513,0.006470847499954302,0.0024414684958866673
n_cal1,0.3,0.328720914052118,0.25960776523867857,0.39711525346728727,0.6206159177151763,1.0134052571661827,-0.0006787702098033921,0.0038363129581904243,0.002861016318343401,0.007201596433486779,-0.005533472409056828,0.004601374929606328,-0.014634458302595077,-0.0036446271844436384,-0.00021554422740915902,0.002446990299338203,-0.0017264098687525542,-0.00702583401215412,0.006343900876858322,-0.0010134393925719798,0.006809384317282119
n_cal1,0.5,0.22182735122441566,0.11487233657464746,0.19189346857711276,1.1488591115545406,0.6566184908394957,0.0020913702960815295,0.0012477761858857295,0.0011832027693322034,0.0032752161156727744,0.011251128802813426,0.005198259884376166,0.0002549795038013225,0.0022007739084697886,0.0017624703350194726,0.004163741061981141,-0.0036732636306394673,0.02612151978167232,-0.002475903988287842,-0.015718870723958445,0.0029952021918572824
n_cal1,0.65,0.23806071651260116,0.1940099887838976,0.1421068183453348,0.7299147803749253,0.5623077948800617,-7.714956366916548e-05,-0.0004176580642308858,0.002753900720577171,0.0017344880109337601,-0.001683053442667795,-0.002814773780906235,0.002852179146730263,-0.0017314970632736487,-0.0015162148060225977,0.00047738049204373856,0.0008848660114620932,0.00030231922851997606,0.0005854734099219189,0.0041388710269193996,-0.0029128651466883426
n_cal1,0.85,0.16258696646067275,0.038265531593847935,0.03623448102374871,0.3023877802683228,0.30478790182258,0.00010335781616860329,-0.001041429388723203,0.0005110142780173355,-0.015208909954787297,-0.000551012781822402,-0.0020822127030429294,-0.00012650831888097458,0.0011911573003250686,-0.0003831320078899192,0.0005822804375648083,0.0011060014250391104,0.00020937851018132392,-0.00037233036806227915,-0.0008978329051003986,-0.00010721464442917106
n_cal10,0.0,0.07361473649236853,0.049920343381682344,0.29723304280865215,0.7407087785684451,0.652749026458729,-0.007280066093549839,-0.006474190604976802,0.001978849802840274,-0.0004717657457440551,-0.0030605723696456007,0.02508097064860387,-0.0034399357906890094,-0.006606427522532235,0.007701481872417684,0.028842811130529847,0.00010754745372124316,-0.005288248495942671,0.0020658484999878306,0.012542895963060947,-0.0059154904390971855
n_cal10,0.05,0.11309338366158722,0.13765983615094857,0.504548428506111,1.047252472193495,0.9809931912002177,-0.014668314552343369,-0.008635558801201138,-0.002833844208605511,0.0010331023913453833,-0.012207766335662139,-0.0005820716543284119,-0.003227426699432545,-0.0009730762030266884,-0.0030373767293512266,0.007061337272433844,-0.00303988900269624,-0.0063718219110538285,0.004989327599206137,-0.00699529831811258,-0.004508666594654865
