method,n_samples,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9
0.5*CPI,100,-0.005192034700498727,0.0,0.029888210580464453,0.0,0.0018721640020175623,0.0,-0.0011194834081552085,0.0,-0.007801764987106108,0.0,-0.015518571725732955,0.0,-0.0025214962489648884,0.0,-0.013500794135584693,0.0,0.7393053413618226,1.0,0.0013645194647351477,0.0
0.5*CPI,250,3.4129532823640174e-05,0.0,0.00020402297762033006,0.0,0.00035619737872705226,0.0,-0.0003452956026588766,0.0,-0.0005705502656328104,0.0,0.38071944599671814,1.0,-6.035249412979227e-05,0.0,0.00012110501901811677,0.0,-0.0010743827143267909,0.0,-0.00012485391095713727,0.0
PFI,100,0.008809227103845685,0.0,0.01078806756705819,0.0,-0.017383478929181906,0.0,-0.004283251346830719,0.0,-0.013248718570675888,0.0,-0.014447654297914947,0.0,0.08388327794634276,0.0,-0.00012264078627144404,0.0,0.7628331933697807,1.0,0.027487399184188965,0.0
PFI,250,-0.0008947079909534805,0.0,-0.0004388010583451507,0.0,-0.0005242215617795032,0.0,-0.0003220341379034375,0.0,-0.002604417588417063,0.0,0.9755316790317321,1.0,4.548205976795394e-05,0.0,0.0015197279820027276,0.0,-0.0043554838123850415,0.0,-4.105008205762539e-05,0.0
LOCO-W,100,-0.24955109546618584,0.0,-0.08153758211553463,0.0,0.0683781264439794,0.0,0.016689754240697057,0.0,0.05814867898890971,0.0,0.017798384984607573,0.0,0.003399223564371407,0.0,0.00842027638133807,0.0,0.021970697930105917,1.0,0.00781679403207538,0.0
LOCO-W,250,0.0872117872330595,0.0,0.05879394668479812,0.0,0.0051783338453638495,0.0,0.08653216809077104,0.0,0.015910830804795755,0.0,0.22615207729522696,1.0,-0.026307900410326844,0.0,-0.0053617292811536715,0.0,-0.03915075747261721,0.0,0.06484682371517117,0.0
LOCO-HD,100,-0.004826437137851469,0.0,-0.0019032235067527603,0.0,-0.004069829714990092,0.0,-0.00579102439577206,0.0,-0.002436203853376173,0.0,-0.00576574509605704,0.0,-0.031594800223270436,0.0,-0.004453138552772629,0.0,0.5137317258658394,1.0,-0.013223709225078761,0.0
LOCO-HD,250,-0.0003298530881197803,0.0,0.0007724957989309611,0.0,-0.0006358470817362516,0.0,0.001316333483531995,0.0,0.003025068268203951,0.0,0.4799300990597921,1.0,0.004280535884976011,0.0,0.0010012669089967674,0.0,-0.00242835902599442,0.0,0.0031753059027486985,0.0
Robust-CPI,100,-0.010759977618680958,0.0,0.028560986451010233,0.0,0.00803429598260399,0.0,-0.01108144756215216,0.0,-0.007003012662101161,0.0,-0.014409640991303426,0.0,-0.02564635676456466,0.0,-0.013790921226594395,0.0,0.8654382283079962,1.0,-0.01792436148604189,0.0
Robust-CPI,250,0.0001104242198639978,0.0,0.00010753281616304294,0.0,7.366780940598066e-05,0.0,-0.00023179955310129917,0.0,0.0001485404011111059,0.0,0.5007838246751626,1.0,7.428655949273639e-05,0.0,0.0012043660532954602,0.0,-0.00167251580440582,0.0,-0.0003346139639958343,0.0
0.5*CPI,100,-0.005192034700498727,0.0,0.029888210580464453,0.0,0.0018721640020175623,0.0,-0.0011194834081552085,0.0,-0.007801764987106108,0.0,-0.015518571725732955,0.0,-0.0025214962489648884,0.0,-0.013500794135584693,0.0,0.7393053413618226,1.0,0.0013645194647351477,0.0
0.5*CPI,250,3.4129532823640174e-05,0.0,0.00020402297762033006,0.0,0.00035619737872705226,0.0,-0.0003452956026588766,0.0,-0.0005705502656328104,0.0,0.38071944599671814,1.0,-6.035249412979227e-05,0.0,0.00012110501901811677,0.0,-0.0010743827143267909,0.0,-0.00012485391095713727,0.0
PFI,100,0.008809227103845685,0.0,0.01078806756705819,0.0,-0.017383478929181906,0.0,-0.004283251346830719,0.0,-0.013248718570675888,0.0,-0.014447654297914947,0.0,0.08388327794634276,0.0,-0.00012264078627144404,0.0,0.7628331933697807,1.0,0.027487399184188965,0.0
PFI,250,-0.0008947079909534805,0.0,-0.0004388010583451507,0.0,-0.0005242215617795032,0.0,-0.0003220341379034375,0.0,-0.002604417588417063,0.0,0.9755316790317321,1.0,4.548205976795394e-05,0.0,0.0015197279820027276,0.0,-0.0043554838123850415,0.0,-4.105008205762539e-05,0.0
LOCO-W,100,-0.0588706981626126,0.0,0.24476916893747117,0.0,0.06479657202770528,0.0,0.060298714081404796,0.0,-0.05712105091937888,0.0,0.015153374826751893,0.0,0.17395893783469227,0.0,-0.006026554408788366,0.0,0.37934700022482476,1.0,0.060074926473743656,0.0
LOCO-W,250,-0.03057147538624397,0.0,-0.026202115032778462,0.0,-0.07080603393968964,0.0,-0.02287176251813393,0.0,-0.011980694987371468,0.0,0.5222605115029616,1.0,0.057887660873697254,0.0,-0.0007358267049327041,0.0,-0.00664755974055233,0.0,0.027959653419467986,0.0
LOCO-HD,100,-0.004826437137851469,0.0,-0.0019032235067527603,0.0,-0.004069829714990092,0.0,-0.00579102439577206,0.0,-0.002436203853376173,0.0,-0.00576574509605704,0.0,-0.031594800223270436,0.0,-0.004453138552772629,0.0,0.5137317258658394,1.0,-0.013223709225078761,0.0
LOCO-HD,250,-0.0003298530881197803,0.0,0.0007724957989309611,0.0,-0.0006358470817362516,0.0,0.001316333483531995,0.0,0.003025068268203951,0.0,0.4799300990597921,1.0,0.004280535884976011,0.0,0.0010012669089967674,0.0,-0.00242835902599442,0.0,0.0031753059027486985,0.0
