method,intra_cor,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9
0.5*CPI,0.05,2.3130349681862517e-05,0.0,9.966938619673609e-06,0.0,0.3375840505025194,1.0,2.1210715730227386e-06,0.0,-2.8312442544792867e-07,0.0,-3.0961356689596944e-06,0.0,1.0127512642890235e-05,0.0,-7.826242186254723e-06,0.0,-7.2335663992931796e-06,0.0,-2.6497107187242535e-05,0.0
0.5*CPI,0.5,0.00011055116798296865,0.0,0.00016251000859831427,0.0,0.8273117571077305,1.0,-0.00012425975813494484,0.0,2.0477373411497226e-05,0.0,6.9645341530351e-06,0.0,-8.509829244273065e-05,0.0,0.00021546358631196257,0.0,-3.2344498288180805e-05,0.0,0.00012050041145900657,0.0
PFI,0.05,0.000898881475096331,0.0,0.00039118981140469355,0.0,0.7967920851541347,1.0,8.375470346183231e-05,0.0,-0.00031649417660168863,0.0,-0.00012275755252052697,0.0,0.00045234265786415345,0.0,-0.00031146500803225924,0.0,-0.0002877421529782695,0.0,-0.0010706948492002072,0.0
PFI,0.5,0.0013190187458180166,0.0,-0.00089576899742147,0.0,1.408473326083727,1.0,-0.00030046514086407017,0.0,0.0034556539512027307,0.0,-0.0003472631235842405,0.0,-0.0006440411123885964,0.0,0.0008482705635951271,0.0,-0.001627151552470743,0.0,0.004389959173785776,0.0
LOCO-W,0.05,6.058578872583178e-13,0.0,-2.8309843041502357e-10,0.0,0.3670714073553317,1.0,1.382031579873605e-12,0.0,-4.2340966874175446e-11,0.0,-5.235854372515236e-11,0.0,3.465158419930666e-14,0.0,-9.602847513044336e-12,0.0,5.2452691425618404e-11,0.0,-9.807008544980879e-11,0.0
LOCO-W,0.5,-3.177142965555192e-11,0.0,1.1928167808458475e-12,0.0,0.22934645582212043,1.0,1.9466181880380307e-12,0.0,1.9240197112387188e-07,0.0,2.532339579177588e-07,0.0,-4.98538462077265e-06,0.0,-0.0003301552700705797,0.0,0.0003292074636880384,0.0,3.3758292413367515e-11,0.0
LOCO-HD,0.05,3.6808643172455227e-05,0.0,-4.708892663582323e-05,0.0,0.4895120340038096,1.0,8.841163826520972e-05,0.0,-4.240199786782468e-05,0.0,-3.226675528568293e-05,0.0,-1.2729167805918093e-05,0.0,-0.00013576506035541949,0.0,1.1305680913001955e-05,0.0,-0.00011490831232849059,0.0
LOCO-HD,0.5,-1.4570084300528788e-05,0.0,-0.0006125781727147676,0.0,0.7359471532194624,1.0,-0.000583807593604345,0.0,-0.0004935462307012811,0.0,-0.000123453104259435,0.0,-0.00017765642705025995,0.0,-0.0001438660816012612,0.0,-0.00026682428834444894,0.0,-0.0007351087380582392,0.0
Robust-CPI,0.05,1.3024443500323017e-05,0.0,-6.079684065359912e-05,0.0,0.4544460297494907,1.0,1.0699828793137652e-05,0.0,-0.00026864108800244064,0.0,5.688441221466629e-06,0.0,5.942865965892584e-05,0.0,-5.6665948771309856e-05,0.0,-1.854768902606307e-05,0.0,-0.00010018837325244597,0.0
Robust-CPI,0.5,6.889493781798007e-05,0.0,-0.000371285304276855,0.0,0.7462280012736895,1.0,-0.00030478777530231025,0.0,-0.0002522940156473355,0.0,-6.6148371739376035e-06,0.0,-9.501487327283562e-05,0.0,7.929619420614832e-05,0.0,-7.913275771853531e-05,0.0,-2.326602165521614e-05,0.0
0.5*CPI,0.05,-7.481098459334156e-06,0.0,4.469179353015567e-06,0.0,0.886460317831773,1.0,5.904875095377011e-05,0.0,3.075732175234543e-05,0.0,-7.800773045196568e-06,0.0,-1.1121765525916479e-05,0.0,-4.669345100978507e-06,0.0,1.5355679712268828e-05,0.0,8.981853332126668e-06,0.0
