method,n_samples,imp_V0,imp_V1
0.5*CPI,30,4.6794887021636296,0.11188557252450708
0.5*CPI,50,2.6278982963371034,0.5761198731281314
0.5*CPI,100,3.0321277838217133,1.2592112857461275
0.5*CPI,250,2.037209868835385,0.7311042215081288
0.5*CPI,500,2.441422722477527,0.5825982546418773
0.5*CPI,1000,2.559349655727084,0.5711532387044546
0.5*CPI,2000,2.4114954011656455,0.6416806510827463
PFI,30,4.512954230923893,1.2774830623392666
PFI,50,2.725030367745732,1.1984732885565534
PFI,100,2.883716781279125,1.8475988704800552
PFI,250,2.3658625105002336,1.4106576392370105
PFI,500,2.8114065658512466,1.3803519254034409
PFI,1000,2.753739740725164,1.294187754453178
PFI,2000,2.7374874005583063,1.4127009590776183
LOCO-W,30,1.7997397746465944,0.05617043964222645
LOCO-W,50,1.8344642280894181,0.26419984554016124
LOCO-W,100,1.0042100006944739,0.5120937469778205
LOCO-W,250,1.5817642398699423,0.3847437687120086
LOCO-W,500,1.951141961057136,0.4623029831911478
LOCO-W,1000,2.0879231883132863,0.47484216009870744
LOCO-W,2000,2.2509056874771733,0.5291832004894942
LOCO-HD,30,1.9355446003401289,0.8101206150006208
LOCO-HD,50,1.4781444125091923,0.7302085271320133
LOCO-HD,100,1.6697791166167293,0.94479854643165
LOCO-HD,250,1.5420511221208535,0.7999635226412586
LOCO-HD,500,1.5439728544072127,0.778406647875945
LOCO-HD,1000,1.5458934709459915,0.7560964935154929
LOCO-HD,2000,1.5782856824888356,0.7822992094943814
Robust-CPI,30,3.7725988899552414,0.4798363108373554
Robust-CPI,50,2.162410600816198,0.5230448953181422
Robust-CPI,100,2.8931427892593073,0.9135178483444648
Robust-CPI,250,2.401614727923562,0.605735777434323
Robust-CPI,500,2.3931450657184867,0.6044857099360256
Robust-CPI,1000,2.4175955099566506,0.5760076377234977
Robust-CPI,2000,2.5025510953272767,0.6089436436469715
0.5*CPI,30,1.911782866910511,0.6470684840568278
0.5*CPI,50,4.30031059860268,1.0584077355323829
0.5*CPI,100,3.16125491968476,0.5412519109536059
0.5*CPI,250,2.1583579575859626,0.5390633644206346
0.5*CPI,500,2.5076502187435117,0.8330112327559972
