method,d,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9
LOCO-HD,10,0.09286351237770507,0.03268147017206813,0.021889945949873812,0.21817662707356344,-0.3012853218789131,-0.0935901169219262,0.06492952005417063,0.04537655957897613,-0.0004950850189022749,0.026250900655194753
LOCO-HD,20,-0.2318292715474426,0.7226013473481054,0.14054770403496253,-0.010370219111913936,-0.004381443885268066,-1.5315222763098886,0.12070402735637309,-0.033608783797444364,0.1266640258150642,-0.013979444762209692
Robust-CPI,10,0.10133851389204442,-0.13948989416542357,-0.008597308459186423,-0.13480179644871798,-0.6877611246149401,-0.013769463718125725,0.06698178114011426,-0.020129449222888562,-0.0042392171348428305,0.03140068626558255
Robust-CPI,20,-0.09369201041499153,0.6558810398287642,-0.015012283186651083,0.024222869710566745,0.7643982795056965,-0.4880620362698351,2.63815372188156e-15,-0.13581799227621005,0.02134039282492171,-0.014841242464165448
0.5*CPI,10,-0.1930218539309143,0.03428090013478324,-0.024736491320270337,0.5189710253745283,0.2990122174812184,-0.0015282843846644578,-0.10353755953548904,-0.0029979902620762555,0.031303812137790876,-0.028113471790137456
0.5*CPI,20,-0.021106952313945992,0.056513676435846705,0.0,0.08921315249974882,0.03369495305625847,0.0,0.0,0.0,0.0,0.0
PFI,10,-0.0733612416773457,0.015613034568783712,-0.005872751602161719,0.16159156746713355,0.14194011592670752,0.01838868004584504,-0.08175823693486017,0.005026065054660966,0.031883063265420564,-0.019932646211803018
PFI,20,-0.010912143328258406,0.031131980891947908,0.0,0.40763195174875744,0.0591455192120538,0.0,0.0,0.0,0.0,0.0
LOCO-W,10,-0.7103634611015225,0.5743208823883359,0.8645853997972606,0.6744306013698793,0.26510510887442973,0.6093007328895187,0.7041689689026633,0.08890605436677516,-0.04520674382977033,0.27897725630606574
LOCO-W,20,-0.5835996254217773,-0.10748568814159401,0.10720325779094729,-0.15135657099185706,1.38874408893875,0.446789904863338,0.7206139237017514,-0.4622517792570642,0.11834709715891069,-1.443182837567709
LOCO-HD,10,-0.42052678123482234,0.1524011990220293,0.16565988835157608,0.5890609260893918,0.30169101904452233,-0.037406854560474656,-0.18991846612096674,-0.015391740529016928,0.0511560324994762,-0.06054158177867475
LOCO-HD,20,-0.11953934053066906,0.009650555364439484,-3.980203081432876e-05,1.182274835925221,0.06188909236889817,-3.980203081432876e-05,-3.980203081432876e-05,-3.980203081432876e-05,-3.980203081432876e-05,-3.980203081432876e-05
Robust-CPI,10,-0.31740440588905355,0.03808699671640863,-0.03221278279677943,0.2845657387136926,0.2579789627473169,-0.013410608508551197,-0.13077702522789422,-0.007570874012105241,0.039621864456158826,-0.03998824603262215
Robust-CPI,20,-0.08680713880010141,0.045677815840779276,-1.75876914792104e-15,0.8367153082427388,0.08164385607068377,-1.75876914792104e-15,-1.75876914792104e-15,-1.75876914792104e-15,-1.75876914792104e-15,-1.75876914792104e-15
