method,d,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9
0.5*CPI,10,-0.06681939725185915,0.08626363523649228,-0.010202032265412386,0.1846814036645843,-0.17180301446568902,0.2748529980674186,0.0166766776697731,-0.032554719323925285,-0.015490409471633049,0.030829621686609077
0.5*CPI,20,-0.018194190619195694,-0.0327377424710531,0.033232390796627875,-0.06145963913215402,0.02663509827509003,-0.01970935775408822,-0.0008912681813074697,0.007258472913825642,-0.011636335631573735,-0.0029909160248625666
PFI,10,0.00847872131146632,-0.008954258275887472,-0.0013557093017846356,0.09863472478843538,-0.12055367087942015,-0.020873879379029292,-0.012077892508988608,-0.04803187039974066,-0.023269402450638577,0.019414769418824473
PFI,20,0.032816806674695664,-0.08389789671335413,0.024801524424661547,0.2858522027596395,0.0715601771679173,0.01428074205619323,-0.00021924468304512779,0.0063357469682365775,0.004402335220015763,-0.0029212421918476394
LOCO-W,10,-0.18886086480174796,0.3831846652083059,-0.31858242011134685,-0.16583289875246757,-0.18358663703755868,-1.169123303001825,-0.9888232166496767,-0.6680247546489035,0.961213280415881,0.7738252237369508
LOCO-W,20,-0.5504831312482497,-0.14681758182905483,0.1118847724169713,0.5167962943514431,0.9196559486533836,-0.575826328308851,-0.117999731033582,-0.03541783884273439,-0.5468776913272644,-0.5338444110781204
LOCO-HD,10,0.20905478621206042,0.5036218634671554,0.09189463966258904,0.4116729683453899,-0.43185750664407774,0.4794096237791665,-0.010806278110246481,0.29266515980966856,0.2752585546349855,0.01762601530422181
LOCO-HD,20,0.0653645675175738,-0.11500230403545686,-0.005071625077842201,-0.32683226992799885,0.5087708595449314,0.049131650163368734,-0.03583311315530224,-0.02100893349119648,-0.061576441591608466,-0.021124186119975574
Robust-CPI,10,-0.03223447107647614,0.04396926029195875,-0.0510909386727408,0.40887686575917037,-1.5675187969578879,-0.28071857414412177,-0.006804445991929165,-0.03191361847674278,-0.034863335812731246,-0.18521293793253743
Robust-CPI,20,-0.11432626825924895,-0.1921856028317223,0.028662400683191997,-0.2560587826525318,0.10573150151623734,-0.01370600929434496,-0.0019665372959326083,0.006459998345025155,-0.022677704670203917,-0.00916298019948326
0.5*CPI,10,0.0877234022789104,-0.04822858068885838,-0.0075242932783538,0.2212437395423239,-0.16685567724439732,0.001595038047925934,0.06303600045327384,-0.03557558938083094,-0.011337858833872727,0.013203388878835653
0.5*CPI,20,-0.0546270070416659,0.44373993684714175,-0.00043510814558689326,0.04498967426798384,0.9181121416827895,-0.2621525629404644,0.0,-0.08042041798827548,0.04115351735110884,-0.017501554856235835
PFI,10,0.11438228458799582,0.016227308391589146,-0.006985457830317898,0.10028476324112523,0.16726117361512194,-0.009501877299238348,0.048265085216247616,-0.015041729943482851,0.01712816155510688,0.0180192713597791
PFI,20,-0.03358395888455146,0.2622939147358945,0.031186654199488073,0.050535898976457716,0.33363790305031404,0.21374847604799152,0.0,-0.03312828888999175,0.04804614542482977,-0.019279992212755115
LOCO-W,10,-0.39583827778712033,0.08854124424619811,-0.00031434063432852105,0.4566570878287706,0.49352192141847717,-0.08532767619794783,0.1953563744915258,-0.16054485601323976,-0.640130863461713,0.45528456513440013
LOCO-W,20,-0.05697783086449524,-0.005640964124455522,0.043236744735580215,-0.6551761444243657,0.1484631965022237,-0.5696680270952366,-0.7033577668250928,0.09802598016440842,0.07253253355886154,0.6366565200837091
