method,intra_cor,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9
0.5*CPI,0.05,-0.0006798622899940598,0.0,-0.001430763571728902,0.0,-0.00017105225145720715,0.0,0.0005375830345090704,0.0,9.09876745294469e-05,0.0,0.0008474506753828465,0.0,0.0009602104231213604,0.0,0.002291431511661182,0.0,0.6006183662767376,1.0,0.002178310381438772,0.0
0.5*CPI,0.5,-0.013275861250783394,0.0,0.03431309658385434,0.0,-0.007559040535667028,0.0,-0.010461374641969834,0.0,0.002620835134846705,0.0,0.006436784652497113,0.0,-0.023127046230162734,0.0,0.0027857243088413863,0.0,0.7925793450696421,1.0,0.007320648485843295,0.0
PFI,0.05,-0.0014454275432047026,0.0,-0.0030470761470464125,0.0,-0.0003632493521908975,0.0,0.0010312728984342434,0.0,0.00019310883204232132,0.0,0.0015349005123648785,0.0,0.0009023445575400135,0.0,0.0048393875902981165,0.0,0.7581232415015833,1.0,0.012795151644219904,0.0
PFI,0.5,-0.03385777872968132,0.0,0.005894347397869537,0.0,-3.850706711816532e-05,0.0,-0.0249044055819293,0.0,-0.001953551083808458,0.0,0.014849431116066403,0.0,-0.010299431073569676,0.0,0.015898285396841683,0.0,0.7575196381498642,1.0,0.04413315451671185,0.0
LOCO-W,0.05,-0.032802997276892724,0.0,-0.005893547740259555,0.0,-0.12865017884676486,0.0,0.04841423903434236,0.0,0.032155184824579686,0.0,-0.04474093544554998,0.0,0.012508747414432286,0.0,-0.050605808594850206,0.0,0.4189121092960447,1.0,-0.019659960485120042,0.0
LOCO-W,0.5,-0.030569276250882467,0.0,-0.05341837019211918,0.0,-0.15245509636416568,0.0,-0.029443751393387254,0.0,-0.26966109894848295,0.0,0.212584653919092,0.0,0.007101340434081746,0.0,0.08068358398776067,0.0,0.11258977431941002,1.0,-0.0762090003644779,0.0
LOCO-HD,0.05,0.004167646655831053,0.0,-0.0044115380194512666,0.0,0.0038664126221246153,0.0,-0.0029209733763371493,0.0,-0.006348032008859639,0.0,0.0025712234913689014,0.0,0.004087006670961096,0.0,0.0039802184948407315,0.0,0.7479060940094053,1.0,-0.002771051142190062,0.0
LOCO-HD,0.5,0.012446347577410144,0.0,0.03745451262760374,0.0,-0.006766174177885553,0.0,-0.01004255166308693,0.0,0.019821523115004958,0.0,0.009707129047577534,0.0,-0.024830145386699864,0.0,-0.006620708210969495,0.0,0.7432444088619502,1.0,0.02207571751581089,0.0
Robust-CPI,0.05,-0.0012791440262144842,0.0,-0.0024466243514902355,0.0,-0.0011877832453244747,0.0,0.0010625700485013584,0.0,-0.0009152660711951491,0.0,-0.0018028967128250661,0.0,-0.0006067137432499789,0.0,0.0010378857406403133,0.0,0.5628778173798407,1.0,-0.0021933041044151684,0.0
Robust-CPI,0.5,-0.012926727830711884,0.0,0.04033820910806134,0.0,-0.01532378728796192,0.0,-0.007449631068135284,0.0,0.0028113158846489444,0.0,-0.00024279639548797298,0.0,-0.03203089020732226,0.0,-0.006106112164037631,0.0,0.871073156051159,1.0,0.015986483600745543,0.0
0.5*CPI,0.05,-0.0006798622899940598,0.0,-0.001430763571728902,0.0,-0.00017105225145720715,0.0,0.0005375830345090704,0.0,9.09876745294469e-05,0.0,0.0008474506753828465,0.0,0.0009602104231213604,0.0,0.002291431511661182,0.0,0.6006183662767376,1.0,0.002178310381438772,0.0
