method,snr,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49
LOCO-W,0.1,0.24211083163332278,0.0,0.9864475760415746,0.0,-0.5961014101662105,0.0,0.17313709431377386,1.0,0.4850996775097106,0.0,-0.2297170063254653,0.0,0.028262503015000464,0.0,-0.15434460156070856,0.0,0.23814149866106948,0.0,-0.053915451368659446,0.0,0.10331662077713387,0.0,-0.08606175796726254,0.0,0.13018473945082484,1.0,3.4452962257089914,0.0,0.28092148886556834,1.0,-0.11448805342928553,0.0,-0.11203829661599773,0.0,-1.367210011766055,0.0,1.0528898119350074,1.0,-0.06788414442900588,0.0,3.6206097930471968,0.0,0.29288921415929986,0.0,0.7093117001527404,0.0,-0.009490679033422687,0.0,-3.16017289370629,0.0,0.10521825547106273,0.0,0.2907741875456822,0.0,0.09957669472056875,0.0,0.20946196932734198,0.0,0.002645796752442182,0.0,-1.9623434558735438,0.0,0.027273181089110976,0.0,-0.055393020550026525,0.0,-0.6351664030353044,0.0,-0.2732468156479677,0.0,-0.37287403258707397,0.0,0.9099485475776424,0.0,0.28579070482097446,1.0,0.2382711947511141,0.0,1.0024668463853434,0.0,-0.20326382362621512,0.0,-0.21027251517392723,0.0,-0.46209900299464834,0.0,0.18240223629962274,0.0,-0.4279460426364633,0.0,-0.07561329681315343,0.0,-0.24382650246766116,0.0,-0.16416299421817115,0.0,0.16018501962433085,0.0,0.41188864651491736,0.0
LOCO-W,0.5,-0.4926817998331544,0.0,0.3937559476165854,0.0,-0.2905362740799873,0.0,-1.0862259029985672,1.0,-2.119273011905404,0.0,0.556388366279755,0.0,0.158385184198937,0.0,-1.4865633375766811,0.0,0.7051275006769185,0.0,2.602013474342811,0.0,0.5443205044453665,0.0,0.3575868433299562,0.0,0.004348356516160842,1.0,-0.270692775374138,0.0,0.7025362204922254,1.0,-0.751563713941298,0.0,0.8676201418601175,0.0,-0.1758728190334167,0.0,-1.0895595623306342,1.0,0.5191637435746185,0.0,0.5584269474820538,0.0,-0.3076097512232613,0.0,0.10969405143282134,0.0,-0.3943639111145077,0.0,-1.9156512102751322,0.0,-0.016128630947361878,0.0,0.47172162469096035,0.0,0.3501168636015757,0.0,-0.08808763069102231,0.0,0.8891114603584779,0.0,-0.09991359550792898,0.0,-1.2699240848894522,0.0,0.7672574092757515,0.0,-1.44733483409612,0.0,0.09559830263278009,0.0,-0.034182377660385725,0.0,-1.24523240910175,0.0,-0.46354093065921054,1.0,-1.0991729461352837,0.0,-0.5020084033305583,0.0,-0.16723706583616846,0.0,-0.39525292222630926,0.0,-2.3804551655318416,0.0,0.8873277854156372,0.0,1.9462715259604073,0.0,0.16250435923629028,0.0,0.4578489846027763,0.0,0.6080942013893793,0.0,1.8517323391806393,0.0,0.24046656537377833,0.0
LOCO-W,1.0,0.1615978225754455,0.0,-0.2947604243284242,0.0,0.37720819997605315,0.0,0.09645690578730294,1.0,0.7495319093120065,0.0,-0.15170435503356158,0.0,0.45476325652078115,0.0,-1.6152668404464614,0.0,0.25426866579828394,0.0,-0.28716353238029324,0.0,0.6157871755029155,0.0,0.5065569106689837,0.0,0.568112807362957,1.0,0.597761197900378,0.0,-0.37316641363556446,1.0,-0.6922879179462929,0.0,-0.5766621897618209,0.0,0.17380687546214021,0.0,0.21619235974321,1.0,-0.49840813254012806,0.0,0.17204342179994409,0.0,0.0053518212172398,0.0,-0.10484033727513506,0.0,-0.3254092689727138,0.0,0.47828757085334245,0.0,-0.11376223670771399,0.0,-0.6376639815114835,0.0,0.09583767170429962,0.0,-0.6365354450990118,0.0,0.15486064395913068,0.0,-0.6346034215775049,0.0,1.1581485636685063,0.0,-0.723643428617741,0.0,0.1259282385454975,0.0,-0.7579004397098964,0.0,-0.5540979975989643,0.0,-1.2419871755444636,0.0,2.5236650359153563,1.0,0.29170313380717744,0.0,0.5190282784416913,0.0,-0.6820685129047059,0.0,-0.12954770089473325,0.0,0.06040814405536248,0.0,0.29661902171242893,0.0,-0.10330628159761518,0.0,-0.08410650626009826,0.0,-0.4982879486130004,0.0,0.44062525386865925,0.0,0.5518184271754375,0.0,-0.6255743167195861,0.0
LOCO-W,2.0,-0.33738640909909684,0.0,-0.03721815638516614,0.0,-0.8297105377463441,0.0,0.16097165757042872,1.0,-0.7651659282396386,0.0,0.4208868326505476,0.0,0.3425662269146358,0.0,-0.5932788503355672,0.0,0.2979439179178417,0.0,1.578765446601273,0.0,-0.8182353260338845,0.0,0.3032578631862692,0.0,-0.8763576414553378,1.0,-1.4182219876055824,0.0,-0.016965582946629466,1.0,0.08030897031615854,0.0,-0.38277814662078147,0.0,0.4919095156730498,0.0,0.13303703269785622,1.0,0.7551480869801588,0.0,-0.7902906122414768,0.0,-0.8751177940288577,0.0,-1.8789318923881413,0.0,-0.7051067497280781,0.0,-1.3142493270351512,0.0,0.12313892654540468,0.0,-0.6959264734570415,0.0,-0.1929440568377027,0.0,-0.5224935986591432,0.0,0.38055446256451164,0.0,0.42615063700426475,0.0,0.02596131346247856,0.0,0.7684145595900723,0.0,-0.3091116590574371,0.0,0.28470792258638145,0.0,0.24014751787275945,0.0,-0.04715910473583653,0.0,-0.3357333556497836,1.0,-0.05678957190123248,0.0,-4.383339623287079,0.0,2.6658719390729355,0.0,-1.064892071036697,0.0,-0.7174901601003868,0.0,0.7857080335845673,0.0,0.33398637746360715,0.0,2.525476029745184,0.0,0.03045483814646411,0.0,0.21723389041519328,0.0,0.4755211463079836,0.0,-1.8235367990896572,0.0
LOCO-W,10.0,0.3558218449138286,0.0,0.17684000435428457,0.0,0.768538685737296,0.0,-0.9362557019533648,1.0,-1.0379224932949578,0.0,0.6715362568630742,0.0,0.31883649481772885,0.0,0.24322087113714144,0.0,0.2838891135573154,0.0,0.2003136474009853,0.0,-0.21092056168419748,0.0,-0.31911545234734634,0.0,-0.019261267701653897,1.0,1.136194078778055,0.0,1.3360849012652574,1.0,0.20509476612473326,0.0,0.08308769946573047,0.0,-0.0586068261006673,0.0,0.6722333126340815,1.0,0.12528780690170446,0.0,0.9118424134438335,0.0,0.45740337551956195,0.0,-0.061703627259818136,0.0,2.3233455152729254,0.0,0.4839472909082785,0.0,-0.5848435988703631,0.0,-0.8415025052065037,0.0,0.019038253499166494,0.0,0.5491006656338613,0.0,-0.02154675075812494,0.0,1.807948264285185,0.0,0.2555210287691774,0.0,-0.04260480805371219,0.0,-0.25399655064668203,0.0,-0.9170407690571878,0.0,-0.4611178681864815,0.0,-0.5436914141298338,0.0,2.7090337554812107,1.0,-0.4645567947928422,0.0,0.36263441732583335,0.0,0.49414110051398913,0.0,-1.518169483030522,0.0,0.29243657109414517,0.0,0.038490421212320707,0.0,-2.3409962017891917,0.0,-0.5492599034791084,0.0,-0.00962859402929076,0.0,-1.5057432565606506,0.0,0.49231121986408694,0.0,0.4426233671191425,0.0
LOCO-HD,0.1,-5.2096794006306624e-05,0.0,2.4540406435846762e-06,0.0,-0.09874707702379615,0.0,0.5497152295599133,1.0,-0.07986618930367761,0.0,-0.014862616265843176,0.0,1.111870620462696e-06,0.0,8.36891364208725e-07,0.0,-1.7861533243568317e-05,0.0,-1.6015347988229678e-05,0.0,-0.004754291083655993,0.0,-4.4167711550802125e-05,0.0,0.26598492608161406,1.0,-0.40412489867245105,0.0,0.5601911620490143,1.0,1.2083070264345963e-06,0.0,0.0,0.0,-2.3240305075056256e-05,0.0,0.9100604549998277,1.0,-3.007584694625365e-06,0.0,-0.03133213473913754,0.0,-0.008436825002818171,0.0,0.0,0.0,0.008535638932088752,0.0,5.409102973530366e-06,0.0,1.327851755261733e-05,0.0,-0.20967294479147247,0.0,-8.881784197001252e-16,0.0,-8.881784197001252e-16,0.0,-4.011882591070659e-05,0.0,-0.11763818249933689,0.0,0.1108430047121769,0.0,0.0,0.0,1.5270919591081622e-06,0.0,0.007283887374941234,0.0,-1.0266338970499334e-05,0.0,-4.965099665987793e-05,0.0,0.9656586511055649,1.0,-0.060576923955458106,0.0,4.228519644655648e-06,0.0,0.019198755953444113,0.0,0.0,0.0,-0.004415724971587931,0.0,0.0,0.0,-2.2064334544769082e-05,0.0,0.003552940988159392,0.0,0.0008062025784059124,0.0,-0.036997100032998276,0.0,0.006616128944437527,0.0,0.0,0.0
LOCO-HD,0.5,-5.2096794006306624e-05,0.0,2.4540406435846762e-06,0.0,-0.09874707702379615,0.0,0.5497152295599133,1.0,-0.07986618930367761,0.0,-0.014862616265843176,0.0,1.111870620462696e-06,0.0,8.36891364208725e-07,0.0,-1.7861533243568317e-05,0.0,-1.6015347988229678e-05,0.0,-0.004754291083655993,0.0,-4.4167711550802125e-05,0.0,0.26598492608161406,1.0,-0.40412489867245105,0.0,0.5601911620490143,1.0,1.2083070264345963e-06,0.0,0.0,0.0,-2.3240305075056256e-05,0.0,0.9100604549998277,1.0,-3.007584694625365e-06,0.0,-0.03133213473913754,0.0,-0.008436825002818171,0.0,0.0,0.0,0.008535638932088752,0.0,5.409102973530366e-06,0.0,1.327851755261733e-05,0.0,-0.20967294479147247,0.0,-8.881784197001252e-16,0.0,-8.881784197001252e-16,0.0,-4.011882591070659e-05,0.0,-0.11763818249933689,0.0,0.1108430047121769,0.0,0.0,0.0,1.5270919591081622e-06,0.0,0.007283887374941234,0.0,-1.0266338970499334e-05,0.0,-4.965099665987793e-05,0.0,0.9656586511055649,1.0,-0.060576923955458106,0.0,4.228519644655648e-06,0.0,0.019198755953444113,0.0,0.0,0.0,-0.004415724971587931,0.0,0.0,0.0,-2.2064334544769082e-05,0.0,0.003552940988159392,0.0,0.0008062025784059124,0.0,-0.036997100032998276,0.0,0.006616128944437527,0.0,0.0,0.0
LOCO-HD,1.0,-5.2096794006306624e-05,0.0,2.4540406435846762e-06,0.0,-0.09874707702379615,0.0,0.5497152295599133,1.0,-0.07986618930367761,0.0,-0.014862616265843176,0.0,1.111870620462696e-06,0.0,8.36891364208725e-07,0.0,-1.7861533243568317e-05,0.0,-1.6015347988229678e-05,0.0,-0.004754291083655993,0.0,-4.4167711550802125e-05,0.0,0.26598492608161406,1.0,-0.40412489867245105,0.0,0.5601911620490143,1.0,1.2083070264345963e-06,0.0,0.0,0.0,-2.3240305075056256e-05,0.0,0.9100604549998277,1.0,-3.007584694625365e-06,0.0,-0.03133213473913754,0.0,-0.008436825002818171,0.0,0.0,0.0,0.008535638932088752,0.0,5.409102973530366e-06,0.0,1.327851755261733e-05,0.0,-0.20967294479147247,0.0,-8.881784197001252e-16,0.0,-8.881784197001252e-16,0.0,-4.011882591070659e-05,0.0,-0.11763818249933689,0.0,0.1108430047121769,0.0,0.0,0.0,1.5270919591081622e-06,0.0,0.007283887374941234,0.0,-1.0266338970499334e-05,0.0,-4.965099665987793e-05,0.0,0.9656586511055649,1.0,-0.060576923955458106,0.0,4.228519644655648e-06,0.0,0.019198755953444113,0.0,0.0,0.0,-0.004415724971587931,0.0,0.0,0.0,-2.2064334544769082e-05,0.0,0.003552940988159392,0.0,0.0008062025784059124,0.0,-0.036997100032998276,0.0,0.006616128944437527,0.0,0.0,0.0
LOCO-HD,2.0,-5.2096794006306624e-05,0.0,2.4540406435846762e-06,0.0,-0.09874707702379615,0.0,0.5497152295599133,1.0,-0.07986618930367761,0.0,-0.014862616265843176,0.0,1.111870620462696e-06,0.0,8.36891364208725e-07,0.0,-1.7861533243568317e-05,0.0,-1.6015347988229678e-05,0.0,-0.004754291083655993,0.0,-4.4167711550802125e-05,0.0,0.26598492608161406,1.0,-0.40412489867245105,0.0,0.5601911620490143,1.0,1.2083070264345963e-06,0.0,0.0,0.0,-2.3240305075056256e-05,0.0,0.9100604549998277,1.0,-3.007584694625365e-06,0.0,-0.03133213473913754,0.0,-0.008436825002818171,0.0,0.0,0.0,0.008535638932088752,0.0,5.409102973530366e-06,0.0,1.327851755261733e-05,0.0,-0.20967294479147247,0.0,-8.881784197001252e-16,0.0,-8.881784197001252e-16,0.0,-4.011882591070659e-05,0.0,-0.11763818249933689,0.0,0.1108430047121769,0.0,0.0,0.0,1.5270919591081622e-06,0.0,0.007283887374941234,0.0,-1.0266338970499334e-05,0.0,-4.965099665987793e-05,0.0,0.9656586511055649,1.0,-0.060576923955458106,0.0,4.228519644655648e-06,0.0,0.019198755953444113,0.0,0.0,0.0,-0.004415724971587931,0.0,0.0,0.0,-2.2064334544769082e-05,0.0,0.003552940988159392,0.0,0.0008062025784059124,0.0,-0.036997100032998276,0.0,0.006616128944437527,0.0,0.0,0.0
LOCO-HD,10.0,-5.2096794006306624e-05,0.0,2.4540406435846762e-06,0.0,-0.09874707702379615,0.0,0.5497152295599133,1.0,-0.07986618930367761,0.0,-0.014862616265843176,0.0,1.111870620462696e-06,0.0,8.36891364208725e-07,0.0,-1.7861533243568317e-05,0.0,-1.6015347988229678e-05,0.0,-0.004754291083655993,0.0,-4.4167711550802125e-05,0.0,0.26598492608161406,1.0,-0.40412489867245105,0.0,0.5601911620490143,1.0,1.2083070264345963e-06,0.0,0.0,0.0,-2.3240305075056256e-05,0.0,0.9100604549998277,1.0,-3.007584694625365e-06,0.0,-0.03133213473913754,0.0,-0.008436825002818171,0.0,0.0,0.0,0.008535638932088752,0.0,5.409102973530366e-06,0.0,1.327851755261733e-05,0.0,-0.20967294479147247,0.0,-8.881784197001252e-16,0.0,-8.881784197001252e-16,0.0,-4.011882591070659e-05,0.0,-0.11763818249933689,0.0,0.1108430047121769,0.0,0.0,0.0,1.5270919591081622e-06,0.0,0.007283887374941234,0.0,-1.0266338970499334e-05,0.0,-4.965099665987793e-05,0.0,0.9656586511055649,1.0,-0.060576923955458106,0.0,4.228519644655648e-06,0.0,0.019198755953444113,0.0,0.0,0.0,-0.004415724971587931,0.0,0.0,0.0,-2.2064334544769082e-05,0.0,0.003552940988159392,0.0,0.0008062025784059124,0.0,-0.036997100032998276,0.0,0.006616128944437527,0.0,0.0,0.0
