method,intra_cor,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49,tr_time
0.5*CPI,0.0,-0.01889661407786991,1.0,0.011101911752876559,1.0,0.0009532019060327634,1.0,0.0032253532389372452,1.0,0.017199185754854573,1.0,0.0014669935149704827,0.0,-0.0002772162815261048,0.0,0.0001862894969046902,0.0,-0.005557236858887427,0.0,0.00041142019818463105,0.0,0.0,0.0,0.0,0.0,0.00038541265662561663,0.0,0.0016334761386909147,0.0,-3.6547671658393455e-05,0.0,-0.00037329088802784405,0.0,0.0,0.0,0.0,0.0,-1.646297618429493e-05,0.0,0.0003849963205024842,0.0,0.007413452539061449,0.0,0.008964865127760735,0.0,-0.00015065069427833144,0.0,-0.0015603522230154265,0.0,8.23605366153668e-05,0.0,0.0003553774346130023,0.0,7.658806862509415e-05,0.0,-0.0008610282087859744,0.0,-0.000983549424737884,0.0,-0.00012159710112569222,0.0,0.006123356369183153,0.0,-0.0004676114581634305,0.0,-5.022899458051455e-05,0.0,0.0006753026955841346,0.0,-0.0009131937988335892,0.0,-5.646942551562617e-05,0.0,-2.0184528285449588e-05,0.0,0.0003413994105998519,0.0,0.002155407061754433,0.0,-0.00036358787895718336,0.0,-0.0001696707193648006,0.0,0.00018661065583391867,0.0,-1.1679493886918024e-05,0.0,0.004958962001931688,0.0,-0.004239051204621758,0.0,0.0022022415705018616,0.0,-0.0017620242789448959,0.0,0.002812029156973095,0.0,-0.004362580179389841,0.0,-0.000352997715728387,0.0,24.400347232818604
0.5*CPI,0.15,-0.0010703654895343195,1.0,0.02464731238106288,1.0,0.02623931278008107,1.0,0.3002557217868005,1.0,0.35666561556333387,1.0,0.0025103323790973686,0.0,2.7848442436084753e-05,0.0,0.0,0.0,8.351685210072901e-05,0.0,-0.00020442691963995507,0.0,8.326311125905761e-05,0.0,4.4956899602821565e-05,0.0,-8.204914398013408e-05,0.0,0.0001285339680825448,0.0,0.00011908950749872638,0.0,0.0,0.0,-0.00010477958568433365,0.0,-0.0026391994547303455,0.0,0.00011670949323083768,0.0,-0.0013751030812241272,0.0,-4.755374278886393e-05,0.0,0.0,0.0,-0.0006243732452893003,0.0,0.0,0.0,0.0,0.0,5.694406786904693e-05,0.0,0.0,0.0,-3.64667729979562e-05,0.0,8.490334910304931e-05,0.0,0.0,0.0,0.00031371228611387636,0.0,-0.0007734462394444197,0.0,-0.007241689594237322,0.0,-3.1476456010315346e-05,0.0,-6.270701018307179e-05,0.0,9.940898487093008e-05,0.0,0.001170075596972353,0.0,-0.0004019152014358429,0.0,8.521658798454901e-05,0.0,0.0,0.0,0.00011943974448458405,0.0,0.0,0.0,-0.00036072976048728833,0.0,-0.002724028552044011,0.0,-0.0019233780095506692,0.0,-0.00019454271055829864,0.0,0.0,0.0,7.170947009282891e-05,0.0,-0.002816374982632208,0.0,9.291742817141291e-05,0.0,20.195809364318848
0.5*CPI,0.3,0.10087853930841806,1.0,0.02301319533790036,1.0,0.138591426974071,1.0,0.4170115747731009,1.0,0.40324110954570147,1.0,-0.002420541224886663,0.0,0.013632497161177648,0.0,0.0017808155048950614,0.0,0.0025630624113084366,0.0,0.0039020197170591686,0.0,-0.0009766255515155642,0.0,0.0030497982113544264,0.0,0.0046091278851999595,0.0,-0.0003122421993003721,0.0,-0.0017383570056793696,0.0,0.0019221213975583185,0.0,-0.001221763056615477,0.0,0.0002403711897903671,0.0,0.0027363805601527957,0.0,-0.001701936741164145,0.0,0.00881099413264852,0.0,0.0030747500257231053,0.0,0.0006847532778867516,0.0,-0.001010593486494904,0.0,0.012411036717541957,0.0,0.0013765390503897024,0.0,0.0014641631704194191,0.0,0.0003663483454702243,0.0,0.0004446378819331631,0.0,0.0016444486778306455,0.0,-0.00023098793662013062,0.0,-0.013634471851466934,0.0,0.004180678010039629,0.0,0.0027429771463413077,0.0,-0.005900580356700047,0.0,-0.00036537532981395504,0.0,-0.0024793842800966415,0.0,-0.0006607120864218219,0.0,-0.0027480739570346913,0.0,0.002746181422678906,0.0,0.006704153706590832,0.0,0.0037356373128460962,0.0,0.00015702178671050948,0.0,-0.0015704921569311692,0.0,-0.0007599591259157545,0.0,-0.0007310560473868799,0.0,-0.0038053771138933934,0.0,-0.0016058731861972042,0.0,-0.0013830850240822423,0.0,0.0023301627260469138,0.0,21.288708209991455
0.5*CPI,0.5,0.19941286469835695,1.0,0.11437708497768062,1.0,0.12175058233672453,1.0,0.5064085299019814,1.0,0.9338409448007032,1.0,-0.00014654681880066356,0.0,0.011761040621450225,0.0,-0.0004259839012917821,0.0,-0.0007171837691656302,0.0,0.002384867303877991,0.0,-4.464380341062668e-05,0.0,0.001706331586487475,0.0,-0.000423131208196148,0.0,-0.0015988733594951565,0.0,0.004398584628670821,0.0,0.001243920698612233,0.0,0.001553813610574717,0.0,-0.010387279619062495,0.0,0.0007337086839687146,0.0,-0.00029907208758461756,0.0,0.00024526794103107985,0.0,0.0009000004572049525,0.0,0.001544117420660629,0.0,-0.0018778476452959714,0.0,0.0038505375906919825,0.0,0.005729839199827502,0.0,-0.00226945686880875,0.0,-0.0012777270553736564,0.0,-0.016656329139081327,0.0,0.0007279306215749459,0.0,0.0055105450341947915,0.0,0.0009162892964255098,0.0,0.0008741516077906963,0.0,-0.00017169669062344628,0.0,0.0007689861398979536,0.0,0.0031166101219748388,0.0,-0.0005221254064906589,0.0,-0.00940042762486104,0.0,-0.0013284745799282405,0.0,0.0036605299795473556,0.0,-0.0002687391801926564,0.0,0.004802660117874891,0.0,0.0023459220349794085,0.0,0.0018156194186143004,0.0,0.0003210400027977567,0.0,-0.0017404532421749774,0.0,-0.0011451331334703108,0.0,0.0011936753793507782,0.0,-0.0002429612294140293,0.0,-0.0017783558444932623,0.0,22.53418493270874
0.5*CPI,0.65,0.2687221628839634,1.0,0.21932379466698554,1.0,0.16781665788882705,1.0,0.5536244176399585,1.0,0.6458099365308227,1.0,0.15830066724166636,0.0,0.0029716250838675573,0.0,-0.000398394031273841,0.0,0.0006209540340851305,0.0,0.002603505086361646,0.0,0.0007186718585259211,0.0,0.00023164702113009916,0.0,-0.0014628839735599253,0.0,0.004702016854485569,0.0,-0.0012407798563023875,0.0,0.000357581564908227,0.0,0.00011607421386894412,0.0,0.0027477389775021344,0.0,1.750248608933802e-06,0.0,0.0001145724633311862,0.0,-0.0026720284181112053,0.0,-0.0014587258009711168,0.0,0.0019500523813461013,0.0,0.0020842248699322607,0.0,-0.0006547221830093264,0.0,-0.002275871080804348,0.0,0.00026377074023914426,0.0,-0.0019033304645732496,0.0,-5.848454683238247e-05,0.0,-0.001153467777005146,0.0,0.00013337622037962182,0.0,-0.0010249553176658321,0.0,0.0023147261493371984,0.0,-0.0028988816165931297,0.0,0.0022937770599077423,0.0,-0.0013138397319850115,0.0,0.001045237138117494,0.0,0.0012808498630260678,0.0,0.0009725190488539814,0.0,-0.0017866230359623314,0.0,-0.00020604585625727534,0.0,0.002800712274452999,0.0,-0.0018918077548971124,0.0,-0.006610703986445365,0.0,-0.00023080913156675598,0.0,0.0014630848418512588,0.0,-0.002030795933515628,0.0,-1.0380741797211268e-05,0.0,-0.0021625901206675513,0.0,0.0003577347408866838,0.0,25.751927614212036
0.5*CPI,0.85,0.1211045486302868,1.0,0.06602373526794048,1.0,0.0348124100154171,1.0,0.32526853320278554,1.0,0.2989836387232257,1.0,-0.0002684776910972103,0.0,-4.239567758029805e-05,0.0,0.00023846670185427576,0.0,0.0004413499343410704,0.0,0.0003194592067765206,0.0,-0.0003429389790419596,0.0,-0.00018378612046393572,0.0,-0.00021384510675909185,0.0,-2.6778609637470585e-05,0.0,0.00010828547863865612,0.0,-0.00029043459584517095,0.0,0.000360250166654294,0.0,-0.0004433616451743061,0.0,-0.0007131010270963606,0.0,0.00022008063630878094,0.0,-0.0002702034540466164,0.0,-0.0004686141491844764,0.0,-0.000858671917488063,0.0,-1.2129689721002146e-05,0.0,0.0005203605064504485,0.0,-8.765178029596088e-05,0.0,0.0003236667835515711,0.0,0.0002136653344706474,0.0,0.00019108159485352327,0.0,8.019533960687553e-05,0.0,0.0007904387889067221,0.0,-0.000604872388463018,0.0,0.0008018087826465459,0.0,6.4106683200435e-05,0.0,0.0011484596647341055,0.0,0.0001333592902772185,0.0,-0.0004570062311065465,0.0,0.0002465792730345223,0.0,-0.0005246972624031038,0.0,-0.0002051569986422086,0.0,-2.482248813689969e-05,0.0,6.914043566419448e-05,0.0,-0.00012996472488079058,0.0,0.0010857365760353621,0.0,-2.7867890945568186e-05,0.0,0.0011499179573663115,0.0,-0.0002519827404210834,0.0,-2.074796709748694e-05,0.0,0.00018411757594774536,0.0,-7.259257786125517e-05,0.0,24.146366119384766
PFI,0.0,-0.012545180713948278,1.0,0.007322106094023839,1.0,0.0006300610285003838,1.0,0.0021308831575259646,1.0,0.011328508370209267,1.0,0.0009695655640231671,0.0,-0.00018328765194564056,0.0,0.0001231569284927403,0.0,-0.0036785400672472157,0.0,0.00027197859407701586,0.0,0.0,0.0,0.0,0.0,0.0002547871704041693,0.0,0.0010795580436286922,0.0,-2.4163027225965195e-05,0.0,-0.0002468146780667535,0.0,0.0,0.0,0.0,0.0,-1.0884239065811485e-05,0.0,0.00025451196361525597,0.0,0.004893355116723397,0.0,0.0007948471566325832,0.0,-9.960327002844771e-05,0.0,-0.0007879656356786224,0.0,5.445020389238664e-05,0.0,-0.006396541220112573,0.0,5.063397331372954e-05,0.0,-0.00045062840798282267,0.0,-0.0008127928176162591,0.0,-7.022026732439457e-05,0.0,0.004042943439254154,0.0,0.00043510262674439915,0.0,-3.3208358769964974e-05,0.0,0.00025381262957546724,0.0,-0.0006038621574873115,0.0,-0.0010247305207824464,0.0,-1.3344695850570076e-05,0.0,0.00034605875693927146,0.0,0.0014243378886307223,0.0,-0.00013034141371393027,0.0,-0.0001121788971099047,0.0,0.00012336923962696922,0.0,-7.721706531738093e-06,0.0,0.0032749828362674815,0.0,-0.0028051735042451398,0.0,0.0014552722333038837,0.0,-0.0011653795305055503,0.0,0.0018579812360717263,0.0,-0.0028869964199833564,0.0,-0.00023339608296679693,0.0,41.284747838974
PFI,0.15,-0.0006597677725828088,1.0,0.015084963401311269,1.0,0.01621342558007033,1.0,0.14467610783430884,1.0,0.1849799102602503,1.0,0.0016924229719605943,0.0,2.249808203713677e-05,0.0,0.0,0.0,5.146807544931242e-05,0.0,-0.00012598697383547908,0.0,5.1311707650825156e-05,0.0,2.770533113549689e-05,0.0,-5.0565175734984535e-05,0.0,7.92096355732852e-05,0.0,7.338957589797523e-05,0.0,0.0,0.0,-5.655385713354555e-05,0.0,-0.00013095828748155292,0.0,1.4146425328265266e-05,0.0,-0.000847655538696257,0.0,-2.930618764285242e-05,0.0,0.0,0.0,-0.0003850619835989999,0.0,0.0,0.0,0.0,0.0,3.72020829855213e-05,0.0,0.0,0.0,-3.5574962558238e-05,0.0,5.232250398767846e-05,0.0,0.0,0.0,0.0001933198091990107,0.0,-0.00010821124080928612,0.0,-0.004306640628382263,0.0,-1.939809688522587e-05,0.0,1.5333057489241853e-05,0.0,6.126157255059717e-05,0.0,0.0007209217988151106,0.0,-0.0001663715219777373,0.0,5.251553733209846e-05,0.0,0.0,0.0,7.360540650691583e-05,0.0,0.0001289702859981201,0.0,-0.00017614516612374231,0.0,-0.0016796050823897346,0.0,-0.001185752513638949,0.0,-0.0001323121576257691,0.0,0.0,0.0,9.561452416950722e-05,0.0,-0.001268642356782479,0.0,5.7261170014477614e-05,0.0,19.531694889068604
PFI,0.3,0.09486006037108341,1.0,0.042159868824978464,1.0,0.1490904115500553,1.0,0.38029954754830064,1.0,0.3471130871023933,1.0,0.004962208096439769,0.0,0.013553509037153244,0.0,0.002373684548943933,0.0,0.0027397358325476073,0.0,0.00259959987726166,0.0,0.0012660203312648832,0.0,0.004449821737946946,0.0,0.0006454136147131528,0.0,0.00032357569569696487,0.0,-0.0017874997405329385,0.0,0.001628086419986241,0.0,-0.0003813957374054766,0.0,0.00035903177452545343,0.0,0.0026007084913768352,0.0,0.0006311750747842737,0.0,0.009273837471410973,0.0,0.006060948932946175,0.0,-0.003971552005158641,0.0,0.0020747356940840067,0.0,0.001505244745952039,0.0,0.0035548091203037036,0.0,0.0004590086252742598,0.0,0.003024156889749774,0.0,0.00028471414236830306,0.0,-0.00016766603202800212,0.0,-0.00021304821015122322,0.0,-0.01358195666319828,0.0,0.0052952654779803154,0.0,-0.0003642494477424929,0.0,-0.004068768030723646,0.0,0.0019206063777730265,0.0,-0.00273612782509014,0.0,-0.00039728318464904433,0.0,-0.006984672101301825,0.0,0.0033893246342380223,0.0,0.0032996948106129853,0.0,0.0055863362458623556,0.0,-0.0022380959796342026,0.0,-0.0010441842470902962,0.0,0.005587177603606053,0.0,-0.0003801127979803365,0.0,-0.003251826313632744,0.0,-0.002396165231692615,0.0,-0.001684750248938327,0.0,0.0012199299577717593,0.0,20.39913845062256
PFI,0.5,0.17963202634908448,1.0,0.18301535185387197,1.0,0.26320244614777955,1.0,0.8263834465996958,1.0,0.9532326634812385,1.0,0.0031307570203424895,0.0,0.011566028693997588,0.0,0.004639290805941609,0.0,5.5663540342809625e-05,0.0,0.0015995110166704407,0.0,-0.00010568385035747418,0.0,0.0012283356031288495,0.0,-0.0002530025805209668,0.0,-0.0004100711072738683,0.0,0.00213707009825459,0.0,-7.218315857482338e-05,0.0,0.0017474360427218727,0.0,-0.0057097397219212365,0.0,0.0022652571244712316,0.0,0.0027240245389024142,0.0,0.0017676589621713479,0.0,0.0012008336868425395,0.0,0.0016773158544454159,0.0,-0.0013125064980181733,0.0,0.005831264247052381,0.0,0.006365511041342753,0.0,-0.002911408145993555,0.0,4.6290855304720324e-05,0.0,-0.013755438125107045,0.0,0.002256261749742361,0.0,0.005856072681329039,0.0,0.0023050951502570083,0.0,0.0010462437241285372,0.0,-0.0002921464932255091,0.0,-8.161650403559761e-05,0.0,0.0067704795286673836,0.0,-0.002066619510391332,0.0,0.0006053711064097911,0.0,0.003139381677830899,0.0,0.004436718472309531,0.0,-0.00046607225663963803,0.0,0.00354229487877622,0.0,0.004137912360376195,0.0,0.0002967759250611657,0.0,0.00026587997439864175,0.0,-0.0014698796035643724,0.0,-0.013010040865871098,0.0,0.00034066275177568883,0.0,-0.002156034475311097,0.0,0.004147594814944533,0.0,21.51837158203125
