method,intra_cor,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49,tr_time
0.5*CPI,0.0,-0.1039723829086725,0.0,0.006902092131152671,0.0,1.5076446943714963,1.0,-0.0019089197330295349,0.0,0.03278212048647511,0.0,-0.19897909244510714,0.0,0.014462292843857583,0.0,-0.004198860122077264,0.0,0.01006430588470053,0.0,-0.04839910897765165,0.0,1.2224173944634629,1.0,1.4332179472151285,1.0,-0.002703136523319216,0.0,0.0,0.0,0.08029766766705393,0.0,0.014398405815562398,0.0,0.0,0.0,0.0780973891455563,0.0,0.0010544524585149873,0.0,0.0,0.0,0.005352223400931777,0.0,-0.028079116552790495,0.0,0.06691774370174564,0.0,-0.012753362946336111,0.0,-0.004373126069062039,0.0,0.004195947946636025,0.0,0.005455327882289751,0.0,0.04870523451562825,0.0,3.0277233233492336,1.0,0.0056819209304013185,0.0,0.013789020358505155,0.0,0.06813269588348447,0.0,0.030410655799538944,0.0,0.005971763471361413,0.0,0.13843484827573604,0.0,0.03762139912901574,0.0,-0.0031694352021389705,0.0,0.004002320150288341,0.0,0.020793025757129158,0.0,-0.020527609712795325,0.0,0.023518875113895277,0.0,0.2086553593862952,1.0,-0.014584087583115135,0.0,-0.00026516744053850516,0.0,0.0,0.0,0.0,0.0,0.007878085803465495,0.0,-0.008593266358221996,0.0,-0.3148344919659678,0.0,0.0057878086067475465,0.0,22.912492990493774
0.5*CPI,0.15,-0.003545592311706258,0.0,0.035999191123904595,0.0,2.1023925494681155,1.0,0.003852790679026441,0.0,-0.015818476294747086,0.0,0.016413045911299662,0.0,-0.01438190948552176,0.0,-0.04838978040357489,0.0,0.015541388391799416,0.0,-0.11463390998531686,0.0,1.8866046508117567,1.0,3.308000344874184,1.0,-0.020935297225159744,0.0,0.03074062024429125,0.0,0.01817598335135706,0.0,-0.12482938092131413,0.0,-0.010384993044006308,0.0,0.01924036370864357,0.0,-0.016184501615510882,0.0,0.0324496623526791,0.0,0.020361845062707218,0.0,0.0029860484696460077,0.0,0.012373783964433116,0.0,0.10826885315236012,0.0,-0.018291587346139337,0.0,0.06356003156375856,0.0,0.039676081765883,0.0,0.016337014364589564,0.0,0.9846785450654192,1.0,-0.07098879636381739,0.0,0.10311145879512829,0.0,0.05408800771964728,0.0,0.0956245797337889,0.0,-0.02587287523228632,0.0,-0.008196451136280203,0.0,-0.04156720835662142,0.0,-0.02475894066356865,0.0,0.019719970970397682,0.0,-0.04384747882666851,0.0,0.026464699068055708,0.0,0.00823272952560039,0.0,1.343069618422895,1.0,-0.01254139175179958,0.0,-0.007978120105125441,0.0,0.021496127818616984,0.0,0.16132885676911712,0.0,0.04803449075300037,0.0,-0.029813421883172708,0.0,0.012249811643496145,0.0,-0.014080728669084053,0.0,23.969568967819214
0.5*CPI,0.3,0.02582834877176321,0.0,0.0005693047195975964,0.0,1.0431678438370762,1.0,0.0008591566371300985,0.0,-0.0028466895837482298,0.0,0.0035919979957945714,0.0,-0.007841226775288312,0.0,-0.0019251184078221684,0.0,0.0036368817206557935,0.0,-0.02006004163431019,0.0,1.6720473086365226,1.0,0.8413324006475511,1.0,0.004814572719674892,0.0,0.008550378889969679,0.0,0.007932382299125962,0.0,0.04436333403830428,0.0,0.0007936225994829016,0.0,0.03295371364022959,0.0,0.0008426072028218101,0.0,-0.01102507433873079,0.0,0.0,0.0,0.002425484208939288,0.0,0.0006364378022896133,0.0,0.01051442245069989,0.0,0.0025055405689942134,0.0,-0.0018327117716063768,0.0,0.0,0.0,0.0020397773156375365,0.0,1.6616938350316177,1.0,0.0018194158294777552,0.0,-0.0022965887292132336,0.0,-0.002876844049643168,0.0,0.000340031732554813,0.0,-0.0015789195600515171,0.0,0.0018237739907016604,0.0,0.004286138376270898,0.0,-0.00044337201923827507,0.0,0.012271753475843639,0.0,0.001294495452534683,0.0,-0.043377710196236485,0.0,0.00035202450099891536,0.0,1.6483367445517105,1.0,0.0005039840548519692,0.0,-0.0010142498483061146,0.0,0.006304218247369597,0.0,-0.0004329545378345401,0.0,0.00015816346324637465,0.0,-0.0010136175706634276,0.0,-2.091304213358569e-06,0.0,-0.0032186812151087096,0.0,25.25882911682129
0.5*CPI,0.5,0.06912430872855158,0.0,-0.018221783066564967,0.0,1.751957445925977,1.0,0.03730785829786498,0.0,-0.01726428140132441,0.0,-0.02216228170161383,0.0,-0.008891836626777838,0.0,0.001223628094510154,0.0,-0.16808186567428773,0.0,-0.03588906508381218,0.0,1.4516379083033621,1.0,1.5462979910330246,1.0,-0.019462224064588085,0.0,-0.0493258667465577,0.0,-0.02045964850418791,0.0,0.0,0.0,0.02131968692535935,0.0,-0.006637794775603112,0.0,-0.0057612964038931125,0.0,0.0132029240024778,0.0,0.014128753880992662,0.0,0.009305190828037269,0.0,0.0,0.0,0.0,0.0,0.0013970079984426675,0.0,-0.02902083049545734,0.0,-0.003728602569196049,0.0,-0.05299206197612527,0.0,2.674057237477103,1.0,0.0,0.0,-0.014723843126918545,0.0,0.000289634168936459,0.0,-0.03012052600943438,0.0,0.070682892190435,0.0,-0.02678626755455138,0.0,-1.1578438556369974e-05,0.0,0.031302847449039106,0.0,0.013375849200697232,0.0,-0.10877335826091983,0.0,-0.03378149237871142,0.0,-0.18894555707276872,0.0,0.7829250630050586,1.0,0.04117709981370066,0.0,-0.005551784413475147,0.0,0.0,0.0,0.023491825544382117,0.0,0.009406240745299499,0.0,0.0,0.0,0.004123302160405906,0.0,0.016858962361414598,0.0,21.24682331085205
0.5*CPI,0.65,-0.03401251390610227,0.0,0.0028789858452373807,0.0,1.5636763002341727,1.0,-0.0013654164749272724,0.0,-0.05493909108917627,0.0,0.002957574059488266,0.0,-0.0286381006889993,0.0,0.020476203028051643,0.0,-0.003239665432136718,0.0,0.11957926952486986,0.0,1.135227018053822,1.0,-0.6217336205322601,1.0,-0.0032424091416114464,0.0,0.007209945058534117,0.0,-0.0059370272929513135,0.0,-0.0025230891693635016,0.0,0.04652598194478941,0.0,0.019733693081093406,0.0,0.06291830153587163,0.0,0.02273972676201197,0.0,-0.02566898665775419,0.0,-0.0020373275427019166,0.0,0.01861966300240603,0.0,-0.03748051909091643,0.0,0.006948952946574494,0.0,-0.03991806391377217,0.0,0.0026879068881537904,0.0,-0.019619353640640824,0.0,0.9878001932377742,1.0,0.0645637304877269,0.0,-0.030121254969346367,0.0,-0.01109149583776059,0.0,-0.06593936972387837,0.0,0.15919071850028566,0.0,-0.004115839816515532,0.0,0.009130797465813245,0.0,-0.05679356339411967,0.0,0.02198602154169471,0.0,-0.0017280118750431228,0.0,-0.02001629575613606,0.0,-0.08453779952659524,0.0,2.1161927259672826,1.0,-0.012546963432177094,0.0,-0.011148668378677229,0.0,0.018010677909218842,0.0,-0.04217444483941257,0.0,-0.0007877964998606046,0.0,0.0012394374144264475,0.0,-0.008699732541494143,0.0,0.0010936129860130706,0.0,23.794251441955566
0.5*CPI,0.85,-0.0740508126136401,0.0,-0.026184213354333963,0.0,-0.08770132358371008,1.0,0.04920827882626089,0.0,0.006542092914634701,0.0,-0.008582103458431689,0.0,-0.00606825561420532,0.0,-0.013957042864172209,0.0,-0.06224235213648388,0.0,0.1640666302326812,0.0,0.5553090527424285,1.0,-0.01582120707513912,1.0,-0.06740829829626982,0.0,-0.00251356656314794,0.0,0.06445392867575084,0.0,-0.006830284120898256,0.0,-0.004228675407058624,0.0,-0.03325659370380407,0.0,0.0012507015901208618,0.0,-0.02800159342149744,0.0,-0.005546118066484418,0.0,-0.016422944086888158,0.0,0.027905629875252913,0.0,-0.013519597016918183,0.0,0.010333666657993845,0.0,-0.04459677111247373,0.0,0.00416315445401505,0.0,-0.0009326133372384859,0.0,0.1625072960128895,1.0,-0.09390908938375109,0.0,0.008448223008982403,0.0,-0.010934142684387638,0.0,-0.031113540407703866,0.0,0.010522267416150477,0.0,-0.059817863734618726,0.0,-0.05431584292756142,0.0,0.002769845391178194,0.0,0.004999432472144072,0.0,0.003976670926417292,0.0,-0.028133949059711227,0.0,-0.029930854921443206,0.0,0.09469111667148944,1.0,0.015307376888390678,0.0,0.031705385710240286,0.0,-0.03846671984625338,0.0,-0.1091598438556094,0.0,0.019342109593337042,0.0,0.005111984606150699,0.0,-0.01867497768753168,0.0,0.018663751345482815,0.0,27.088053941726685
PFI,0.0,-0.022096392418474053,0.0,0.0014631816571171186,0.0,0.30950171115972136,1.0,-0.0004047540090299506,0.0,0.006945479652244124,0.0,-0.04237871964312223,0.0,0.0030653558650231005,0.0,-0.0008903428122906121,0.0,0.0021333910704184333,0.0,-0.010272956555680501,0.0,0.2524267231937154,1.0,0.2946713395094944,1.0,-0.0005731644241793177,0.0,0.0,0.0,0.016994408823246765,0.0,0.0030518190654840183,0.0,0.0,0.0,0.016529549233057494,0.0,0.0002235638433631948,0.0,0.0,0.0,0.001134662890989624,0.0,-0.01765856946301092,0.0,0.01416688555535206,0.0,-0.0015694630795000108,0.0,-0.0009272984822503716,0.0,-0.007321651622316239,0.0,0.001156518198629719,0.0,0.01881032084939438,0.0,0.6033571808675156,1.0,0.014030749357957006,0.0,0.0029226965554558504,0.0,-0.00642545828960106,0.0,0.006443385080071806,0.0,-4.1181405603829546e-05,0.0,0.029260732533039402,0.0,0.015443347512111849,0.0,-0.0006720439499527942,0.0,0.004150356413156864,0.0,0.00440656027832631,0.0,-0.006955209190841138,0.0,0.004983930764836941,0.0,0.0440343669838299,1.0,-0.003093189697949583,0.0,-5.6222174848130635e-05,0.0,0.0,0.0,0.0,0.0,0.0016700469474528745,0.0,-0.001822330058067756,0.0,-0.06723162637001856,0.0,0.001226994256643188,0.0,37.446887254714966
PFI,0.15,-0.0008488916534297175,0.0,0.0044942335439239756,0.0,0.43686840778636693,1.0,0.0015872828415233187,0.0,-0.0024952770329509377,0.0,0.004547511736748611,0.0,-0.0016797366477847575,0.0,-0.011243681773850156,0.0,0.0036429572915208652,0.0,-0.024553294313111707,0.0,0.46175395525069174,1.0,0.7516955565152745,1.0,-0.003934518219355532,0.0,0.008205608813992349,0.0,0.011874023074277318,0.0,-0.02857539774601392,0.0,-0.002748023631311547,0.0,0.009252047531377094,0.0,-0.00582417535618962,0.0,0.007971045773616403,0.0,0.005157838089954403,0.0,0.01105973731745813,0.0,0.0031425235854989353,0.0,0.002613568564579616,0.0,-0.004526327302989408,0.0,0.022655892527761345,0.0,0.00790903735345072,0.0,0.00482920303600487,0.0,0.15401379758674683,1.0,-0.013946028868484284,0.0,0.005628646284319139,0.0,0.011670295040213219,0.0,0.003613266467523246,0.0,-0.004712003519768082,0.0,-0.003026810132865876,0.0,-0.011696179182305144,0.0,-0.0043663231936639235,0.0,0.00619942239361837,0.0,-0.024755475074478284,0.0,0.006089560551091999,0.0,-0.0018538852969616215,0.0,0.3074916612774157,1.0,-0.002724982548208743,0.0,-0.0017986760519903555,0.0,0.004476987674234323,0.0,0.03800885619049499,0.0,0.010363970710733916,0.0,0.01636771149835159,0.0,0.0026091826552248065,0.0,-0.0018842174014510604,0.0,22.89706039428711
PFI,0.3,0.0064606707199885705,0.0,0.00016998538645385253,0.0,0.3232918224154959,1.0,-7.098404637817524e-05,0.0,-0.0007127067758938566,0.0,0.001121939065704236,0.0,-0.001766181010188994,0.0,-0.0010168198787625649,0.0,0.00012152972959311725,0.0,-0.004705210264301485,0.0,0.368093348364936,1.0,0.2146017210985498,1.0,0.0012051032998123823,0.0,0.001673024953915636,0.0,-0.0007596328848378242,0.0,8.058674651856279e-05,0.0,0.0001986713564954279,0.0,0.008241165351596358,0.0,0.0008371665417321594,0.0,-0.002760982616347274,0.0,-1.0387463227345961e-05,0.0,-0.0013776116331878363,0.0,0.00015932331605661432,0.0,0.015555292735042414,0.0,-0.0003755631921809055,0.0,-0.00017831382995048273,0.0,9.289432199732772e-05,0.0,0.0005106073146641243,0.0,0.46636782160036994,1.0,0.00045544846369605096,0.0,-0.000574971762687948,0.0,-0.0008259813192372789,0.0,-0.00040724833467109534,0.0,-0.0001483939446829119,0.0,-5.1820401857138876e-05,0.0,0.0010728522124412443,0.0,-0.00011099574897555087,0.0,0.0009671607682073535,0.0,-8.802529692264471e-06,0.0,-0.003570449306944834,0.0,0.01710604097446211,0.0,0.4249933377235191,1.0,0.00015263850018554237,0.0,-0.00035218891554977816,0.0,-0.0003625095987755955,0.0,-0.00013255200347828122,0.0,0.00029525626444160125,0.0,-0.00025375812427563815,0.0,-5.235392799285421e-07,0.0,-0.00033710780267481866,0.0,24.167133808135986
PFI,0.5,0.04550625054016644,0.0,-0.005605440634364189,0.0,0.4599815479350098,1.0,0.03215968431751515,0.0,-0.0018590308916417442,0.0,0.007424268455504812,0.0,0.0005861701993006285,0.0,-0.003820616534200294,0.0,-0.02955179785834705,0.0,0.0005850612100282149,0.0,0.5591205061613347,1.0,0.5055103176525404,1.0,-0.0030678941901443046,0.0,-0.004586237742332688,0.0,-0.007171479039651096,0.0,0.0,0.0,-0.0003029995779391115,0.0,-0.0041124561383241165,0.0,-0.0010252711385372315,0.0,-0.0004742861292981182,0.0,-8.125583074258813e-05,0.0,0.014492367726081756,0.0,0.0,0.0,0.0,0.0,0.0006861283142196584,0.0,0.023066833667941378,0.0,0.0017156661017296848,0.0,-0.0024020095759218485,0.0,0.9645841109980213,1.0,0.0,0.0,-0.006184915996203522,0.0,0.00469068458581301,0.0,-0.004684940325523801,0.0,0.01999608348681292,0.0,-0.003532935724490205,0.0,0.004728052576061348,0.0,-0.003114994721767683,0.0,0.0,0.0,-0.04262179834827862,0.0,0.007384802069937635,0.0,-0.08586784990956886,0.0,0.5045277336407081,1.0,0.01423492387865588,0.0,-0.0013895418105742685,0.0,0.0,0.0,0.0010935107448872827,0.0,0.005896634054161964,0.0,0.0,0.0,0.08715295775296594,0.0,0.016381178693112286,0.0,20.37770390510559
