method,d,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49,imp_V50,tr_V50,imp_V51,tr_V51,imp_V52,tr_V52,imp_V53,tr_V53,imp_V54,tr_V54,imp_V55,tr_V55,imp_V56,tr_V56,imp_V57,tr_V57,imp_V58,tr_V58,imp_V59,tr_V59,imp_V60,tr_V60,imp_V61,tr_V61,imp_V62,tr_V62,imp_V63,tr_V63,imp_V64,tr_V64,imp_V65,tr_V65,imp_V66,tr_V66,imp_V67,tr_V67,imp_V68,tr_V68,imp_V69,tr_V69,imp_V70,tr_V70,imp_V71,tr_V71,imp_V72,tr_V72,imp_V73,tr_V73,imp_V74,tr_V74,imp_V75,tr_V75,imp_V76,tr_V76,imp_V77,tr_V77,imp_V78,tr_V78,imp_V79,tr_V79,imp_V80,tr_V80,imp_V81,tr_V81,imp_V82,tr_V82,imp_V83,tr_V83,imp_V84,tr_V84,imp_V85,tr_V85,imp_V86,tr_V86,imp_V87,tr_V87,imp_V88,tr_V88,imp_V89,tr_V89,imp_V90,tr_V90,imp_V91,tr_V91,imp_V92,tr_V92,imp_V93,tr_V93,imp_V94,tr_V94,imp_V95,tr_V95,imp_V96,tr_V96,imp_V97,tr_V97,imp_V98,tr_V98,imp_V99,tr_V99
0.5*CPI,20,0.46482539101044407,1.0,0.19928566717563456,1.0,0.07241350520690581,1.0,0.4504229090615004,1.0,0.6867231985277946,1.0,0.0536840027577461,1.0,0.034096480473639335,1.0,1.0246430606114354,1.0,0.05068330226620099,1.0,0.13008360906114036,1.0,0.007848196961245946,0.0,-0.008171689587316289,0.0,0.010374696367132619,0.0,-0.005605408346802787,0.0,0.00079173927671361,0.0,-0.012205752085692634,0.0,-0.00024414060163735485,0.0,0.01567621442896605,0.0,-0.01752240918032366,0.0,0.023209023497118064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5*CPI,35,0.17977947129521543,1.0,0.03518999676958434,1.0,0.0901627034463588,1.0,0.4762061646012625,1.0,0.6717923679326852,1.0,0.06358149093215082,1.0,0.009142462600044254,1.0,0.6780882311952645,1.0,0.003647390087036406,1.0,0.13694370930604016,1.0,-0.003509222164333581,0.0,0.0233698892671248,0.0,0.0017998082442651775,0.0,0.039062717218186105,0.0,-0.0007347102577972553,0.0,-0.008503502976101807,0.0,-0.015330130075333681,0.0,-0.01451453861125862,0.0,0.017718032264625982,0.0,-0.002935337119996051,0.0,-0.0004908080183889663,0.0,-0.0014378238183210268,0.0,0.0009424981655896669,0.0,-0.018908270434148777,0.0,0.00043500898370552044,0.0,-0.005521992361199768,0.0,-0.019456752779798192,0.0,0.008564319299378953,0.0,-0.018433427182638296,0.0,0.0074244585728757695,0.0,-0.019895912428359308,0.0,0.00400595068752807,0.0,0.013447997368185804,0.0,-0.06769124967538365,0.0,0.018338611062347354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5*CPI,50,0.04436055259988381,1.0,0.09467439624645668,1.0,0.03438240430759443,1.0,0.49425061426763117,1.0,0.5569702241665261,1.0,-0.0005189203210457238,1.0,0.013185170954502556,1.0,1.00087716226325,1.0,0.049890731938985855,1.0,0.17846513958262988,1.0,-0.0019536446351196,0.0,-0.003625139454692894,0.0,0.003761507001940445,0.0,-0.002420813021773771,0.0,0.0003952603773506036,0.0,-0.008093644814296086,0.0,-0.0010774272450992939,0.0,0.0010499637571569354,0.0,0.00431116634038009,0.0,0.008676816108044605,0.0,-0.0006269021387329543,0.0,0.006422869001995957,0.0,0.0020790585768455383,0.0,0.0028429451946424544,0.0,0.002936301048084178,0.0,-0.006463221757387672,0.0,-0.005906488626126749,0.0,-0.008346004502317372,0.0,0.0021772933002245365,0.0,0.0020049671941461122,0.0,-0.0017355512034316067,0.0,0.0003083610733636277,0.0,-0.0012249413086093952,0.0,0.006419045305020243,0.0,-0.0034468037402290985,0.0,0.00013614189856747672,0.0,0.0032989466423031244,0.0,-0.00013351844749298625,0.0,0.0027692538650360143,0.0,-0.004004916398435032,0.0,0.0014625092121111072,0.0,-0.0006975459741304091,0.0,0.004626453255726193,0.0,-0.006364900844605392,0.0,-0.004832065345655279,0.0,-0.0013384751259877259,0.0,0.004505591601632886,0.0,-0.0009712156835156582,0.0,-0.0009097021906367964,0.0,-0.02990867991582169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5*CPI,100,0.09667992776787504,1.0,0.07687409638390919,1.0,0.004261708293740174,1.0,0.34782862962325134,1.0,0.14623631316167618,1.0,0.0654182394575622,1.0,0.032551495615821935,1.0,0.8822594027377266,1.0,0.010983521756072312,1.0,0.1978742879301798,1.0,-0.0006788925908056687,0.0,-0.0018071578939302668,0.0,-0.003848523016840577,0.0,-0.003589929058463337,0.0,-0.0009047238734681828,0.0,0.005872358615133133,0.0,0.0018945719285563545,0.0,0.0018725843265104958,0.0,-0.0019517510745972189,0.0,0.0016878777531904587,0.0,-0.001871989551083475,0.0,0.0029625323515150015,0.0,0.0017151971557369805,0.0,-0.0005620578760432426,0.0,-0.0005250644032266383,0.0,0.008852697568691337,0.0,0.0009536707929990174,0.0,-0.0037739661013682646,0.0,0.011742831073861315,0.0,-0.00041680290918455487,0.0,0.002416987421239414,0.0,0.0003579888541035414,0.0,-0.0007482336939307332,0.0,-0.001968239446495601,0.0,0.0001763688134173158,0.0,0.0008300622434617155,0.0,-0.00011955444488453981,0.0,-0.0016976851041679009,0.0,-0.0021079913684163287,0.0,0.006406388858202772,0.0,0.00031298599724161047,0.0,0.0014486159579035762,0.0,0.008990787482576423,0.0,-0.014798474901407399,0.0,0.001091969318582131,0.0,9.77364038370343e-05,0.0,-0.003606984158229576,0.0,-0.0024692320938120016,0.0,0.010528937257298865,0.0,0.0011913062610086067,0.0,-0.0022317690104991517,0.0,-0.0017911407097295218,0.0,-0.001899827149452582,0.0,0.008068550067511282,0.0,0.0018149254827684036,0.0,0.0018724083054375562,0.0,0.004671096882952752,0.0,-0.0032579261887472066,0.0,0.0022940475269359606,0.0,-0.0008856327028348154,0.0,0.004234822497474977,0.0,-0.0007012233715266714,0.0,-0.0018448017814619577,0.0,0.0007181829554768759,0.0,0.0013584142344627015,0.0,-0.007043886799085741,0.0,0.0015761246515804128,0.0,0.0013335299610391926,0.0,-0.0013746037397887045,0.0,0.0013307227531595966,0.0,-0.00045283318520261684,0.0,-0.0009095028852584841,0.0,-0.0010867558270837296,0.0,-0.001937157837174519,0.0,-0.0005611056428915795,0.0,0.0024951637490979728,0.0,0.009677252987184692,0.0,-0.0046478242124241564,0.0,0.004222668065347657,0.0,0.004138371360313697,0.0,-0.002743611494113063,0.0,0.0012908934108408765,0.0,0.0009851019029829544,0.0,-0.003039889439941823,0.0,0.0003884841264132355,0.0,-0.0036811334873935175,0.0,0.00017038208830288948,0.0,-0.000802146150649774,0.0,0.002828765747821871,0.0,-4.808446230963881e-05,0.0,0.005395174080089049,0.0,-0.0016793974600983752,0.0,0.000457655233475629,0.0,-0.0010107984000861103,0.0,0.0010826047347937129,0.0,-0.0013713922531560785,0.0,0.00042232919229423516,0.0,0.0022476320691711127,0.0,-0.0011329980516980864,0.0,0.001685307697382732,0.0
PFI,20,0.43808083132022735,1.0,0.31085371868209566,1.0,0.10699737151680999,1.0,0.5926961756735389,1.0,0.7894693162090034,1.0,0.1075417467143156,1.0,0.023215387164149615,1.0,1.071828554473777,1.0,0.019993869063378078,1.0,0.22106095451809749,1.0,0.033369972112903934,0.0,-0.007972534377137963,0.0,0.014810851350019805,0.0,0.0026033421187918737,0.0,-0.020552662765725094,0.0,-0.0018752084148947468,0.0,0.0023876828864577426,0.0,0.02587737331537876,0.0,-0.0040892834767563,0.0,0.018383861501944487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFI,35,0.1429551603937056,1.0,0.04041271064095242,1.0,0.08426726748400926,1.0,0.6511933774938454,1.0,0.6609372621260869,1.0,0.07519863708465646,1.0,0.006752244968795118,1.0,0.41091416675671,1.0,0.020021889777846136,1.0,0.13425627039254429,1.0,0.008784010039872392,0.0,0.028708261397871526,0.0,0.00014763752712898537,0.0,0.039430879797829554,0.0,0.005900667937939863,0.0,-0.0064796514317133624,0.0,-0.01305677400434857,0.0,-0.004226178225154031,0.0,0.010879036005438492,0.0,0.005433210544283806,0.0,1.7974729814795865e-05,0.0,-0.0012169320305044362,0.0,0.005833268990280249,0.0,-0.026410154168861055,0.0,0.010118945302090898,0.0,0.001062828537101046,0.0,-0.011288272893879014,0.0,-0.0017001359123014481,0.0,-0.014874824083961347,0.0,-0.0041113100662146795,0.0,-0.011198115637755413,0.0,0.0021948731161633983,0.0,0.0035501478131108044,0.0,-0.032435853922351265,0.0,0.03362318811813769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFI,50,0.019038038079215003,1.0,0.0720995352921392,1.0,0.07638355016315779,1.0,0.6276105041308973,1.0,0.8123126968227758,1.0,0.025233048946818215,1.0,0.015722105021535038,1.0,0.6854000232369697,1.0,0.025883442277287783,1.0,0.14775740769123713,1.0,-0.00361831541928348,0.0,-0.004358837068694887,0.0,-0.004865435192847212,0.0,0.0007881070145137059,0.0,-0.0005558300833663488,0.0,-0.004366398987496467,0.0,0.0006923508952016988,0.0,0.0006058392689272107,0.0,0.0020556143137364646,0.0,0.0054290513998001,0.0,0.0003184681874961459,0.0,0.006794584126221803,0.0,0.0021810624891771546,0.0,-0.0024678178510346704,0.0,-0.0005309497496042148,0.0,-0.007668785557456426,0.0,-0.009301520901118243,0.0,-0.003797626518464714,0.0,0.005271645496861543,0.0,0.00599613249639952,0.0,0.005343594889545722,0.0,0.0050776998398749384,0.0,0.004628501495224313,0.0,-0.0010184476456620573,0.0,-0.0007688906215155278,0.0,-0.002466805390263893,0.0,0.0007692189143739814,0.0,-0.000259079428830411,0.0,0.006347204313133625,0.0,0.0012702117770306831,0.0,0.003721352055406024,0.0,-0.0013072427144684706,0.0,0.00036718351831344087,0.0,-0.002776915612885844,0.0,-0.004061907809310261,0.0,-0.004264846844941994,0.0,-0.0018897097599313017,0.0,-0.004010928494200483,0.0,-0.014133081152589044,0.0,-0.02095217994500942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFI,100,0.08895326967526196,1.0,0.07845742307791048,1.0,0.0023986909585185234,1.0,0.27445922518755506,1.0,0.18163918725273454,1.0,0.04849148909746548,1.0,0.0345280625431823,1.0,0.8302903120445013,1.0,0.007885295607661602,1.0,0.21345589665774423,1.0,-0.0025819502022979,0.0,-0.0005210415828720283,0.0,-0.0014348700393977953,0.0,-0.0024246465854760313,0.0,0.0005780959415793152,0.0,0.0016082849057481585,0.0,0.0004533596328983869,0.0,-0.001527749161830183,0.0,-0.0072420042528484885,0.0,-0.0008789404116937849,0.0,-0.0004257650224674947,0.0,0.0011313455548187523,0.0,-0.00032430500896163394,0.0,-0.0030883442374771697,0.0,-0.0013659842802660194,0.0,0.0052043209141026114,0.0,0.0013435450489154288,0.0,-0.0052409874832357595,0.0,-0.0004594949450980046,0.0,-0.000986887785485946,0.0,0.00046599243972123006,0.0,0.0008772775515955011,0.0,-0.0009616052074725712,0.0,-0.0008114721177649997,0.0,-0.001496793541954533,0.0,-0.002387366681841696,0.0,-0.0006238430184068999,0.0,-0.0052060179706374665,0.0,-0.0021534510263170326,0.0,0.0014434957224787048,0.0,0.0009102278473702707,0.0,0.0015364485511193404,0.0,0.005756151926573638,0.0,-0.015534015054034622,0.0,-0.004621274209774429,0.0,-0.0024294729720530928,0.0,-0.004509084293847998,0.0,-0.0016020125857736378,0.0,0.0026839781013872077,0.0,-0.0004726902158520563,0.0,-0.003156398372834879,0.0,-0.0035711118388943586,0.0,-0.004310581193635921,0.0,-0.0006588470215191933,0.0,0.00197660677639222,0.0,0.0025295660900532813,0.0,0.0014607839171820736,0.0,-0.0031319810374386137,0.0,0.001290848189836158,0.0,-0.000427201703934843,0.0,0.0014576011320177606,0.0,-0.00045075238363390113,0.0,-0.0008260014484113842,0.0,-0.00017329482419703446,0.0,-0.0009375768666943785,0.0,-0.006976728135515087,0.0,0.004613343549968674,0.0,0.0015619467005454357,0.0,-0.0010095249743518053,0.0,0.002210552970911994,0.0,0.000978451261611335,0.0,0.0024130554504180335,0.0,0.0005777393207988535,0.0,0.0038483776650408696,0.0,-0.0009645062188712306,0.0,0.0004422655818296928,0.0,0.0018807434126884015,0.0,-0.0028396723476964425,0.0,0.00246018095078937,0.0,0.0022987507143454877,0.0,-0.003907872227051801,0.0,5.382814334997654e-05,0.0,-0.0016604078698858604,0.0,-0.0016259877533542078,0.0,-0.00035437307831309717,0.0,-0.0029866584015680875,0.0,-0.00013709402283157424,0.0,0.001515091879214836,0.0,0.000977799267051438,0.0,-8.934347710809476e-05,0.0,0.0028968674333591515,0.0,0.00490476069480783,0.0,0.0012542913482442852,0.0,-0.0026021626415992927,0.0,0.0015983644713124523,0.0,-0.00498747967842994,0.0,0.0001559373316348811,0.0,0.0022961528129299413,0.0,0.0012556368838332332,0.0,-0.000208477457390277,0.0
LOCO-W,20,0.039928618237189635,1.0,0.0338801887124773,1.0,0.018024318840211863,1.0,0.061766321697849895,1.0,0.020795793096212965,1.0,0.04594390805696163,1.0,-0.012752385659787141,1.0,0.2601411017025486,1.0,0.001625482024557464,1.0,-0.016094387949317057,1.0,-0.04486036960218241,0.0,0.022184911780338427,0.0,-0.02393644091150434,0.0,-0.02281731897580812,0.0,-0.014703898827146886,0.0,-0.005700739791040067,0.0,0.019577569207469264,0.0,-0.017191121364845588,0.0,0.004951264801057759,0.0,0.04749665021908246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCO-W,35,-0.00462317253970966,1.0,-0.01881348572398463,1.0,-0.12265397297080986,1.0,0.08239010393309011,1.0,0.5957235376168039,1.0,0.10965304907237888,1.0,0.01931676713275231,1.0,1.476625409538977,1.0,0.245048361975541,1.0,0.061703096828247164,1.0,-0.03614387870523607,0.0,0.01638701258340437,0.0,0.03684167530804161,0.0,-0.031020801771396395,0.0,-0.0030065685951126842,0.0,-0.16551126194034385,0.0,-0.0038822634896598426,0.0,-0.06059766059682315,0.0,0.041356732151694775,0.0,0.02057932369949353,0.0,0.0044954614936901695,0.0,0.026502607906757007,0.0,-0.0335175016103806,0.0,-0.03724676732516059,0.0,-0.03883298628599767,0.0,0.00518570186119785,0.0,-0.019657524517202502,0.0,-0.0059575104960822465,0.0,0.012576763598241641,0.0,0.0038719050383556326,0.0,-0.08567478467916706,0.0,-0.20680504037512426,0.0,0.021250470765323715,0.0,-0.023003815096260843,0.0,-0.017248206062748083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
