method,intra_cor,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11,imp_V12,imp_V13,imp_V14,imp_V15,imp_V16,imp_V17,imp_V18,imp_V19
n_cal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_cal1,0.5,0.02678876649255968,0.032866873266461205,-0.018047456590687183,0.022114344004683373,0.20890955218811014,-0.0073168444288505,-0.008660326997660395,-0.03964674236911536,0.00045753399944281625,-0.0008883102729921877,0.002497801663799093,0.00038416740707947206,0.01040920234764875,-0.004200676262880343,0.006798844850749219,0.008651919842991518,0.0009703131385085939,-0.0032707321597875705,-0.03801686779658553,-0.001303902901735876
n_cal20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_cal20,0.5,0.04600712718115955,0.05828931856423895,0.05645490367413432,0.019065546050465072,0.19961714413691295,-0.0028320215176995994,0.01025855289242034,-0.03879307889433005,0.001394577303924412,0.0005125244225662449,-0.008483242772848783,0.010057028279536103,-0.00275984441535183,-0.012135060614506003,0.009621282886702397,-0.00475818886575092,-6.215717432438745e-05,-0.026466188256766592,-0.047011023928714646,-0.011197556663336206
n_cal1,0.0,-0.06228487807306826,-0.09579075717808005,0.019335756973935414,-0.08609691873383274,-0.05310800348094302,0.07535294245940971,-0.0009422188921348607,0.0104537406148979,0.0018981225644991717,0.014271293247789973,-0.17688886104780854,0.016514919607276024,-0.05159429601749599,0.0007679815748349306,0.019917237143629585,0.32267972979175985,-0.05104077562311771,0.014188576608364922,-0.005132884247124991,-0.0008647487890729444
n_cal1,0.5,-0.13144216847929724,-0.00021303108683479177,0.004953564556031909,0.04436884409126429,0.13206413168400244,-0.012789152266349801,-0.00797484091544165,0.01589361879938922,0.009529456041385442,0.011815062432977252,-0.02520072073434909,-0.0006804990515604237,-0.0019891156714852976,-0.004073392288237665,-0.007316770647192605,-0.0015116715506885425,-0.03178504447639774,-0.010406341274519892,0.001408436088398357,-0.0040285867490432725
n_cal20,0.0,-0.07737936731227062,-0.13758934367561218,0.023655239884645157,-0.12089522586512726,-0.1267484443609063,0.043010335406989106,0.002440456616454867,0.01779467977064271,0.00028845857497083484,0.02210460653506782,-0.2368404134265282,0.02637343524621913,-0.01694992477274057,0.00029744194726280933,0.010130385846462869,0.2675682082846644,-0.05925522229205002,0.0359677613730936,0.004396201953134272,-0.007516703191451633
n_cal20,0.5,-0.20150815915936576,-0.002365300152466525,0.007697065259811471,0.09831357166150874,0.66984747199458,-0.01744360365112935,-0.010812294652710846,-0.01675126117035913,0.08829757715005995,0.015606198131877433,-0.027015252669184062,-0.004970600510195869,-0.0050058638820548226,0.0024449957175729084,0.0009462379675578043,-0.0017579686648419976,-0.09418937014037557,-0.08691954335541739,0.002503269619334315,-0.004365390375515865
n_cal1,0.0,0.017300322331974982,0.00466759760378499,0.002710134185206825,-0.016608713449213774,0.016820802597501627,0.03628152403473428,0.0016812469481692904,-0.027985588583009924,-0.0011051252134953726,0.008457220424044953,0.016622977571465802,-0.003478179813043436,0.07863023628001509,0.0034576789744549252,0.008781799927283562,-0.001998550895082274,-0.033370253140461825,0.015668967519770205,0.00019672234895762308,-0.002159285540806022
n_cal1,0.5,0.00910022428123014,-0.01804574074411014,0.0005802445935330081,0.41357915138247137,0.008670318696935908,-0.04863135762908466,0.01035751431355636,-0.012438089962027998,-0.00047043732420659623,-0.032234447386349174,0.056237590469338405,0.0,-0.017633879482385373,-0.00032371395343244735,0.0,0.0,0.0,-0.007406657518685744,-0.0003214510476126087,-0.023592853075625975
n_cal20,0.0,0.021191918476872,0.015868979113263952,0.0015032939161972539,-0.011523947831136385,0.02225222474374495,0.039817650913075486,0.002031040682028973,-0.03535079613055949,-0.00321180118756793,0.009015791311664814,0.02618936902567114,-0.00017575896085388263,0.028934624924204906,0.0005608414284518135,0.012168857083914443,-0.0019839172927956943,-0.10012412506329078,0.01514741632980958,-0.0012560717443771672,-0.003895697985538259
n_cal20,0.5,0.011772300613972286,-0.029077852962506444,-0.0004258283233738949,1.2158812700248123,0.6196120600136487,-0.05885963767951892,0.005941179240384541,-0.011632420272124765,-0.00017908415485233862,0.018234121463971725,0.013613612619916216,8.458842092382145e-16,-0.024918247427802496,-0.00277109901840917,8.458842092382145e-16,8.458842092382145e-16,8.458842092382145e-16,-0.004197051666000648,-0.0005212792844878052,-0.026381834522620298
