method,intra_cor,imp_V0,imp_V1
Robust-CPI,0.0,3.3676302744869813,1.2449243980409648
Robust-CPI,0.05,3.217692909901271,1.3719775007350266
Robust-CPI,0.1,4.4616033324576705,0.8621584183360947
Robust-CPI,0.2,3.8995836733264113,0.8617509381375384
Robust-CPI,0.3,2.943045591295198,0.6610393184989573
Robust-CPI,0.5,3.6693414401810434,0.7857829234000002
Robust-CPI,0.65,1.5768409510787922,0.6134298111338583
Robust-CPI,0.85,1.111185836628568,0.2776907492883399
0.5*CPI,0.0,2.8717347931536894,0.7034705348334155
0.5*CPI,0.05,4.259194191387074,0.5517367269243432
0.5*CPI,0.1,2.9372284128959794,0.42287081965744566
0.5*CPI,0.2,2.6556295186444783,0.45541671250160987
0.5*CPI,0.3,3.0883846531479766,0.9275453302827817
0.5*CPI,0.5,2.447456619795387,0.6865311867178261
0.5*CPI,0.65,1.7892337632880972,0.5989833213112439
0.5*CPI,0.85,1.5030785512572662,0.4336703856203601
PFI,0.0,2.3964110287634783,1.186002810999165
PFI,0.05,2.9953846840635845,1.0867530145840207
PFI,0.1,2.423510993052768,0.9194252567648745
PFI,0.2,2.3320805927130825,0.9542829665820562
PFI,0.3,2.221430435128247,1.150773349137214
PFI,0.5,2.178644975358485,1.226548709955745
PFI,0.65,2.566764888058788,1.4816151513979958
PFI,0.85,2.2189157754564293,1.3450400379644971
LOCO-W,0.0,2.5063423833716922,0.3160555419154833
LOCO-W,0.05,3.010184526253956,0.19329130311924192
LOCO-W,0.1,1.1022271296571853,0.42949209161372426
LOCO-W,0.2,2.3862361546243784,0.5759515163578802
LOCO-W,0.3,2.151955466687621,0.4304887723115271
LOCO-W,0.5,2.186422119789043,0.30826576353208635
LOCO-W,0.65,1.2283016775500657,0.22843933201491962
LOCO-W,0.85,0.6490826739494222,0.05069882416180574
LOCO-HD,0.0,4.055811713212911,0.8320529073906672
LOCO-HD,0.05,4.044330396123009,0.5412331967656198
LOCO-HD,0.1,3.5462123800439493,0.5203195526195687
LOCO-HD,0.2,2.924825705492432,0.5478564586968532
LOCO-HD,0.3,3.809225623721214,1.1576515589653171
LOCO-HD,0.5,3.000856025502996,0.8521563321127297
LOCO-HD,0.65,2.4887528209732244,0.6991857084024965
LOCO-HD,0.85,1.4100832781102763,0.4129937354861248
Robust-CPI,0.0,4.118674023330918,0.7580205579720213
Robust-CPI,0.05,3.863399838809799,0.5369503784729939
Robust-CPI,0.1,3.3023367525298286,0.4596545896366538
Robust-CPI,0.2,2.510393977097597,0.5936236120658495
Robust-CPI,0.3,3.3340405675382527,1.1844781593408433
Robust-CPI,0.5,2.8534636663002138,0.6591371796839935
Robust-CPI,0.65,2.0223859108383655,0.5740508851342842
Robust-CPI,0.85,1.4498713178338782,0.3999218123877729
0.5*CPI,0.0,4.471081039936257,1.0497144148606496
0.5*CPI,0.05,3.5322707230908295,0.79061591050672
0.5*CPI,0.1,4.787794277752886,1.4591802891238796
0.5*CPI,0.2,3.6816046921939316,1.2256010632523948
0.5*CPI,0.3,2.2774477754075333,0.8154866939141743
0.5*CPI,0.5,1.9108201456378653,0.29140170680938365
0.5*CPI,0.65,1.5193242767678623,0.7696645839447145
0.5*CPI,0.85,0.8451560467366737,0.3500055347600836
PFI,0.0,2.990212155371235,1.4488079377211813
PFI,0.05,2.5172220215417056,1.181895528393691
PFI,0.1,2.9187900837378025,1.5991628989890347
PFI,0.2,2.818129677599191,1.5654723449250534
PFI,0.3,2.2450482551149804,1.3336221917734756
PFI,0.5,2.306085676001321,0.9581726954213741
PFI,0.65,1.708234423475004,1.4274839974425415
PFI,0.85,2.4993168877416583,1.5975571130755561
LOCO-W,0.0,2.8700028925312546,0.31275570424000787
LOCO-W,0.05,3.0660607083850486,0.3835473115949326
LOCO-W,0.1,2.456626379695139,0.5738474991480054
LOCO-W,0.2,2.4181491363894034,0.5503964328302398
LOCO-W,0.3,1.8155735584969803,0.29663010523147393
LOCO-W,0.5,2.015696757221027,0.27183809888030147
LOCO-W,0.65,1.7458840121274661,0.18090301431596
LOCO-W,0.85,0.3590023676235167,0.053439516971314646
LOCO-HD,0.0,4.499473857462535,0.8565461024625051
LOCO-HD,0.05,3.903426266224568,0.9877695585829368
LOCO-HD,0.1,4.580540636373032,1.0921900321267812
LOCO-HD,0.2,4.09553811870157,0.9793124698998571
LOCO-HD,0.3,3.6419312756140214,0.8460241532958429
LOCO-HD,0.5,2.700172408970851,0.300545210088082
LOCO-HD,0.65,1.895538579198932,0.7368607502688087
LOCO-HD,0.85,0.9631841843136147,0.3078712591174742
Robust-CPI,0.0,4.0220007141038945,0.8637910161863683
Robust-CPI,0.05,3.474811824630001,0.9987024216263589
Robust-CPI,0.1,4.469131741619893,1.0463182110604794
Robust-CPI,0.2,4.215576187688433,0.9971241769803144
Robust-CPI,0.3,3.5123146926759565,0.8681258421831567
Robust-CPI,0.5,2.7746687694932173,0.29189392727028485
Robust-CPI,0.65,1.8756801921844908,0.7219411185711306
Robust-CPI,0.85,0.9111810888810724,0.32235382955236747
0.5*CPI,0.0,4.428256464740116,0.6187968205249831
0.5*CPI,0.05,3.639170449703309,0.9110184502073466
0.5*CPI,0.1,4.470644664641452,1.3353715258672139
0.5*CPI,0.2,4.6921105539210695,0.858560915495693
0.5*CPI,0.3,3.7492614513452867,0.9523025112405783
0.5*CPI,0.5,3.114957851032525,0.43124984329160027
0.5*CPI,0.65,1.7177023480441227,0.6176647258387256
0.5*CPI,0.85,1.1991731119989653,0.32008535013509193
PFI,0.0,2.9758195736371214,1.1123020390894174
PFI,0.05,2.6976929929143094,1.349681424322492
PFI,0.1,2.9900697168203356,1.6341116594118288
PFI,0.2,3.256385397738519,1.3999809480089584
PFI,0.3,2.7381757470094406,1.3799069391432153
PFI,0.5,2.8567709546657074,1.0584701333199649
PFI,0.65,2.30213618410016,1.4324952773917443
PFI,0.85,2.7033565889700544,1.3713733227877225
LOCO-W,0.0,2.2221273914930477,0.5435048320953656
LOCO-W,0.05,2.392142342038965,0.4312986539116927
LOCO-W,0.1,2.524605170195554,0.49178932463921865
LOCO-W,0.2,2.8936894981042913,0.5830281723907168
LOCO-W,0.3,2.9163827511138254,0.5171241004561576
LOCO-W,0.5,2.941151736708501,0.281482126905479
LOCO-W,0.65,2.521516965912183,0.255829288221067
LOCO-W,0.85,0.872199354981585,0.12885524646044685
LOCO-HD,0.0,3.776603625439514,0.969886675764935
LOCO-HD,0.05,4.179014285067986,1.379452019858714
LOCO-HD,0.1,4.154325318895611,1.1629952274283384
LOCO-HD,0.2,5.9992832990843254,1.143852707905524
LOCO-HD,0.3,4.501161711877186,1.0087351214604732
LOCO-HD,0.5,2.6729892815328675,0.701472893249654
LOCO-HD,0.65,2.455176808693384,0.8409599546524928
LOCO-HD,0.85,1.2538191228091768,0.3383759372016361
Robust-CPI,0.0,3.7052361493922925,0.9254880857390896
Robust-CPI,0.05,3.808780610991966,0.9796594796644176
Robust-CPI,0.1,4.00415765701071,1.05155061105122
Robust-CPI,0.2,4.165422564801642,1.1852287196480276
Robust-CPI,0.3,4.08788120050932,1.008084555569316
Robust-CPI,0.5,2.4126938216076876,0.6982095175307454
Robust-CPI,0.65,2.217049312799734,0.7233317735278862
Robust-CPI,0.85,1.1742891200512109,0.3213188534662512
0.5*CPI,0.0,4.493651971615067,1.7327420108035936
0.5*CPI,0.05,6.688629892340838,0.6639812181765528
0.5*CPI,0.1,5.145265092669455,1.0676448470093836
0.5*CPI,0.2,5.603345007042325,1.0141493930023147
0.5*CPI,0.3,3.5435235899172164,0.6000106576829044
0.5*CPI,0.5,2.3582873801664155,0.6806080689991343
0.5*CPI,0.65,1.7457809872531802,0.4804521955202244
0.5*CPI,0.85,1.5843678801541234,0.32679692738585453
PFI,0.0,2.9976923343086876,1.861390148524504
PFI,0.05,3.645993593110645,1.1213173136452246
PFI,0.1,3.2077311058288185,1.461108532435634
PFI,0.2,3.3474491111343547,1.4239932001643525
PFI,0.3,2.6620541565268163,1.0953581471448421
PFI,0.5,2.5405706426614483,1.3727991483261193
PFI,0.65,3.1340923093682593,1.6590119402518522
PFI,0.85,2.618720401734916,1.1551816692103456
LOCO-W,0.0,2.0587768596781384,1.2114574579788486
LOCO-W,0.05,3.620253627052271,0.2703025231769237
LOCO-W,0.1,3.065811011583045,0.6634560505974841
LOCO-W,0.2,2.6767124282594232,0.42337365482978606
LOCO-W,0.3,2.7442058633670556,0.6051792599708956
LOCO-W,0.5,1.0074305966308594,0.24128317134381747
LOCO-W,0.65,1.0491566904362648,0.22967162510817063
LOCO-W,0.85,0.3995367560992093,0.10511628611129363
LOCO-HD,0.0,4.436840327629689,1.4653116174215364
LOCO-HD,0.05,5.612309333578463,1.0404821627197909
LOCO-HD,0.1,3.773676499289729,1.9154541146876944
LOCO-HD,0.2,4.8367337749967145,1.1288006768044958
LOCO-HD,0.3,2.897391339165142,0.5189031074850506
LOCO-HD,0.5,2.923769182739684,0.7855008236551465
LOCO-HD,0.65,2.4641687177103972,0.6552225237935484
LOCO-HD,0.85,1.3087345030509472,0.29640378570529663
Robust-CPI,0.0,4.5422925605092805,1.285664757318339
Robust-CPI,0.05,5.7934938185730545,1.0046507065156718
Robust-CPI,0.1,3.9590025984069634,1.4370774962808361
Robust-CPI,0.2,5.005846710156038,1.1995355734540947
Robust-CPI,0.3,3.030250537412621,0.5407827771101502
Robust-CPI,0.5,2.8873203196181727,0.6791682612415516
Robust-CPI,0.65,2.413741716561124,0.6646682552848211
Robust-CPI,0.85,1.2451198755609019,0.2831632080031543
0.5*CPI,0.0,4.7659236451775016,1.1636448260969119
0.5*CPI,0.05,4.2790314309576605,1.7435947599860087
0.5*CPI,0.1,2.191456974356604,1.3909957756130769
0.5*CPI,0.2,3.558232126177984,1.0695898228882939
0.5*CPI,0.3,4.4291553225191915,1.3995621126970725
0.5*CPI,0.5,3.988987624789977,0.789328055593891
0.5*CPI,0.65,1.6326641084796827,0.44815806870069785
0.5*CPI,0.85,1.0978270488252848,0.215909207204016
PFI,0.0,3.087202845823096,1.5253795487627346
PFI,0.05,2.925237750000761,1.867222864245904
PFI,0.1,2.093372420299774,1.6677617345149345
PFI,0.2,2.5391904099120524,1.4201380143804978
PFI,0.3,2.868108558423598,1.6553835373769181
PFI,0.5,2.8877361593986723,1.2778648793100098
PFI,0.65,2.977774684627523,1.611190059795997
PFI,0.85,2.3917304976346183,0.9669269460931573
LOCO-W,0.0,1.6386598874625895,0.6736452128269463
LOCO-W,0.05,3.2767042489081395,0.8615126835534919
LOCO-W,0.1,2.142431137170875,0.578731180877427
LOCO-W,0.2,3.2465530527041384,0.4448951469298354
LOCO-W,0.3,2.14886563061276,0.6897107176361377
LOCO-W,0.5,2.4486685783274393,0.5193061981899274
LOCO-W,0.65,0.5111329185076673,0.195528387320782
LOCO-W,0.85,0.45113517166644224,0.05412172709094935
LOCO-HD,0.0,5.853920344904754,0.9812453071292963
LOCO-HD,0.05,5.0194281363278925,1.7272504090618193
LOCO-HD,0.1,2.9208541020507255,1.0553664718081301
LOCO-HD,0.2,4.961744104702946,1.0607188710293824
LOCO-HD,0.3,4.735968500343826,1.1530264884820631
LOCO-HD,0.5,3.402856637343732,0.8170377889360219
LOCO-HD,0.65,1.9898638539720248,0.47230682441748245
LOCO-HD,0.85,1.093571876415392,0.23628999067697654
Robust-CPI,0.0,5.264454251134951,0.9409646113282131
Robust-CPI,0.05,4.605425432885467,1.5936885295391852
Robust-CPI,0.1,3.0345723650411625,1.1051773590210536
Robust-CPI,0.2,5.3731520790881815,1.0383764788783236
Robust-CPI,0.3,4.210281686274025,1.1306167917392127
Robust-CPI,0.5,3.6338391616237264,0.7797694767499884
Robust-CPI,0.65,1.66117015717322,0.4591800945714605
Robust-CPI,0.85,1.0231810019837606,0.22903863618677164
0.5*CPI,0.0,6.345348844884302,1.7647923056707862
0.5*CPI,0.05,3.9122954115255397,0.8725112349340647
0.5*CPI,0.1,5.132132268505148,0.5979720070367028
0.5*CPI,0.2,3.265928849302644,0.8827880581920978
0.5*CPI,0.3,3.310428241451086,1.0410264833773322
0.5*CPI,0.5,2.2582731814293435,0.8715531428293143
0.5*CPI,0.65,3.5330351907724795,0.53644830895276
0.5*CPI,0.85,1.705694116484485,0.32208786889281465
PFI,0.0,3.3978725168817596,1.8785529044903868
PFI,0.05,2.797109626210369,1.3208556084137226
